POS	RANK	PTS	PPG	G	SE	TIER	VOR	VOREXP
QB	1	245.2	21.39	11.46	9.4	1	77.8	73.4
QB	2	245.6	21.40	11.47	8.6	1	78.5	74.3
QB	3	237.2	20.70	11.46	8.2	2	70.6	65.5
QB	4	233.4	20.25	11.52	8.1	2	66.1	60.7
QB	5	226.1	19.71	11.47	8.8	3	60.5	54.2
QB	6	220.5	19.26	11.45	8.4	3	55.9	49.0
QB	7	207.7	18.08	11.49	7.8	4	44.4	35.6
QB	8	212.6	18.42	11.54	7.7	4	47.6	39.7
QB	9	203.6	17.81	11.43	8.3	5	41.8	32.3
QB	10	202.9	17.75	11.43	7.4	5	41.2	31.6
QB	11	202.4	17.73	11.42	7.3	5	41.5	32.0
QB	12	207.2	18.19	11.39	7.8	4	45.5	36.6
QB	13	199.2	17.67	11.28	8.5	5	40.5	30.3
QB	14	195.6	17.41	11.24	8.8	5	38.5	27.9
QB	15	190.9	17.05	11.20	8.8	6	34.8	23.1
QB	16	183.8	16.49	11.15	8.4	6	29.9	16.8
QB	17	171.0	15.64	10.94	8.6	7	22.9	7.2
QB	18	169.6	15.45	10.98	7.7	7	21.5	5.1
QB	19	161.7	15.03	10.76	6.8	8	18.5	1.9
QB	20	160.9	15.16	10.61	6.9	8	19.4	2.3
QB	21	158.5	15.05	10.53	7.1	8	18.6	1.9
QB	22	160.5	15.30	10.49	6.6	8	20.4	3.3
QB	23	157.2	15.26	10.30	6.3	8	20.5	3.5
QB	24	154.3	15.26	10.11	6.6	9	20.1	2.8
QB	25	141.1	14.42	9.79	6.5	10	14.7	0.0
QB	26	138.0	14.46	9.54	6.4	10	15.0	0.0
QB	27	130.1	14.13	9.21	7.1	11	13.0	0.0
QB	28	115.0	12.98	8.86	7.3	12	7.2	0.0
QB	29	111.8	13.13	8.51	6.9	12	7.8	0.0
QB	30	109.4	13.17	8.31	7.0	12	8.0	0.0
QB	31	96.1	12.18	7.89	6.6	13	4.2	0.0
QB	32	91.3	12.01	7.61	6.3	13	3.8	0.0
QB	33	88.9	12.23	7.27	6.5	14	4.5	0.0
QB	34	77.5	11.22	6.90	7.0	15	2.1	0.0
QB	35	64.4	9.76	6.60	7.4	16	0.7	0.0
QB	36	64.1	10.27	6.24	8.0	16	1.0	0.0
RB	1	188.4	16.94	11.12	12.5	1	88.3	83.9
RB	2	189.6	17.19	11.03	10.6	1	90.6	85.6
RB	3	189.7	17.11	11.09	9.3	1	90.0	85.5
RB	4	184.3	16.82	10.95	8.6	1	87.0	81.3
RB	5	176.9	16.39	10.79	8.0	2	82.7	75.5
RB	6	178.6	16.51	10.82	8.2	2	83.8	76.9
RB	7	174.8	16.07	10.88	8.1	2	79.4	72.6
RB	8	174.0	15.98	10.89	7.9	2	78.4	71.6
RB	9	166.2	15.24	10.91	7.5	3	70.9	63.7
RB	10	162.7	15.04	10.82	7.4	3	68.8	61.0
RB	11	158.4	14.70	10.78	7.1	4	65.3	57.0
RB	12	155.5	14.26	10.91	6.5	4	61.0	53.1
RB	13	152.4	13.87	10.99	6.2	4	56.9	48.8
RB	14	151.5	13.85	10.94	6.1	5	56.9	48.7
RB	15	145.6	13.36	10.90	5.9	6	52.1	43.1
RB	16	138.7	12.84	10.80	5.8	7	46.8	36.9
RB	17	136.8	12.67	10.80	5.7	7	45.4	35.4
RB	18	130.2	12.13	10.74	5.3	8	40.2	29.2
RB	19	122.9	11.54	10.65	5.8	9	34.8	22.7
RB	20	116.1	11.05	10.51	5.7	10	30.5	17.3
RB	21	113.8	10.81	10.53	5.5	10	28.5	14.8
RB	22	113.2	10.84	10.45	5.6	10	28.5	14.7
RB	23	111.6	10.61	10.52	5.7	10	26.8	12.7
RB	24	108.5	10.41	10.43	5.8	11	24.9	10.2
RB	25	111.4	10.59	10.52	6.1	10	26.6	12.5
RB	26	111.8	10.50	10.65	6.4	10	25.7	11.4
RB	27	103.4	9.71	10.65	6.1	11	19.7	3.4
RB	28	96.9	9.17	10.57	6.3	12	15.8	0.2
RB	29	97.5	9.35	10.43	6.4	12	16.8	0.6
RB	30	94.5	9.09	10.40	6.2	12	15.3	0.2
RB	31	91.4	8.77	10.42	6.6	12	13.2	0.0
RB	32	96.0	9.17	10.47	6.9	12	15.8	0.2
RB	33	96.8	9.28	10.42	6.7	12	16.6	0.6
RB	34	95.7	9.24	10.35	6.6	12	16.3	0.4
RB	35	94.4	9.19	10.28	6.3	12	15.8	0.0
RB	36	91.0	8.87	10.26	6.1	13	13.8	0.0
RB	37	84.6	8.24	10.26	5.8	14	9.9	0.0
RB	38	79.4	7.80	10.18	5.8	14	7.6	0.0
RB	39	75.2	7.37	10.20	5.6	15	5.7	0.0
RB	40	77.1	7.50	10.28	6.5	15	6.3	0.0
RB	41	76.6	7.39	10.37	6.0	15	5.8	0.0
RB	42	73.5	7.13	10.31	6.5	15	4.8	0.0
RB	43	74.4	7.20	10.34	6.8	15	5.1	0.0
RB	44	74.4	7.29	10.21	6.5	15	5.4	0.0
RB	45	67.9	6.63	10.23	5.7	16	3.2	0.0
RB	46	68.8	6.80	10.12	6.3	16	3.6	0.0
RB	47	71.4	7.11	10.05	6.1	15	4.7	0.0
RB	48	71.4	7.15	9.98	6.0	15	4.9	0.0
RB	49	66.8	6.79	9.84	6.0	16	3.7	0.0
RB	50	67.8	6.86	9.88	6.4	16	3.9	0.0
RB	51	65.0	6.60	9.84	5.9	16	3.1	0.0
RB	52	61.7	6.29	9.81	5.5	17	2.3	0.0
RB	53	65.7	6.67	9.85	5.9	16	3.2	0.0
RB	54	70.5	7.19	9.80	5.9	16	5.0	0.0
RB	55	66.0	6.86	9.62	5.6	16	3.9	0.0
RB	56	67.1	7.04	9.52	5.4	16	4.5	0.0
RB	57	63.6	6.76	9.42	5.4	17	3.5	0.0
RB	58	57.4	6.15	9.34	4.9	18	2.0	0.0
RB	59	51.9	5.56	9.33	4.8	19	1.1	0.0
RB	60	52.1	5.70	9.13	4.6	19	1.3	0.0
RB	61	54.4	6.03	9.02	5.7	18	1.8	0.0
RB	62	54.6	6.17	8.85	5.4	18	2.0	0.0
RB	63	52.7	6.07	8.68	5.2	18	1.9	0.0
RB	64	49.3	5.84	8.45	5.2	19	1.5	0.0
RB	65	49.5	5.83	8.49	5.3	19	1.5	0.0
WR	1	184.3	16.09	11.45	8.3	1	75.0	72.8
WR	2	179.5	15.67	11.45	7.5	1	70.7	67.9
WR	3	179.7	15.65	11.48	6.7	1	70.5	67.8
WR	4	172.8	15.12	11.43	6.7	2	65.2	61.5
WR	5	168.0	14.81	11.35	6.2	2	62.3	57.8
WR	6	161.2	14.20	11.35	6.0	3	56.1	50.7
WR	7	160.4	14.07	11.40	5.6	3	54.8	49.3
WR	8	151.4	13.37	11.33	5.5	4	47.9	41.0
WR	9	148.3	13.08	11.34	5.2	4	45.2	37.9
WR	10	146.4	12.87	11.38	5.5	4	43.4	35.9
WR	11	145.5	12.74	11.42	5.1	5	42.0	34.3
WR	12	141.6	12.38	11.44	5.7	5	38.9	30.6
WR	13	140.3	12.37	11.34	5.9	5	38.3	29.5
WR	14	140.6	12.32	11.41	6.1	5	38.1	29.4
WR	15	141.5	12.33	11.48	6.3	5	38.5	30.2
WR	16	135.5	11.83	11.46	6.7	6	33.6	23.9
WR	17	137.9	12.10	11.40	6.6	6	36.4	27.3
WR	18	137.3	12.04	11.40	6.3	6	35.3	25.9
WR	19	137.4	12.12	11.33	6.2	6	36.3	27.0
WR	20	134.9	11.99	11.25	5.8	6	35.4	25.8
WR	21	136.4	12.18	11.20	5.1	6	36.6	27.0
WR	22	128.0	11.63	11.01	4.7	7	31.9	20.8
WR	23	126.9	11.57	10.96	4.9	7	31.4	20.1
WR	24	122.1	11.16	10.94	4.6	8	27.6	15.3
WR	25	116.6	10.61	10.99	4.7	9	23.3	9.6
WR	26	113.6	10.26	11.07	4.8	9	20.6	5.8
WR	27	117.1	10.56	11.08	5.2	8	22.9	9.1
WR	28	115.9	10.48	11.06	5.1	9	22.3	8.3
WR	29	112.2	10.23	10.97	5.9	9	20.2	5.0
WR	30	109.9	10.03	10.95	6.3	10	19.1	3.7
WR	31	110.3	10.14	10.88	6.4	10	19.9	4.7
WR	32	103.6	9.59	10.81	6.3	11	15.8	1.1
WR	33	104.8	9.72	10.78	6.2	11	16.7	1.5
WR	34	105.6	9.86	10.71	5.7	10	17.9	2.5
WR	35	111.2	10.45	10.64	5.2	10	21.8	7.2
WR	36	107.6	10.13	10.62	5.0	10	19.6	4.2
WR	37	105.4	9.95	10.59	4.9	11	18.1	2.2
WR	38	98.6	9.30	10.60	4.9	12	14.1	0.3
WR	39	98.7	9.38	10.52	4.9	12	14.6	0.4
WR	40	92.7	8.74	10.60	4.7	13	10.8	0.0
WR	41	94.5	8.98	10.52	5.6	12	12.0	0.0
WR	42	92.9	8.75	10.62	5.6	13	10.8	0.0
WR	43	95.2	8.88	10.72	5.6	12	11.3	0.0
WR	44	89.4	8.35	10.70	5.5	13	8.8	0.0
WR	45	88.1	8.24	10.69	5.6	13	8.1	0.0
