RANK	QB	RB	WR	TE	PK	DST
1	34	2	7	23	139	106
2	37	3	8	30	151	112
3	43	4	8	37	154	119
4	51	5	11	46	170	136
5	56	8	12	58	175	146
6	63	9	15	63	178	156
7	69	12	18	68	182	170
8	81	14	19	76	186	180
9	84	15	22	79	189	184
10	90	16	25	87	191	188
11	91	21	27	90	194	191
12	101	22	29	123	197	192
13	110	25	31	130	199	193
14	119	25	33	131	199	197
15	125	29	34	144	199	198
16	134	32	35	155	199	204
17	142	36	37	157	204	205
18	148	36	40	160	193	206
19	150	39	42	164		204
20	165	42	45	169	204	206
21	165	45	47	174	204	
22	168	48	51	181	202	
23	175	54	54	192	204	
24	169	59	55	192	188	
25	171	61	57	196		
26	181	62	57			
27	183	67	58			
28	186	67	58	173		
29	197	72	58			
30		73	64	173		
31	197	74	67	177		
32		80	67	177		
33		80	70			
34		81	75			
35		83	76			
36		86	81			
37		89	82			
38		93	88			
39		96	87			
40		113	91			
41		125	95			
42		132	98			
43		133	98			
44		133	110			
45		136	115			
46		138	118			
47		137	119			
48		140	126			
49		143	128			
50		147	128			
51		152	131			
52		155	135			
53		155	135			
54		156	137			
55		158	142			
56		167	147			
57		170	153			
58		176	157			
59		182	161			
60		182	163			
61		189	169			
62		185	169			
63		189	172			
64		189	175			
65		189	175			
66		181	175			
67		189	181			
68			179			
69		192	170			
70		180	181			
71		193	184			
72		180	175			
73		180	187			
74		163	190			
75			187			
76		163	199			
78		163	187			
79			187			
80			187			
81			187			
83			199			
84		191				
85			178			
86		194	178			
87		200	199			
88		200				
89			203			
91			203			
