PLAYER	POS	RANK	COSTROUND	VOR	MEASURED	POSVALUE	MEASUREDSURPLUS	POSSURPLUS
Chris Olave	WR	10	8	64.3	37.0	16.8	27.3	47.5
Javonte Williams	RB	17	8	52.0	37.0	7.7	15.0	44.2
Travis Etienne Jr.	RB	18	8	45.9	37.0	7.7	8.9	38.1
Luther Burden III	WR	23	8	49.6	35.7	15.9	13.8	33.6
Drake Maye	QB	3	8	67.1	37.0	36.9	30.1	30.1
Cam Skattebo	RB	20	8	33.5	37.0	7.7	-3.5	25.8
Omarion Hampton	RB	9	2	79.2	77.0	73.6	2.2	5.7
Tucker Kraft	TE	6	8	31.4	37.0	26.6	-5.6	4.8
Kyle Pitts Sr.	TE	7	8	28.0	37.0	26.6	-9.1	1.4
Jacory Croskey-Merritt	RB	39	8	6.9	35.7	7.7	-28.8	-0.8
Trevor Lawrence	QB	9	8	36.8	37.0	42.3	-0.2	-5.5
Rashee Rice	WR	12	2	58.2	76.7	67.1	-18.5	-9.0
