SEASON	POS	DOLLARS	SHARE	SHAREXPK
2022	QB	194	13.7	13.8
2022	RB	313	22.1	22.3
2022	WR	784	55.3	56.0
2022	TE	110	7.8	7.9
2022	PK	17	1.2	
2023	QB	424	23.5	23.9
2023	RB	485	26.9	27.3
2023	WR	648	35.9	36.5
2023	TE	217	12.0	12.2
2023	PK	31	1.7	
2024	QB	312	17.4	17.6
2024	RB	743	41.5	41.8
2024	WR	544	30.4	30.6
2024	TE	177	9.9	10.0
2024	PK	15	0.8	
2025	QB	619	29.3	29.4
2025	RB	618	29.2	29.4
2025	WR	723	34.2	34.4
2025	TE	143	6.8	6.8
2025	PK	12	0.6	
2023-2025	QB	1355	23.7	24.0
2023-2025	RB	1846	32.3	32.7
2023-2025	WR	1915	33.5	33.9
2023-2025	TE	537	9.4	9.5
2023-2025	PK	58	1.0	
