SEASON	FRANCHISE	EXPIRING	KEPT	EXPOSURE	FREECAP	STRETCH	KEPTSHARE	TEAMSEASONS	MINSTRETCH	MAXSTRETCH	STRETCHCORR
2023	0001	15	4	172	218	0.79	0.27				
2023	0002	11	6	62	190	0.33	0.55				
2023	0003	10	4	316	253	1.25	0.40				
2023	0004	10	7	246	255	0.96	0.70				
2023	0005	10	5	267	279	0.96	0.50				
2023	0006	11	4	73	226	0.32	0.36				
2023	0007	13	4	146	257	0.57	0.31				
2023	0008	10	6	201	212	0.95	0.60				
2023	0009	6	4	198	236	0.84	0.67				
2024	0001	13	5	114	212	0.54	0.38				
2024	0002	9	3	92	179	0.51	0.33				
2024	0003	16	4	133	235	0.57	0.25				
2024	0004	9	6	240	275	0.87	0.67				
2024	0005	9	4	293	284	1.03	0.44				
2024	0006	6	4	143	238	0.60	0.67				
2024	0007	8	3	55	183	0.30	0.38				
2024	0008	12	2	175	278	0.63	0.17				
2024	0009	11	3	195	217	0.90	0.27				
2024	0010	12	6	280	146	1.92	0.50				
2025	0001	17	6	147	251	0.59	0.35				
2025	0002	15	7	304	267	1.14	0.47				
2025	0003	20	3	355	289	1.23	0.15				
2025	0004	11	4	104	232	0.45	0.36				
2025	0005	8	2	203	190	1.07	0.25				
2025	0006	14	4	179	277	0.65	0.29				
2025	0007	12	4	190	267	0.71	0.33				
2025	0008	14	6	279	283	0.99	0.43				
2025	0009	8	1	137	174	0.79	0.13				
2025	0010	10	5	184	207	0.89	0.50				
2023-2025	ALL							29	0.30	1.92	0.13
