SEASON	POS	SIGNINGS	PRICED	COVERAGE	PAID	COST	MAE	BIAS	RHO
2022	QB	11	11	100.0	194	279	9.73	7.73	0.668
2022	RB	13	12	92.3	312	315	7.25	0.25	0.819
2022	WR	24	23	95.8	783	516	13.35	-11.61	0.877
2022	TE	11	11	100.0	110	136	6.36	2.36	0.823
2022	PK	9	9	100.0	17	11	0.89	-0.67	0.228
2022	ALL	68	66	97.1	1416	1257	8.77	-2.41	0.807
2023	QB	15	15	100.0	424	371	4.87	-3.53	0.787
2023	RB	20	19	95.0	484	471	8.89	-0.68	0.926
2023	WR	27	25	92.6	645	604	10.44	-1.64	0.667
2023	TE	11	11	100.0	217	142	8.64	-6.82	0.899
2023	PK	13	13	100.0	31	17	1.23	-1.08	0.378
2023	ALL	86	83	96.5	1801	1605	7.40	-2.36	0.834
2024	QB	16	14	87.5	310	347	7.64	2.64	0.693
2024	RB	23	23	100.0	743	571	11.48	-7.48	0.818
2024	WR	24	22	91.7	542	572	7.27	1.36	0.932
2024	TE	11	11	100.0	177	173	5.82	-0.36	0.893
2024	PK	9	9	100.0	15	13	0.67	-0.22	0.047
2024	ALL	83	79	95.2	1787	1676	7.61	-1.41	0.840
2025	QB	17	16	94.1	617	448	14.44	-10.56	0.807
2025	RB	22	20	90.9	612	609	6.85	-0.15	0.926
2025	WR	30	29	96.7	719	629	6.34	-3.10	0.891
2025	TE	11	11	100.0	143	162	7.36	1.73	0.638
2025	PK	8	8	100.0	12	13	0.63	0.13	0.130
2025	ALL	88	84	95.5	2103	1861	7.60	-2.88	0.886
