SEASON	POS	RANK	RESIGNED	PAID	BOARD	NAIVE	BOARDERROR	NAIVEERROR	DIFFERENCE
2022	QB	20	true	3	18	21.5	15	18.5	-3.5
2022	WR	15	true	33	27	44	6	11	-5
2022	TE	1	true	50	45	37	5	13	-8
2022	RB	4	true	50	43	56	7	6	1
2022	WR	2	true	94	69	75.5	25	18.5	6.5
2022	TE	13	true	5	10	15	5	10	-5
2022	QB	21	true	5	18	20	13	15	-2
2022	WR	56	true	4	4	2	0	2	-2
2022	WR	14	true	60	26	45	34	15	19
2022	WR	46	true	17	5	16	12	1	11
2022	WR	10	true	35	31	62.5	4	27.5	-23.5
2022	QB	6	true	35	39	47	4	12	-8
2022	PK	8	true	1	1	1	0	0	0
2022	RB	2	true	60	43	58.5	17	1.5	15.5
2022	WR	28	true	21	12	37	9	16	-7
2022	QB	14	true	17	29	28	12	11	1
2022	WR	18	true	25	24	41.5	1	16.5	-15.5
2022	TE	21	true	2	4	4.5	2	2.5	-0.5
2022	WR	8	true	47	35	70	12	23	-11
2022	TE	22	true	1	3	4	2	3	-1
2022	TE	17	true	1	6	5	5	4	1
2022	QB	25	true	2	13	19	11	17	-6
2022	PK	6	true	3	1	1.5	2	1.5	0.5
2022	WR	7	true	75	44	70.5	31	4.5	26.5
2022	TE	5	true	3	16	25	13	22	-9
2022	PK	2	true	1	1	2	0	1	-1
2022	WR	42	true	1.00	6	17	5.00	16.00	-11.00
2022	PK	1	true	5	1	1	4	4	0
2022	TE	9	true	4	11	18	7	14	-7
2022	QB	13	true	1.00	30	40	29.00	39.00	-10.00
2022	RB	36	true	1	9	11	8	10	-2
2022	WR	61	true	1.00	3	4	2.00	3.00	-1.00
2022	WR	29	true	1.00	11	32	10.00	31.00	-21.00
2022	WR	31	true	10	10	25	0	15	-15
2022	RB	5	true	43	43	56	0	13	-13
2022	RB	9	true	40	59	56	19	16	3
2022	RB	43	true	10	5	5	5	5	0
2022	WR	4	true	82	60	80	22	2	20
2022	RB	6	true	55	43	55.5	12	0.5	11.5
2022	WR	13	true	48	26	48.5	22	0.5	21.5
2022	TE	4	true	35	22	25	13	10	3
2022	PK	4	true	2	1	2	1	0	1
2022	WR	33	true	11	9	25	2	14	-12
2022	TE	16	true	4	6	6	2	2	0
2022	WR	41	true	20	6	18.5	14	1.5	12.5
2022	QB	4	true	33	33	47	0	14	-14
2022	WR	54	true	13	4	2	9	11	-2
2022	QB	3	true	33	33	47	0	14	-14
2022	RB	32	true	6	11	15	5	9	-4
2022	QB	8	true	15	35	46.5	20	31.5	-11.5
2022	PK	20	true	1	1	1	0	0	0
2022	WR	73	true	5	1	2	4	3	1
2022	WR	43	true	30	6	16	24	14	10
2022	TE	34	true	1	1	1	0	0	0
2022	QB	31	true	10	5	7	5	3	2
2022	WR	9	true	56	33	63	23	7	16
2022	QB	12	true	40	32	41	8	1	7
2022	RB	46	true	1	4	4	3	3	0
2022	WR	5	true	94	53	75.5	41	18.5	22.5
2022	PK	3	true	1	1	2	0	1	-1
2022	RB	33	true	10	11	14	1	4	-3
2022	RB	12	true	35	43	49	8	14	-6
2022	TE	11	false	4	10	16.5	6	12.5	-6.5
2022	PK	7	false	2	1	2	1	0	1
2022	PK	13	false	1	1	1	0	0	0
2022	RB	56	false	1	3	1.00	2	0.00	2.00
2023	RB	30	true	22	11	14	11	8	3
2023	WR	39	true	13	11	19	2	6	-4
2023	QB	32	true	22	5	7	17	15	2
2023	TE	21	true	5	4	3	1	2	-1
2023	QB	26	true	5	14	10	9	5	4
2023	RB	50	true	1	4	1.00	3	0.00	3.00
2023	PK	8	true	3	1	1	2	2	0
2023	PK	16	true	1	1	1	0	0	0
2023	TE	7	true	18	14	15	4	3	1
2023	WR	4	true	82	82	71	0	11	-11
2023	WR	26	true	17	20	37.5	3	20.5	-17.5
2023	RB	22	true	25	19	29	6	4	2
2023	PK	5	true	5	1	1.5	4	3.5	0.5
2023	WR	63	true	3	3	5	0	2	-2
2023	WR	73	true	1	2	2	1	1	0
2023	RB	47	true	1.00	5	6	4.00	5.00	-1.00
2023	WR	69	true	10	2	3	8	7	1
2023	WR	32	true	45	15	19	30	26	4
2023	QB	18	true	20	23	25	3	5	-2
2023	RB	2	true	52	52	57	0	5	-5
2023	TE	10	true	10	12	15	2	5	-3
2023	WR	19	true	55	39	45	16	10	6
2023	TE	2	true	70	42	35	28	35	-7
2023	PK	25	true	3	1	1	2	2	0
2023	QB	11	true	42	36	43	6	1	5
2023	TE	18	true	1	5	5	4	4	0
2023	QB	20	true	18	20	17	2	1	1
2023	WR	55	true	1.00	7	2	6.00	1.00	5.00
2023	PK	1	true	4	2	1.5	2	2.5	-0.5
2023	WR	40	true	12	9	19	3	7	-4
2023	RB	4	true	65	86	55	21	10	11
2023	RB	7	true	52	73	55	21	3	18
2023	WR	15	true	40	45	46	5	6	-1
2023	QB	17	true	15	23	26.5	8	11.5	-3.5
2023	RB	1	true	52	52	60	0	8	-8
2023	WR	21	true	1.00	38	38	37.00	37.00	0.00
2023	TE	30	true	4	2	1	2	3	-1
2023	RB	28	true	30	12	15	18	15	3
2023	QB	3	true	65	52	47	13	18	-5
2023	WR	30	true	32	17	21	15	11	4
2023	WR	17	true	20	40	45	20	25	-5
2023	WR	67	true	25	2	2.5	23	22.5	0.5
2023	PK	4	true	5	1	1.5	4	3.5	0.5
2023	TE	1	true	50	21	36	29	14	15
2023	QB	13	true	40	34	35	6	5	1
2023	WR	27	true	25	21	29	4	4	0
2023	QB	4	true	36	36	47	0	11	-11
2023	TE	23	true	8	3	1.50	5	6.50	-1.50
2023	PK	3	true	3	2	2	1	1	0
2023	QB	1	true	36	36	47	0	11	-11
2023	QB	19	true	22	21	20	1	2	-1
2023	WR	35	true	20	15	18.5	5	1.5	3.5
2023	RB	35	true	22	11	10.5	11	11.5	-0.5
2023	WR	59	true	18	5	2	13	16	-3
2023	TE	5	true	25	19	15	6	10	-4
2023	PK	18	true	1	1	1	0	0	0
2023	TE	11	true	25	12	6	13	19	-6
2023	WR	9	true	82	55	60	27	22	5
2023	RB	10	true	40	52	50	12	10	2
2023	WR	29	true	9	18	21	9	12	-3
2023	QB	14	true	40	32	22.5	8	17.5	-9.5
2023	RB	56	true	2	4	1.00	2	1.00	1.00
2023	RB	54	true	1.00	4	4.00	3.00	3.00	0.00
2023	PK	2	true	1	2	1.5	1	0.5	0.5
2023	RB	39	true	1.00	6	10	5.00	9.00	-4.00
2023	RB	5	true	85	52	55	33	30	3
2023	PK	6	true	1	1	1	0	0	0
2023	WR	20	true	30	38	40	8	10	-2
2023	WR	5	true	82	90	68	8	14	-6
2023	PK	7	false	1	1	1	0	0	0
2023	RB	36	false	8	10	10	2	2	0
2023	TE	22	false	1	3	2	2	1	1
2023	QB	23	false	14	18	20	4	6	-2
2023	WR	52	false	1	7	4	6	3	3
2023	RB	38	false	11	7	6	4	5	-1
2023	QB	16	false	28	28	28	0	0	0
2023	WR	45	false	16	7	17	9	1	8
2023	PK	11	false	2	1	1.5	1	0.5	0.5
2023	RB	40	false	10	6	5	4	5	-1
2023	WR	53	false	5	6	4	1	1	0
2023	QB	25	false	21	14	15	7	6	1
2023	PK	24	false	1	1	1.5	0	0.5	-0.5
2023	RB	41	false	4	6	5	2	1	1
2024	WR	51	true	10	10	4.5	0	5.5	-5.5
2024	RB	23	true	40	17	25	23	15	8
2024	TE	12	true	25	16	6	9	19	-10
2024	PK	3	true	1	2	2	1	1	0
2024	QB	19	true	30	29	21.5	1	8.5	-7.5
2024	RB	38	true	5	6	8	1	3	-2
2024	QB	25	true	3	20	15	17	12	5
2024	RB	19	true	30	23	25	7	5	2
2024	RB	20	true	28	19	25	9	3	6
2024	WR	55	true	1.00	10	1.00	9.00	0.00	9.00
2024	QB	23	true	25	26	20	1	5	-4
2024	WR	57	true	5	9	1.50	4	3.50	0.50
