SEASON	POS	MODEL	PRICED	MAE	BIAS
2022	QB	VOR	11	9.91	8.27
2022	RB	VOR	12	9.42	3.58
2022	WR	VOR	23	13.61	-11.70
2022	TE	VOR	11	6.55	-0.36
2022	PK	VOR	9	0.89	-0.67
2022	ALL	VOR	66	9.32	-2.20
2022	QB	EXPECTED_VOR	11	16.55	13.64
2022	RB	EXPECTED_VOR	12	9.50	-0.33
2022	WR	EXPECTED_VOR	23	14.26	-8.78
2022	TE	EXPECTED_VOR	11	5.64	3.64
2022	PK	EXPECTED_VOR	9	0.89	0.44
2022	ALL	EXPECTED_VOR	66	10.52	-0.18
2022	QB	POINTS	11	10.73	8.73
2022	RB	POINTS	12	7.33	0.67
2022	WR	POINTS	23	13.52	-11.96
2022	TE	POINTS	11	4.73	2.91
2022	PK	POINTS	9	0.89	-0.89
2022	ALL	POINTS	66	8.74	-2.23
2022	QB	BLEND_25	11	10.00	8.36
2022	RB	BLEND_25	12	7.75	0.92
2022	WR	BLEND_25	23	13.91	-11.83
2022	TE	BLEND_25	11	4.82	3.00
2022	PK	BLEND_25	9	1.00	-0.56
2022	ALL	BLEND_25	66	8.86	-2.14
2022	QB	BLEND_50	11	10.18	8.55
2022	RB	BLEND_50	12	8.25	1.42
2022	WR	BLEND_50	23	14.43	-12.17
2022	TE	BLEND_50	11	5.27	2.55
2022	PK	BLEND_50	9	0.89	-0.44
2022	ALL	BLEND_50	66	9.23	-2.20
2022	QB	BLEND_75	11	10.45	8.64
2022	RB	BLEND_75	12	8.83	2.00
2022	WR	BLEND_75	23	14.91	-12.30
2022	TE	BLEND_75	11	6.73	2.36
2022	PK	BLEND_75	9	0.89	-0.44
2022	ALL	BLEND_75	66	9.79	-2.15
2022	QB	POINTS_BLEND_25	11	10.73	8.73
2022	RB	POINTS_BLEND_25	12	7.83	1.17
2022	WR	POINTS_BLEND_25	23	14.00	-12.17
2022	TE	POINTS_BLEND_25	11	4.73	2.73
2022	PK	POINTS_BLEND_25	9	1.00	-0.56
2022	ALL	POINTS_BLEND_25	66	9.02	-2.20
2022	QB	POINTS_BLEND_50	11	10.73	8.73
2022	RB	POINTS_BLEND_50	12	8.25	1.58
2022	WR	POINTS_BLEND_50	23	14.39	-12.30
2022	TE	POINTS_BLEND_50	11	5.64	2.36
2022	PK	POINTS_BLEND_50	9	0.89	-0.44
2022	ALL	POINTS_BLEND_50	66	9.36	-2.21
2022	QB	POINTS_BLEND_75	11	10.73	8.73
2022	RB	POINTS_BLEND_75	12	8.75	2.08
2022	WR	POINTS_BLEND_75	23	14.96	-12.43
2022	TE	POINTS_BLEND_75	11	6.82	2.27
2022	PK	POINTS_BLEND_75	9	0.89	-0.44
2022	ALL	POINTS_BLEND_75	66	9.85	-2.18
2022	QB	RANK_SHAPE	11	10.55	8.73
2022	RB	RANK_SHAPE	12	7.25	2.58
2022	WR	RANK_SHAPE	23	15.48	-12.43
2022	TE	RANK_SHAPE	11	7.91	2.09
2022	PK	RANK_SHAPE	9	0.89	-0.44
2022	ALL	RANK_SHAPE	66	9.91	-2.12
2022	QB	RB_BLEND_50	11	9.91	8.27
2022	RB	RB_BLEND_50	12	10.00	4.33
2022	WR	RB_BLEND_50	23	13.78	-11.87
2022	TE	RB_BLEND_50	11	6.45	-0.45
2022	PK	RB_BLEND_50	9	0.89	-0.67
2022	ALL	RB_BLEND_50	66	9.47	-2.14
2022	QB	RB_RANK_SHAPE	11	9.82	8.18
2022	RB	RB_RANK_SHAPE	12	8.67	5.17
2022	WR	RB_RANK_SHAPE	23	13.74	-11.91
2022	TE	RB_RANK_SHAPE	11	6.45	-0.45
2022	PK	RB_RANK_SHAPE	9	0.89	-0.67
2022	ALL	RB_RANK_SHAPE	66	9.20	-2.02
2022	QB	WR_BLEND_50	11	9.91	8.27
2022	RB	WR_BLEND_50	12	9.42	3.58
2022	WR	WR_BLEND_50	23	14.09	-11.57
2022	TE	WR_BLEND_50	11	6.55	-0.36
2022	PK	WR_BLEND_50	9	0.89	-0.67
2022	ALL	WR_BLEND_50	66	9.48	-2.15
2022	QB	WR_RANK_SHAPE	11	9.91	8.27
2022	RB	WR_RANK_SHAPE	12	9.42	3.58
2022	WR	WR_RANK_SHAPE	23	15.09	-11.61
2022	TE	WR_RANK_SHAPE	11	6.55	-0.36
2022	PK	WR_RANK_SHAPE	9	0.89	-0.67
2022	ALL	WR_RANK_SHAPE	66	9.83	-2.17
2022	QB	RANK_MEDIAN_RAW	11	16.00	
2022	RB	RANK_MEDIAN_RAW	12	6.83	
2022	WR	RANK_MEDIAN_RAW	23	11.80	
2022	TE	RANK_MEDIAN_RAW	11	8.45	
2022	PK	RANK_MEDIAN_RAW	9	0.83	
2022	ALL	RANK_MEDIAN_RAW	66	9.55	
2023	QB	VOR	15	6.80	-6.00
2023	RB	VOR	19	9.47	-0.53
2023	WR	VOR	25	11.04	0.40
2023	TE	VOR	11	9.73	-8.64
2023	PK	VOR	13	1.38	-1.38
2023	ALL	VOR	83	8.23	-2.45
2023	QB	EXPECTED_VOR	15	10.07	-4.33
2023	RB	EXPECTED_VOR	19	12.05	-2.05
2023	WR	EXPECTED_VOR	25	16.48	2.56
2023	TE	EXPECTED_VOR	11	8.36	-7.64
2023	PK	EXPECTED_VOR	13	1.23	-0.77
2023	ALL	EXPECTED_VOR	83	10.84	-1.61
2023	QB	POINTS	15	6.80	-4.67
2023	RB	POINTS	19	7.00	0.26
2023	WR	POINTS	25	10.24	-0.64
2023	TE	POINTS	11	10.00	-8.91
2023	PK	POINTS	13	1.38	-1.23
2023	ALL	POINTS	83	7.46	-2.35
2023	QB	BLEND_25	15	6.93	-6.00
2023	RB	BLEND_25	19	7.58	-0.53
2023	WR	BLEND_25	25	10.28	0.44
2023	TE	BLEND_25	11	10.00	-8.91
2023	PK	BLEND_25	13	1.23	-1.23
2023	ALL	BLEND_25	83	7.60	-2.45
2023	QB	BLEND_50	15	6.87	-5.67
2023	RB	BLEND_50	19	7.16	-0.63
2023	WR	BLEND_50	25	9.92	0.56
2023	TE	BLEND_50	11	10.27	-9.00
2023	PK	BLEND_50	13	1.31	-1.15
2023	ALL	BLEND_50	83	7.43	-2.37
2023	QB	BLEND_75	15	7.07	-5.47
2023	RB	BLEND_75	19	7.05	-0.63
2023	WR	BLEND_75	25	10.20	0.68
2023	TE	BLEND_75	11	10.55	-8.91
2023	PK	BLEND_75	13	1.15	-0.85
2023	ALL	BLEND_75	83	7.54	-2.24
2023	QB	POINTS_BLEND_25	15	6.80	-4.80
2023	RB	POINTS_BLEND_25	19	7.42	-0.79
2023	WR	POINTS_BLEND_25	25	10.28	0.20
2023	TE	POINTS_BLEND_25	11	10.18	-9.09
2023	PK	POINTS_BLEND_25	13	1.31	-1.15
2023	ALL	POINTS_BLEND_25	83	7.58	-2.37
2023	QB	POINTS_BLEND_50	15	7.13	-5.00
2023	RB	POINTS_BLEND_50	19	7.05	-0.84
2023	WR	POINTS_BLEND_50	25	10.12	0.44
2023	TE	POINTS_BLEND_50	11	10.27	-9.00
2023	PK	POINTS_BLEND_50	13	1.15	-1.00
2023	ALL	POINTS_BLEND_50	83	7.49	-2.31
2023	QB	POINTS_BLEND_75	15	7.33	-5.33
2023	RB	POINTS_BLEND_75	19	6.89	-0.79
2023	WR	POINTS_BLEND_75	25	10.16	0.64
2023	TE	POINTS_BLEND_75	11	10.55	-8.91
2023	PK	POINTS_BLEND_75	13	1.08	-0.92
2023	ALL	POINTS_BLEND_75	83	7.53	-2.28
2023	QB	RANK_SHAPE	15	7.47	-5.47
2023	RB	RANK_SHAPE	19	6.89	-0.68
2023	WR	RANK_SHAPE	25	11.04	0.64
2023	TE	RANK_SHAPE	11	10.64	-8.82
2023	PK	RANK_SHAPE	13	1.08	-0.77
2023	ALL	RANK_SHAPE	83	7.83	-2.24
2023	QB	RB_BLEND_50	15	6.73	-6.07
2023	RB	RB_BLEND_50	19	7.32	-0.37
2023	WR	RB_BLEND_50	25	11.08	0.36
2023	TE	RB_BLEND_50	11	9.73	-8.64
2023	PK	RB_BLEND_50	13	1.38	-1.38
2023	ALL	RB_BLEND_50	83	7.73	-2.43
2023	QB	RB_RANK_SHAPE	15	6.87	-6.20
2023	RB	RB_RANK_SHAPE	19	7.21	-0.05
2023	WR	RB_RANK_SHAPE	25	11.00	0.12
2023	TE	RB_RANK_SHAPE	11	9.82	-8.73
2023	PK	RB_RANK_SHAPE	13	1.38	-1.38
2023	ALL	RB_RANK_SHAPE	83	7.72	-2.47
2023	QB	WR_BLEND_50	15	6.87	-6.20
2023	RB	WR_BLEND_50	19	9.42	-0.68
2023	WR	WR_BLEND_50	25	10.08	0.88
2023	TE	WR_BLEND_50	11	9.91	-8.82
2023	PK	WR_BLEND_50	13	1.38	-1.38
2023	ALL	WR_BLEND_50	83	7.96	-2.40
2023	QB	WR_RANK_SHAPE	15	6.93	-6.27
2023	RB	WR_RANK_SHAPE	19	9.42	-0.68
