POS	RANK	PTS	PPG	G	SE	TIER	VOR	VOREXP
QB	1	245.3	21.39	11.46	9.4	1	78.2	73.9
QB	2	245.4	21.39	11.47	8.6	1	78.8	74.6
QB	3	237.2	20.70	11.46	8.2	2	71.0	65.9
QB	4	233.4	20.25	11.52	8.1	2	66.4	61.1
QB	5	226.1	19.71	11.47	8.8	3	60.8	54.6
QB	6	220.5	19.26	11.45	8.4	3	56.2	49.3
QB	7	209.7	18.25	11.49	7.8	4	46.3	37.9
QB	8	210.6	18.25	11.54	7.7	4	46.3	38.1
QB	9	204.3	17.87	11.43	8.3	4	42.7	33.4
QB	10	204.3	17.87	11.43	7.4	4	43.2	34.0
QB	11	204.0	17.87	11.42	7.3	4	42.7	33.4
QB	12	203.5	17.87	11.39	7.8	4	42.7	33.3
QB	13	199.2	17.66	11.28	8.5	5	40.7	30.6
QB	14	195.6	17.40	11.24	8.8	5	38.8	28.3
QB	15	190.9	17.05	11.20	8.8	5	35.0	23.5
QB	16	183.8	16.49	11.15	8.4	6	30.1	17.1
QB	17	171.0	15.64	10.94	8.6	7	23.2	7.5
QB	18	169.6	15.45	10.98	7.7	7	21.7	5.5
QB	19	163.3	15.17	10.76	6.8	8	19.7	2.4
QB	20	161.1	15.17	10.61	6.9	8	19.7	2.4
QB	21	159.9	15.17	10.53	7.1	8	19.7	2.4
QB	22	159.2	15.17	10.49	6.6	8	19.7	2.4
QB	23	156.3	15.17	10.30	6.3	9	19.7	2.3
QB	24	153.4	15.17	10.11	6.6	9	20.0	2.9
QB	25	141.3	14.44	9.79	6.5	10	15.0	0.0
QB	26	137.8	14.44	9.54	6.4	10	15.0	0.0
QB	27	130.1	14.13	9.21	7.1	11	13.1	0.0
QB	28	116.0	13.09	8.86	7.3	12	7.8	0.0
QB	29	111.4	13.09	8.51	6.9	12	7.8	0.0
QB	30	108.7	13.09	8.31	7.0	13	7.8	0.0
QB	31	96.1	12.18	7.89	6.6	14	4.3	0.0
QB	32	92.2	12.12	7.61	6.3	14	4.1	0.0
