PICK	BESTQB	BESTRB	BESTWR	BESTTE
1	1	1	1	1
2	1	2	1	1
3	1	2	2	1
4	1	3	2	1
5	1	3	2	1
6	1	3	2	1
7	1	3	3	1
8	1	3	3	1
9	1	4	3	1
10	1	4	4	1
11	1	4	5	2
12	1	5	5	2
13	1	5	5	2
14	1	5	5	2
15	1	6	6	2
16	2	6	6	2
17	2	6	6	2
18	3	6	8	2
19	3	7	8	2
20	3	7	8	2
21	3	7	8	2
22	3	7	8	2
23	3	7	10	2
24	3	8	10	3
25	4	8	11	3
26	4	8	11	3
27	4	9	11	3
28	4	9	12	3
29	4	9	12	3
30	5	9	12	4
31	5	9	13	4
32	5	9	13	4
33	6	9	13	4
34	6	9	13	5
35	6	9	13	5
36	6	9	13	5
37	6	10	13	5
38	6	11	13	5
39	6	11	14	5
40	6	11	15	5
41	6	11	15	5
42	6	11	15	5
43	6	11	15	5
44	6	11	15	5
45	6	11	15	5
46	6	11	15	5
47	6	11	15	7
48	6	12	15	7
49	6	12	15	7
50	6	12	17	7
