SEASON	POS	DOLLARS	SHARE	SHAREXPK	COMMITTED	COMMITTEDSHARE
2022	QB	194	13.7	13.8	105	16.1
2022	RB	313	22.1	22.3	278	42.6
2022	WR	784	55.3	56.0	238	36.5
2022	TE	110	7.8	7.9	28	4.3
2022	PK	17	1.2		3	0.5
2023	QB	424	23.5	23.9	95	16.6
2023	RB	485	26.9	27.3	211	36.8
2023	WR	648	35.9	36.5	226	39.4
2023	TE	217	12.0	12.2	41	7.1
2023	PK	31	1.7		1	0.2
2024	QB	312	17.4	17.6	166	22.0
2024	RB	743	41.5	41.8	204	27.1
2024	WR	544	30.4	30.6	310	41.2
2024	TE	177	9.9	10.0	63	8.4
2024	PK	15	0.8		10	1.3
2025	QB	619	29.3	29.4	186	33.0
2025	RB	618	29.2	29.4	101	17.9
2025	WR	723	34.2	34.4	199	35.3
2025	TE	143	6.8	6.8	69	12.3
2025	PK	12	0.6		8	1.4
2023-2025	QB	1355	23.7	24.0	447	23.7
2023-2025	RB	1846	32.3	32.7	516	27.3
2023-2025	WR	1915	33.5	33.9	735	38.9
2023-2025	TE	537	9.4	9.5	173	9.2
2023-2025	PK	58	1.0		19	1.0
