POS	RANK	PTS	PPG	G	VOR
QB	1	306.1	26.70	11.46	75.6
QB	2	305.1	26.59	11.47	75.6
QB	3	296.1	25.83	11.46	67.4
QB	4	291.2	25.27	11.52	61.7
QB	5	283.3	24.69	11.47	56.0
QB	6	276.8	24.17	11.45	51.1
QB	7	265.4	23.10	11.49	41.6
QB	8	266.6	23.10	11.54	41.6
QB	9	259.7	22.71	11.43	38.3
QB	10	259.7	22.71	11.43	39.2
QB	11	259.4	22.71	11.42	38.6
QB	12	258.6	22.71	11.39	38.6
QB	13	253.4	22.48	11.28	36.3
QB	14	250.7	22.30	11.24	35.8
QB	15	243.4	21.74	11.20	30.7
QB	16	233.6	20.96	11.15	24.9
QB	17	218.1	19.95	10.94	18.4
QB	18	216.3	19.70	10.98	16.9
QB	19	209.6	19.48	10.76	15.9
QB	20	206.7	19.48	10.61	15.9
QB	21	205.2	19.48	10.53	15.8
QB	22	204.4	19.48	10.49	15.9
QB	23	200.7	19.48	10.30	15.9
QB	24	197.0	19.48	10.11	16.2
QB	25	180.9	18.48	9.79	11.4
QB	26	176.4	18.48	9.54	11.3
QB	27	166.3	18.06	9.21	9.5
QB	28	148.6	16.76	8.86	5.3
QB	29	142.7	16.76	8.51	5.2
QB	30	139.3	16.76	8.31	5.2
QB	31	122.3	15.49	7.89	2.6
QB	32	116.9	15.36	7.61	2.4
QB	33	111.7	15.36	7.27	2.5
QB	34	98.8	14.32	6.90	1.3
QB	35	84.3	12.77	6.60	0.5
QB	36	79.7	12.77	6.24	0.5
RB	1	214.2	19.26	11.12	104.5
RB	2	212.4	19.26	11.03	104.3
RB	3	212.0	19.12	11.09	103.1
RB	4	205.0	18.71	10.95	98.9
RB	5	195.8	18.14	10.79	93.0
RB	6	195.7	18.09	10.82	92.4
RB	7	191.5	17.61	10.88	87.5
RB	8	191.2	17.56	10.89	87.0
RB	9	183.2	16.79	10.91	79.2
RB	10	179.3	16.57	10.82	76.9
RB	11	175.0	16.24	10.78	73.5
RB	12	172.2	15.78	10.91	68.9
RB	13	168.9	15.37	10.99	64.7
RB	14	167.7	15.33	10.94	64.1
RB	15	161.9	14.86	10.90	59.6
RB	16	154.5	14.31	10.80	54.2
RB	17	152.0	14.07	10.80	51.6
RB	18	144.4	13.45	10.74	45.8
RB	19	135.8	12.75	10.65	39.2
RB	20	127.2	12.11	10.51	33.5
RB	21	125.0	11.88	10.53	31.5
RB	22	124.1	11.88	10.45	31.5
RB	23	122.5	11.65	10.52	29.4
RB	24	121.3	11.63	10.43	29.4
RB	25	122.4	11.63	10.52	29.2
RB	26	123.9	11.63	10.65	29.2
RB	27	115.5	10.85	10.65	22.9
RB	28	109.3	10.34	10.57	19.2
RB	29	107.8	10.34	10.43	19.2
RB	30	105.9	10.19	10.40	18.1
RB	31	106.1	10.18	10.42	18.1
RB	32	106.6	10.18	10.47	18.1
RB	33	106.1	10.18	10.42	18.1
RB	34	105.4	10.18	10.35	18.1
RB	35	104.6	10.18	10.28	18.1
RB	36	100.6	9.81	10.26	15.6
RB	37	93.8	9.14	10.26	11.3
RB	38	88.7	8.72	10.18	9.1
RB	39	85.5	8.38	10.20	7.4
RB	40	86.1	8.38	10.28	7.4
RB	41	86.9	8.38	10.37	7.4
RB	42	84.1	8.16	10.31	6.4
RB	43	84.3	8.16	10.34	6.4
RB	44	83.3	8.16	10.21	6.4
RB	45	79.6	7.78	10.23	5.0
RB	46	78.7	7.78	10.12	4.9
RB	47	78.2	7.78	10.05	5.0
RB	48	77.6	7.78	9.98	4.9
RB	49	75.1	7.63	9.84	4.5
RB	50	75.4	7.63	9.88	4.5
RB	51	74.9	7.61	9.84	4.4
RB	52	74.7	7.61	9.81	4.4
RB	53	75.0	7.61	9.85	4.4
RB	54	74.6	7.61	9.80	4.4
RB	55	73.2	7.61	9.62	4.4
RB	56	72.5	7.61	9.52	4.3
RB	57	71.7	7.61	9.42	4.3
RB	58	64.0	6.85	9.34	2.4
RB	59	61.9	6.63	9.33	1.9
RB	60	60.5	6.63	9.13	1.9
RB	61	59.8	6.63	9.02	1.9
RB	62	58.7	6.63	8.85	1.9
RB	63	57.6	6.63	8.68	1.9
RB	64	55.5	6.56	8.45	1.8
RB	65	55.7	6.56	8.49	1.8
WR	1	222.4	19.42	11.45	105.2
WR	2	216.3	18.88	11.45	99.5
WR	3	216.5	18.86	11.48	99.3
WR	4	207.9	18.19	11.43	92.2
WR	5	201.8	17.78	11.35	87.9
WR	6	193.8	17.08	11.35	80.6
WR	7	193.2	16.95	11.40	79.2
WR	8	182.0	16.06	11.33	70.1
WR	9	178.3	15.73	11.34	66.7
WR	10	175.8	15.45	11.38	63.9
WR	11	174.6	15.29	11.42	62.3
WR	12	169.8	14.83	11.44	57.7
WR	13	168.3	14.83	11.34	57.8
WR	14	169.0	14.81	11.41	57.4
WR	15	169.9	14.81	11.48	57.4
WR	16	166.1	14.50	11.46	54.4
WR	17	165.2	14.50	11.40	54.4
WR	18	165.3	14.50	11.40	54.4
WR	19	164.3	14.50	11.33	54.5
WR	20	163.2	14.50	11.25	54.4
WR	21	162.3	14.50	11.20	54.4
WR	22	154.9	14.07	11.01	50.1
WR	23	153.1	13.96	10.96	49.1
WR	24	147.3	13.47	10.94	44.3
WR	25	141.4	12.87	10.99	38.6
WR	26	140.1	12.66	11.07	36.7
WR	27	140.3	12.66	11.08	36.7
WR	28	140.0	12.66	11.06	36.7
WR	29	136.2	12.41	10.97	34.4
WR	30	134.0	12.23	10.95	32.8
WR	31	133.1	12.23	10.88	32.8
WR	32	130.1	12.04	10.81	31.0
WR	33	129.7	12.04	10.78	31.0
WR	34	128.9	12.04	10.71	31.0
WR	35	128.1	12.04	10.64	31.0
WR	36	127.9	12.04	10.62	31.0
WR	37	126.9	11.98	10.59	30.5
WR	38	119.9	11.31	10.60	24.7
WR	39	118.9	11.31	10.52	24.7
WR	40	114.4	10.79	10.60	20.6
WR	41	113.6	10.79	10.52	20.6
WR	42	113.8	10.72	10.62	20.0
WR	43	114.9	10.72	10.72	20.0
WR	44	108.7	10.16	10.70	16.0
WR	45	107.4	10.05	10.69	15.2
WR	46	107.0	10.05	10.65	15.2
WR	47	104.1	9.87	10.56	14.0
WR	48	103.9	9.87	10.53	14.0
WR	49	103.8	9.87	10.52	14.0
WR	50	104.2	9.87	10.56	14.1
WR	51	104.1	9.86	10.56	14.0
WR	52	103.9	9.86	10.54	14.0
WR	53	102.6	9.86	10.41	14.0
WR	54	102.6	9.86	10.41	14.0
WR	55	103.6	9.78	10.59	13.5
WR	56	102.0	9.64	10.59	12.6
WR	57	101.6	9.64	10.54	12.6
WR	58	100.1	9.64	10.39	12.6
WR	59	96.0	9.30	10.32	10.6
WR	60	91.5	8.84	10.35	8.1
WR	61	90.2	8.84	10.21	8.1
WR	62	84.0	8.17	10.29	5.2
WR	63	80.9	7.95	10.17	4.4
WR	64	80.6	7.95	10.14	4.4
WR	65	80.4	7.95	10.11	4.4
WR	66	79.9	7.95	10.05	4.4
WR	67	79.2	7.95	9.95	4.4
WR	68	77.6	7.83	9.91	4.0
WR	69	77.3	7.83	9.87	4.0
WR	70	77.5	7.83	9.90	4.0
WR	71	77.6	7.83	9.90	4.0
WR	72	76.2	7.74	9.85	3.7
WR	73	74.4	7.58	9.81	3.2
WR	74	74.9	7.58	9.88	3.2
WR	75	70.7	7.18	9.85	2.2
WR	76	69.3	7.18	9.65	2.2
WR	77	68.9	7.18	9.60	2.2
WR	78	68.3	7.18	9.51	2.2
WR	79	67.1	7.10	9.46	2.0
WR	80	65.3	6.95	9.40	1.7
WR	81	65.0	6.95	9.34	1.7
WR	82	63.5	6.83	9.30	1.4
WR	83	62.5	6.83	9.15	1.4
WR	84	61.7	6.83	9.04	1.4
WR	85	61.6	6.83	9.02	1.4
WR	86	61.8	6.83	9.05	1.4
WR	87	60.4	6.63	9.11	1.1
WR	88	57.4	6.30	9.11	0.7
WR	89	57.1	6.30	9.05	0.7
TE	1	161.5	15.06	10.73	71.3
TE	2	151.6	14.06	10.79	61.8
TE	3	148.3	13.60	10.91	57.3
TE	4	134.4	12.30	10.93	44.2
TE	5	123.4	11.41	10.81	36.0
TE	6	116.4	10.90	10.68	31.4
TE	7	112.7	10.51	10.73	28.0
TE	8	111.9	10.45	10.70	28.0
TE	9	112.5	10.45	10.77	28.0
TE	10	109.9	10.21	10.76	25.5
TE	11	109.6	10.21	10.74	25.9
TE	12	109.5	10.21	10.72	25.9
TE	13	107.2	10.01	10.71	24.2
TE	14	100.1	9.35	10.71	18.8
TE	15	99.8	9.28	10.75	18.3
TE	16	93.4	8.74	10.68	14.5
TE	17	93.9	8.74	10.74	14.8
TE	18	85.9	7.99	10.75	10.1
TE	19	86.1	7.99	10.77	9.8
TE	20	81.4	7.61	10.69	7.8
TE	21	81.4	7.61	10.69	8.0
TE	22	76.2	7.22	10.56	5.9
TE	23	76.0	7.22	10.52	6.1
TE	24	75.0	7.22	10.40	5.9
TE	25	73.8	7.22	10.23	6.2
TE	26	71.3	6.95	10.25	4.8
TE	27	70.6	6.95	10.15	5.1
TE	28	65.4	6.50	10.06	3.4
TE	29	64.4	6.44	10.01	3.2
TE	30	60.5	6.09	9.93	2.2
TE	31	59.4	6.09	9.76	2.2
TE	32	55.7	5.73	9.72	1.4
TE	33	55.1	5.73	9.60	1.4
TE	34	54.4	5.73	9.49	1.4
TE	35	54.5	5.73	9.50	1.4
TE	36	53.0	5.65	9.37	1.3
TE	37	53.0	5.65	9.38	1.3
TE	38	50.4	5.48	9.20	0.9
TE	39	45.7	5.05	9.04	0.4
TE	40	43.9	4.97	8.84	0.4
TE	41	43.8	4.97	8.82	0.3
TE	42	42.2	4.92	8.58	0.3
TE	43	42.2	4.92	8.57	0.3
TE	44	41.7	4.90	8.51	0.3
TE	45	41.2	4.90	8.42	0.3
PK	1	112.8	9.62	11.73	19.4
PK	2	110.6	9.44	11.71	17.7
PK	3	107.6	9.24	11.65	15.7
PK	4	105.2	8.97	11.73	13.3
PK	5	103.0	8.82	11.67	11.9
PK	6	99.7	8.65	11.52	10.5
PK	7	97.2	8.43	11.52	8.6
PK	8	96.7	8.43	11.47	8.6
PK	9	94.3	8.36	11.27	8.1
PK	10	92.4	8.22	11.24	7.1
PK	11	92.9	8.22	11.31	7.1
PK	12	91.4	8.22	11.12	7.1
PK	13	89.6	8.22	10.90	7.1
PK	14	88.2	8.20	10.75	7.0
PK	15	87.2	8.18	10.67	6.8
PK	16	84.6	8.18	10.34	6.8
PK	17	82.8	8.07	10.26	6.1
PK	18	81.6	8.07	10.11	6.1
PK	19	80.5	8.07	9.96	6.1
PK	20	78.4	8.07	9.70	6.1
PK	21	78.7	8.07	9.74	6.1
PK	22	76.2	8.07	9.43	6.1
PK	23	75.4	8.07	9.33	6.1
PK	24	74.1	8.07	9.17	6.2
PK	25	72.9	8.07	9.02	6.2
DST	1	94.9	7.30	13.00	14.4
DST	2	94.2	7.25	13.00	13.9
DST	3	94.2	7.25	13.00	13.4
DST	4	94.2	7.25	13.00	13.4
DST	5	94.2	7.25	13.00	13.9
DST	6	94.2	7.25	13.00	13.9
DST	7	94.2	7.25	13.00	13.4
DST	8	94.2	7.25	13.00	13.9
DST	9	94.2	7.25	13.00	13.9
DST	10	94.2	7.25	13.00	13.9
DST	11	94.2	7.25	13.00	13.9
DST	12	94.2	7.25	13.00	13.9
DST	13	93.6	7.20	13.00	13.0
