PLAYER	POS	RANK	COSTROUND	VOR	MEASURED	POSVALUE	MEASUREDSURPLUS	POSSURPLUS
Chris Olave	WR	10	8	62.9	35.2	17.0	27.7	46.0
Javonte Williams	RB	16	8	47.5	35.2	10.4	12.3	37.1
Luther Burden III	WR	23	8	47.5	34.2	16.3	13.3	31.2
Drake Maye	QB	3	8	63.9	34.9	34.6	29.0	29.3
Travis Etienne Jr.	RB	18	8	39.4	35.2	10.4	4.2	29.0
Cam Skattebo	RB	20	8	27.3	35.2	10.4	-7.9	17.0
Omarion Hampton	RB	9	2	77.2	73.0	68.4	4.2	8.8
Kyle Pitts Sr.	TE	6	8	27.4	35.2	22.6	-7.8	4.8
Jacory Croskey-Merritt	RB	38	8	11.8	34.2	10.4	-22.4	1.4
Tucker Kraft	TE	7	8	24.0	34.9	22.6	-10.8	1.4
Trevor Lawrence	QB	9	8	35.1	35.2	37.8	-0.1	-2.7
Rashee Rice	WR	13	2	57.3	72.2	66.2	-14.8	-8.9
