Rank	Player	Team	Pos	Bye	Best	Worst	Avg	Std Dev
1	Odell Beckham Jr.	NYG	WR1	8	1	3	1.2	0.5
2	Mike Evans	TB	WR2	11	1	7	3.2	1.7
3	Antonio Brown	PIT	WR3	9	2	8	3.9	1.7
4	David Johnson	ARI	RB1	8	1	19	4.6	4
5	Julio Jones	ATL	WR4	5	3	8	5.4	1.6
6	Le'Veon Bell	PIT	RB2	9	2	11	6.6	2.1
7	Amari Cooper	OAK	WR5	10	4	21	8.1	4
8	Ezekiel Elliott	DAL	RB3	6	3	31	8.5	6.1
9	A.J. Green	CIN	WR6	6	6	15	9.3	2.2
10	DeAndre Hopkins	HOU	WR7	7	2	21	11.1	4.7
11	T.Y. Hilton	IND	WR8	11	9	31	14.9	4.8
12	Michael Thomas	NO	WR9	5	6	80	15.5	16.7
13	Allen Robinson	JAC	WR10	8	5	35	15.6	6.6
14	Sammy Watkins	LAR	WR11	8	10	39	16.7	7.1
15	Brandin Cooks	NE	WR12	9	11	34	17.2	6.1
16	Todd Gurley	LAR	RB4	8	8	34	18.4	7.5
17	Devonta Freeman	ATL	RB5	5	9	26	19.2	4.3
18	Melvin Gordon	LAC	RB6	9	10	46	19.5	8
19	Dez Bryant	DAL	WR13	6	9	39	19.7	6.5
20	Keenan Allen	LAC	WR14	9	15	46	24.8	7.8
21	Alshon Jeffery	PHI	WR15	10	14	34	26	5.1
22	Rob Gronkowski	NE	TE1	9	10	72	28	16.5
23	Demaryius Thomas	DEN	WR16	5	16	38	28.4	5.2
24	Jarvis Landry	MIA	WR17	11	18	43	29.8	8.2
25	Corey Davis	TEN	WR18	8	13	29	20.4	4.6
26	Aaron Rodgers	GB	QB1	8	17	40	31.1	6.4
27	Travis Kelce	KC	TE2	10	19	42	31.9	6.8
28	Leonard Fournette	JAC	RB7	8	7	33	21.8	7
29	Jay Ajayi	MIA	RB8	11	16	71	32.7	11.5
30	Andrew Luck	IND	QB2	11	20	51	32.8	8.5
31	Doug Baldwin	SEA	WR19	6	18	82	33.4	14.8
32	Jordan Howard	CHI	RB9	9	12	33	25.1	6.4
33	Stefon Diggs	MIN	WR20	9	22	72	35.5	12.4
34	Joe Mixon	CIN	RB10	6	13	39	26.7	6.4
35	Jordy Nelson	GB	WR21	8	27	45	37.5	5.7
36	Christian McCaffrey	CAR	RB11	11	13	41	30.7	7.8
37	Dalvin Cook	MIN	RB12	9	12	47	32.7	9.2
38	Devante Parker	MIA	WR22	11	23	103	42.9	16.4
39	Donte Moncrief	IND	WR23	11	25	71	43	13.3
40	LeSean McCoy	BUF	RB13	6	20	61	43.8	10.2
41	Corey Coleman	CLE	WR24	9	26	85	46.5	14.5
42	Lamar Miller	HOU	RB14	7	26	83	46.5	12.3
43	Davante Adams	GB	WR25	8	18	49	37.3	8.4
44	Carlos Hyde	SF	RB15	11	37	69	48.4	8.3
45	Martavis Bryant	PIT	WR26	9	16	72	50.5	13.9
46	Tyler Eifert	CIN	TE3	6	29	69	52.3	9.6
47	DeMarco Murray	TEN	RB16	8	22	76	53.1	12.9
48	Russell Wilson	SEA	QB3	6	34	83	53.1	13.7
49	Derrick Henry	TEN	RB17	8	29	118	54.4	23.6
50	Terrelle Pryor	WAS	WR27	5	34	82	49.8	13.5
51	Jameis Winston	TB	QB4	11	36	83	58.7	12.8
52	Tevin Coleman	ATL	RB18	5	36	99	59.5	15.8
53	Emmanuel Sanders	DEN	WR28	5	41	88	59.7	11.7
54	Mike Williams	LAC	WR29	9	40	66	50.9	7.1
55	Golden Tate	DET	WR30	7	39	81	60.9	9.8
56	Kelvin Benjamin	CAR	WR31	11	38	92	62.6	12.9
57	Michael Crabtree	OAK	WR32	10	40	94	63.2	12.8
58	Isaiah Crowell	CLE	RB19	9	39	118	63.3	21.9
59	Cam Newton	CAR	QB5	11	24	120	64.3	21.6
60	Jordan Reed	WAS	TE4	5	26	117	64.6	24.1
61	Jamison Crowder	WAS	WR33	5	47	80	58.2	9.1
62	Tyreek Hill	KC	WR34	10	20	85	58.3	17
63	Ameer Abdullah	DET	RB20	7	52	81	66.8	7.6
64	Randall Cobb	GB	WR35	8	21	105	67	19.3
65	Josh Doctson	WAS	WR36	5	45	153	67.4	23
66	Marcus Mariota	TEN	QB6	8	50	113	71.1	16
67	Jordan Matthews	BUF	WR37	6	43	139	73.7	25.5
68	Ty Montgomery	GB	RB21	8	45	100	66.9	13.9
69	Hunter Henry	LAC	TE5	9	42	114	67	16.4
70	Mark Ingram	NO	RB22	5	49	127	74.9	19.3
71	Sterling Shepard	NYG	WR38	8	48	148	78.2	21.6
72	C.J. Prosise	SEA	RB23	6	44	119	79.1	19.3
73	C.J. Anderson	DEN	RB24	5	52	164	79.6	26.2
74	Willie Snead	NO	WR39	5	51	119	80.2	17.5
75	John Brown	ARI	WR40	8	53	128	81.5	17.9
76	O.J. Howard	TB	TE6	11	37	132	76.4	21
77	Derek Carr	OAK	QB7	10	55	128	84.3	19.7
78	Julian Edelman	NE	WR41	9	44	238	86.6	40.6
79	Greg Olsen	CAR	TE7	11	50	128	85.8	20.7
80	Kareem Hunt	KC	RB25	10	45	136	79.1	23.6
81	Eric Decker	TEN	WR42	8	62	110	86.9	10.8
82	John Ross	CIN	WR43	6	57	155	85.6	24.9
83	Eddie Lacy	SEA	RB26	6	48	149	93.6	28.5
84	Alvin Kamara	NO	RB27	5	56	174	88.2	26.3
85	Jimmy Graham	SEA	TE8	6	54	125	95.1	18.7
86	Duke Johnson	CLE	RB28	9	70	109	95.4	12.1
87	Dak Prescott	DAL	QB8	6	41	132	90.4	24.8
88	Eric Ebron	DET	TE9	7	75	127	97.1	13
89	Kevin White	CHI	WR44	9	32	152	91.6	30.4
90	Doug Martin	TB	RB29	11	35	143	98.2	27
91	Spencer Ware	KC	RB30	10	40	161	91.8	31.3
92	Jeremy Maclin	BAL	WR45	10	54	144	98.2	21.4
93	Breshad Perriman	BAL	WR46	10	56	141	98.4	21.2
94	Giovani Bernard	CIN	RB31	6	59	134	98.8	19.7
95	Matt Ryan	ATL	QB9	5	63	131	92.8	18.2
96	Tom Brady	NE	QB10	9	19	118	95.3	22.1
97	Paul Perkins	NYG	RB32	8	61	133	96.3	20.8
98	Tyler Lockett	SEA	WR47	6	77	160	102.6	23.8
99	DeSean Jackson	TB	WR48	11	88	138	103.5	11.7
100	Tyrell Williams	LAC	WR49	9	49	145	97.8	23.6
101	Brandon Marshall	NYG	WR50	8	41	150	103.9	25.7
