Rank	Player	Team	Pos	Bye	Best	Worst	Avg	Std Dev	ADP	vs. ADP
1	David Johnson	ARI	RB1	8	1	3	1.2	0.4	1	0
2	Le'Veon Bell	PIT	RB2	9	1	3	1.8	0.4	2	0
3	Antonio Brown	PIT	WR1	9	2	5	3.4	0.6	3	0
4	Julio Jones	ATL	WR2	5	3	14	5.4	1.8	4	0
5	LeSean McCoy	BUF	RB3	6	2	18	6.1	3.2	5	0
6	Odell Beckham Jr.	NYG	WR3	8	4	13	6.2	1.7	6	0
7	Melvin Gordon	LAC	RB4	9	3	19	8.4	2.9	7	0
8	Mike Evans	TB	WR4	11	3	18	9	2.8	9	1
9	A.J. Green	CIN	WR5	6	3	18	9.5	2.9	10	1
10	Devonta Freeman	ATL	RB5	5	3	20	9.8	2.9	8	-2
11	Jordy Nelson	GB	WR6	8	5	22	11.3	2.9	12	1
12	Jay Ajayi	MIA	RB6	11	3	30	12.1	4.1	13	1
13	Jordan Howard	CHI	RB7	9	6	24	13.1	3.9	14	1
14	Michael Thomas	NO	WR7	5	8	20	14.2	2.9	17	3
15	DeMarco Murray	TEN	RB8	8	7	25	14.5	3.6	11	-4
16	Dez Bryant	DAL	WR8	6	10	32	18.4	4.3	19	3
17	Todd Gurley	LAR	RB9	8	9	37	18.5	5	18	1
18	Brandin Cooks	NE	WR9	9	12	43	22.1	6.5	24	6
19	Amari Cooper	OAK	WR10	10	11	44	22.2	5.2	22	3
20	Doug Baldwin	SEA	WR11	6	12	54	22.6	6	26	6
21	Leonard Fournette	JAC	RB10	8	12	57	23.1	8.1	23	2
22	T.Y. Hilton	IND	WR12	11	11	47	23.8	7.1	25	3
23	Ezekiel Elliott	DAL	RB11	6	3	61	24.4	11.8	15	-8
24	Rob Gronkowski	NE	TE1	9	10	54	24.6	7.8	20	-4
25	Isaiah Crowell	CLE	RB12	9	8	51	26.8	7.9	30	5
26	Lamar Miller	HOU	RB13	7	11	51	27.9	8.7	29	3
27	DeAndre Hopkins	HOU	WR13	7	18	44	30.1	6	31	4
28	Demaryius Thomas	DEN	WR14	5	20	67	32.2	8.5	35	7
29	Carlos Hyde	SF	RB14	11	15	60	34.1	10	36	7
30	Dalvin Cook	MIN	RB15	9	14	87	34.6	13.9	33	3
31	Marshawn Lynch	OAK	RB16	10	14	100	35.9	15.3	27	-4
32	Aaron Rodgers	GB	QB1	8	9	50	34	6.2	16	-16
33	Terrelle Pryor	WAS	WR15	5	19	84	36	10.5	34	1
34	Alshon Jeffery	PHI	WR16	10	22	73	36.4	8.7	38	4
35	Kareem Hunt	KC	RB17	10	14	109	36.1	16.4	58	23
36	Travis Kelce	KC	TE2	10	24	62	39.1	7.8	37	1
37	Tom Brady	NE	QB2	9	5	64	37.4	7.5	21	-16
38	Christian McCaffrey	CAR	RB18	11	16	82	40.1	12.6	28	-10
39	Allen Robinson	JAC	WR17	8	19	74	40.4	11.6	47	8
40	Keenan Allen	LAC	WR18	9	18	73	40.4	10.5	41	1
41	Davante Adams	GB	WR19	8	22	88	41.3	11.9	42	1
42	Michael Crabtree	OAK	WR20	10	30	86	42.7	8.9	45	3
43	Drew Brees	NO	QB3	5	14	68	42	8	32	-11
44	Joe Mixon	CIN	RB19	6	16	92	44.9	15.5	39	-5
45	Ty Montgomery	GB	RB20	8	16	148	45	17	43	-2
46	Mark Ingram	NO	RB21	5	28	99	50	12.2	49	3
47	C.J. Anderson	DEN	RB22	5	20	115	51.2	14.2	46	-1
48	Sammy Watkins	LAR	WR21	8	22	94	51.7	14.6	57	9
49	Greg Olsen	CAR	TE3	11	28	81	52.3	8.6	48	-1
50	Golden Tate	DET	WR22	7	29	113	54.2	13.9	55	5
51	Martavis Bryant	PIT	WR23	9	29	95	54.6	15	56	5
52	Tyreek Hill	KC	WR24	10	22	132	54.9	16	44	-8
