Rank	WSID	Overall	Team	Pos	Bye	Best	Worst	Avg	Std Dev	ADP	vs. ADP
1		Todd Gurley	LAR	RB1	12	1	5	1.7	1	1	0
2		Le'Veon Bell	PIT	RB2	7	1	7	2.4	1.3	2	0
3		David Johnson	ARI	RB3	9	1	9	3.6	1.7	3	0
4		Antonio Brown	PIT	WR1	7	1	9	4.5	1.4	5	1
5		Ezekiel Elliott	DAL	RB4	8	1	15	4.7	2.4	4	-1
6		DeAndre Hopkins	HOU	WR2	10	1	26	7.7	3.1	8	2
7		Alvin Kamara	NO	RB5	6	2	20	7.7	3.6	6	-1
8		Odell Beckham Jr.	NYG	WR3	9	3	17	8.7	2.5	12	4
9		Saquon Barkley	NYG	RB6	9	2	25	9.2	3.9	7	-2
10		Julio Jones	ATL	WR4	8	4	19	10.6	2.7	13	3
11		Melvin Gordon	LAC	RB7	8	4	27	12.1	4	11	0
12		Michael Thomas	NO	WR5	6	7	23	12.6	2.9	16	4
13		Kareem Hunt	KC	RB8	12	7	38	13.8	4.7	9	-4
14		Leonard Fournette	JAC	RB9	9	6	38	13.9	5.2	10	-4
15		Keenan Allen	LAC	WR6	8	8	22	14.1	2.9	17	2
16		A.J. Green	CIN	WR7	9	8	29	16.8	2.9	20	4
17		Davante Adams	GB	WR8	7	9	38	17.2	4.2	18	1
18		Christian McCaffrey	CAR	RB10	4	6	48	18.3	5.9	15	-3
19		Dalvin Cook	MIN	RB11	10	7	42	19	5.6	14	-5
20		Devonta Freeman	ATL	RB12	8	14	43	22.4	5	19	-1
21		Mike Evans	TB	WR9	5	15	44	23.7	5.6	22	1
22		Rob Gronkowski	NE	TE1	11	16	59	24.2	6.2	21	-1
23		T.Y. Hilton	IND	WR10	9	16	66	26.3	7	29	6
24		Jordan Howard	CHI	RB13	5	14	80	27.2	8.1	23	-1
25		Stefon Diggs	MIN	WR11	10	14	48	28.8	7.6	30	5
26		Joe Mixon	CIN	RB14	9	16	61	29.2	8.8	24	-2
27		Travis Kelce	KC	TE2	12	19	63	30.1	7.5	27	0
28		Larry Fitzgerald	ARI	WR12	9	6	44	30.3	6.6	34	6
29		Adam Thielen	MIN	WR13	10	11	68	30.4	9	32	3
30		Tyreek Hill	KC	WR14	12	14	50	30.4	6.3	25	-5
31		Jerick McKinnon	SF	RB15	11	16	74	30.4	11.1	28	-3
32		Doug Baldwin	SEA	WR15	7	16	62	29.2	8	33	1
33		LeSean McCoy	BUF	RB16	11	12	84	34.9	13.5	26	-7
34		Amari Cooper	OAK	WR16	7	17	86	35.2	10.1	35	1
35		Demaryius Thomas	DEN	WR17	10	15	79	38.7	9.1	41	6
36		Zach Ertz	PHI	TE3	9	16	67	38.9	9	37	1
37		Alex Collins	BAL	RB17	10	22	75	40.3	9.2	39	2
38		Kenyan Drake	MIA	RB18	11	20	94	41.2	13.7	36	-2
39		Golden Tate	DET	WR18	6	27	84	42	9.5	45	6
40		Jarvis Landry	CLE	WR19	11	20	74	42.1	10.3	38	-2
41		Aaron Rodgers	GB	QB1	7	26	301	44.7	41.6	31	-10
42		Allen Robinson	CHI	WR20	5	23	129	44.9	16.2	47	5
43		JuJu Smith-Schuster	PIT	WR21	7	28	130	47.3	13.5	43	0
44		Lamar Miller	HOU	RB19	10	23	94	49.4	12.9	49	5
45		Marvin Jones	DET	WR22	6	31	86	50.8	10.1	54	9
46		Brandin Cooks	LAR	WR23	12	22	135	51.3	16.7	44	-2
47		Jay Ajayi	PHI	RB20	9	28	83	51.7	12.9	46	-1
48		Royce Freeman	DEN	RB21	10	22	104	52.5	15.5	42	-6
49		Derrick Henry	TEN	RB22	8	27	108	52.9	14.1	40	-9
50		Josh Gordon	CLE	WR24	11	14	92	53.5	16.5	48	-2
51		Dion Lewis	TEN	RB23	8	26	123	57.6	13.8	57	6
52		Russell Wilson	SEA	QB2	7	32	80	50.7	9.3	55	3
53		Chris Hogan	NE	WR25	11	31	129	58.4	20.9	56	3
54		Corey Davis	TEN	WR26	8	28	122	60.8	17.1	60	6
55		Mark Ingram	NO 	RB24	6	33	177	61	21.2	52	-3
56		Tom Brady	NE	QB3	11	32	77	53.9	10.3	51	-5
57		Michael Crabtree	BAL	WR27	10	38	106	62.3	14.4	64	7
58		Cam Newton	CAR	QB4	4	29	97	57.3	11.6	61	3
59		Greg Olsen	CAR	TE4	4	42	115	65.2	13.7	58	-1
60		Emmanuel Sanders	DEN	WR28	10	41	127	67.3	15.8	67	7
61		Marshawn Lynch	OAK	RB25	7	36	134	68.3	16.1	59	-2
62		Deshaun Watson	HOU	QB5	10	31	110	61.6	14.7	50	-12
63		Rex Burkhead	NE	RB26	11	36	170	67.9	22.7	71	8
64		Jimmy Graham	GB	TE5	7	26	109	70.2	16.8	53	-11
65		Sammy Watkins	KC	WR29	12	39	133	69.2	16.6	78	13
66		Alshon Jeffery	PHI	WR30	9	31	170	70.2	26.2	62	-4
67		Delanie Walker	TEN	TE6	8	34	108	72.1	13.5	74	7
