Rank	WSID	Overall	Team	Pos	Bye	Best	Worst	Avg	Std Dev	ADP	vs. ADP
1		Todd Gurley	LAR	RB1	12	1	6	1.9	1.1	1	0
2		Le'Veon Bell	PIT	RB2	7	1	9	2.4	1.6	2	0
3		David Johnson	ARI	RB3	9	1	11	3.5	2	3	0
4		Antonio Brown	PIT	WR1	7	1	11	4.6	1.9	5	1
5		Ezekiel Elliott	DAL	RB4	8	1	17	5.9	3	4	-1
6		Alvin Kamara	NO	RB5	6	2	23	7.8	4	6	0
7		DeAndre Hopkins	HOU	WR2	10	1	16	7.8	2.6	8	1
8		Odell Beckham Jr.	NYG	WR3	9	3	13	8.3	2.7	12	4
9		Saquon Barkley	NYG	RB6	9	2	23	9.4	4.3	7	-2
10		Julio Jones	ATL	WR4	8	2	20	10.9	2.9	13	3
11		Michael Thomas	NO	WR5	6	5	19	12	3.1	16	5
12		Melvin Gordon	LAC	RB7	8	4	36	12.7	6.1	11	-1
13		Keenan Allen	LAC	WR6	8	5	20	13.1	2.8	17	4
14		Kareem Hunt	KC	RB8	12	8	34	14.8	5.1	9	-5
15		Leonard Fournette	JAC	RB9	9	3	43	16.3	6.2	10	-5
16		A.J. Green	CIN	WR7	9	6	26	16.4	3.2	20	4
17		Davante Adams	GB	WR8	7	9	34	16.7	4.2	18	1
18		Christian McCaffrey	CAR	RB10	4	5	67	16.9	8.2	15	-3
19		Dalvin Cook	MIN	RB11	10	7	40	21	6.7	14	-5
20		Mike Evans	TB	WR9	5	15	42	23.2	4.8	22	2
21		Rob Gronkowski	NE	TE1	11	14	60	24	8	21	0
22		Devonta Freeman	ATL	RB12	8	13	71	24.1	7.8	19	-3
23		T.Y. Hilton	IND	WR10	9	13	48	25.6	5.9	29	6
24		Larry Fitzgerald	ARI	WR11	9	3	41	26.9	6.6	34	10
25		Stefon Diggs	MIN	WR12	10	11	50	27.3	7.1	30	5
26		Travis Kelce	KC	TE2	12	17	59	28.4	8.1	27	1
27		Adam Thielen	MIN	WR13	10	15	61	29.6	8.5	32	5
28		Tyreek Hill	KC	WR14	12	13	50	30	6.5	25	-3
29		Jerick McKinnon	SF	RB13	11	17	77	31	12.4	28	-1
30		Joe Mixon	CIN	RB14	9	13	73	31.2	11	24	-6
