Rank	WSID	Rookies	Team	Pos	Bye	Age	Best	Worst	Avg	Std Dev
1		Saquon Barkley	NYG	RB1	9		1	1	1	0
2		Sony Michel	NE	RB2	11		2	10	4.5	2.1
3		Rashaad Penny	SEA	RB3	7		2	13	5.5	3.1
4		Nick Chubb	CLE	RB4	11		3	9	5.9	1.8
5		Royce Freeman	DEN	RB5	10		2	11	6	3.5
6		D.J. Moore	CAR	WR1	4	21	2	12	6.2	2.9
7		Kerryon Johnson	DET	RB6	6		3	11	6.6	3.2
8		Derrius Guice	WAS 	RB7	4		2	20	6.7	5.6
9		Calvin Ridley	ATL	WR2	8		7	12	9.2	1.6
10		Ronald Jones II	TB	RB8	5	21	4	18	9.5	3.8
11		Courtland Sutton	DEN	WR3	10		5	31	12.2	7.3
12		Anthony Miller	CHI	WR4	5		8	22	13.3	3.3
13		Christian Kirk	ARI	WR5	9		9	21	13.7	3.2
14		Michael Gallup	DAL	WR6	8		8	31	14.5	5.6
15		James Washington	PIT	WR7	7		11	19	15.1	2.5
16		Mike Gesicki	MIA	TE1	11		12	23	18.3	3.5
17		Baker Mayfield	CLE	QB1	11		13	30	18.9	4.4
18		Dante Pettis	SF	WR8	11		14	37	20.9	6.4
19		Lamar Jackson	BAL	QB2	10		10	29	21	5
20		Sam Darnold	NYJ	QB3	11		16	32	23.7	5.1
21		Josh Rosen	ARI	QB4	9		15	35	24.4	5.8
22		Dallas Goedert	PHI	TE2	9		16	41	25.5	7.6
23		Antonio Callaway	CLE	WR9	11		9	54	25.8	11
24		Kalen Ballage	MIA	RB9	11		8	44	25.7	8.7
25		D.J. Chark	JAC	WR10	9		19	33	24	4.8
26		Nyheim Hines	IND	RB10	9		11	49	27	10.8
27		Tre'Quan Smith	NO	WR11	6		16	40	27.1	7.8
28		Jordan Wilkins	IND	RB11	9		9	39	25	8.9
29		Hayden Hurst	BAL	TE3	10		18	43	28	7.1
30		Mark Andrews	BAL	TE4	10		24	46	32.6	6.1
31		Equanimeous St. Brown	GB	WR12	7	21	23	48	33.6	8.8
32		Deon Cain	IND	WR13	9		27	42	35.6	4.3
33		John Kelly	LAR	RB12	12		22	45	32.6	7.7
34		J'Mon Moore	GB	WR14	7		18	53	33.7	9.6
35		DaeSean Hamilton	DEN	WR15	10		19	42	33.7	6.6
36		Mark Walton	CIN	RB13	9		25	46	35.6	6.2
37		Keke Coutee	HOU	WR16	10		25	49	36	6.3
38		Ito Smith	ATL	RB14	8		28	51	38.5	7.8
39		Chase Edmonds	ARI	RB15	9		27	52	37.6	7.8
40		Bo Scarbrough	DAL	RB16	8		29	59	37.4	9.4
41		Josh Allen	BUF	QB5	11		27	52	39.1	6.7
42		Auden Tate	CIN	WR17	9		17	54	39.4	10.7
43		Josh Adams	PHI	RB17	9		27	48	37.4	6.5
44		Jaylen Samuels	PIT	TE5	7		31	59	42.1	9.2
45		Akrum Wadley	TEN	RB18	8		17	60	42.8	13.7
46		Jordan Lasley	BAL	WR18	10		32	62	45.5	7.9
47		Marquez Valdes-Scantling	GB	WR19	7		25	49	38.2	8.4
48		Justin Jackson	LAC	RB19	8		38	59	47.3	7.2
49		Mason Rudolph	PIT	QB6	7		22	57	45.3	10.3
50		Daurice Fountain	IND	WR20	9		36	71	47.5	10.4
51		Marcell Ateman	OAK	WR21	7		32	52	44.8	7.3
52		Jaleel Scott	BAL	WR22	10		34	66	50.9	9.8
53		Simmie Cobbs Jr.	WAS	WR23	4		32	55	46.3	7.5
54		Richie James	SF	WR24	11		38	57	48.5	5.8
55		Korey Robertson	MIN	WR25	10		37	60	49.2	7.3
56		Braxton Berrios	NE	WR26	11		38	61	49.2	7.4
57		Deontay Burnett	TEN	WR27	8		33	65	51.8	10.5
58		Dalton Schultz	DAL	TE6	8		36	62	48.8	9.7
59		Allen Lazard	JAC	WR28	9		40	61	50.3	7.8
60		Troy Fumagalli	DEN	TE7	10		42	69	53.9	8.9
61		Cedrick Wilson	DAL	WR29	8		36	68	54.6	9.7
62		Justin Watson	TB	WR30	5		42	49	45.3	2.9
63		Ian Thomas	CAR	TE8	4		43	61	51.6	5.9
64		Trey Quinn	WAS	WR31	4		38	55	48.8	6.6
65		Boston Scott	NO	RB20	6		46	57	51.5	5.5
66		Chris Herndon IV	NYJ	TE9	11		50	62	56	6
67		Dylan Cantrell	LAC	WR32	8		50	64	57	7
68		Kyle Lauletta	NYG	QB7	9		50	63	58	5.7
69		Roc Thomas	MIN	RB21	10		51	54	52.3	1.2
70		Jordan Akins	HOU	TE10	10		52	58	55	3
71		Javon Wims	CHI	WR33	5		54	58	56	2
72		Luke Falk	TEN	QB8	8		58	67	62.5	4.5
