Rank	Overall	Team	Pos	Bye	Age	Best	Worst	Avg	Std Dev
1	Saquon Barkley	NYG	RB1	11	22	1	5	1.3	0.7
2	Christian McCaffrey	CAR	RB2	7	23	1	7	3.2	1.5
3	DeAndre Hopkins	HOU	WR1	10	27	1	9	4	1.3
4	Alvin Kamara	NO	RB3	9	24	2	8	4.9	1.3
5	Odell Beckham Jr.	CLE	WR2	7	26	1	13	5.2	2.5
6	Ezekiel Elliott	DAL	RB4	8	24	1	10	5.3	2.6
7	Davante Adams	GB	WR3	11	26	4	15	7.3	2.1
8	JuJu Smith-Schuster	PIT	WR4	7	22	2	18	7.6	2.3
9	Michael Thomas	NO	WR5	9	26	3	12	8.4	1.3
10	Mike Evans	TB	WR6	7	26	8	26	11.3	2
11	Joe Mixon	CIN	RB5	9	23	8	24	12.2	2.7
12	Nick Chubb	CLE	RB6	7	23	5	25	13.5	3.6
13	David Johnson	ARI	RB7	12	27	10	36	15.4	4.6
14	Julio Jones	ATL	WR7	9	30	10	25	16	2
15	Tyreek Hill	KC	WR8	12	25	4	47	16.7	4.6
16	Dalvin Cook	MIN	RB8	12	24	9	23	16.9	3
17	Todd Gurley	LAR	RB9	9	25	5	45	17.8	10.1
18	Melvin Gordon	LAC	RB10	12	26	8	34	19.6	4.6
19	Travis Kelce	KC	TE1	12	29	11	31	20.9	4.3
20	Amari Cooper	DAL	WR9	8	25	12	36	21	4.7
21	Keenan Allen	LAC	WR10	12	27	11	35	21.7	6
22	Stefon Diggs	MIN	WR11	12	25	14	29	21.9	3.8
23	James Conner	PIT	RB11	7	24	7	47	22.6	6.3
24	Le'Veon Bell	NYJ	RB12	4	27	14	46	23.7	5.7
25	Antonio Brown	OAK	WR12	6	31	14	46	25.9	5.8
26	George Kittle	SF	TE2	4	25	14	41	26.4	4.1
27	Brandin Cooks	LAR	WR13	9	25	18	43	28.5	5.8
28	Kerryon Johnson	DET	RB13	5	22	21	46	29.4	5
29	Patrick Mahomes	KC	QB1	12	23	20	47	31	5.4
30	Adam Thielen	MIN	WR14	12	29	22	71	31.3	5.2
31	Kenny Golladay	DET	WR15	5	25	18	47	31.5	7.1
32	D.J. Moore	CAR	WR16	7	22	16	70	34.8	8
33	Zach Ertz	PHI	TE3	10	28	22	63	35.8	7.3
34	Aaron Jones	GB	RB14	11	24	21	61	36	8.9
35	Leonard Fournette	JAC	RB15	10	24	15	65	36.9	9.8
36	Josh Jacobs	OAK	RB16	6	21	22	53	37	7.4
37	T.Y. Hilton	IND	WR17	6	29	24	79	39.1	9.6
38	Chris Godwin	TB	WR18	7	23	26	79	39.1	7.5
39	Robert Woods	LAR	WR19	9	27	31	131	42.5	8.1
40	Cooper Kupp	LAR	WR20	9	26	29	126	43.5	7.4
41	A.J. Green	CIN	WR21	9	31	23	93	45	16.6
42	Calvin Ridley	ATL	WR22	9	24	31	82	45.5	11.3
43	Sony Michel	NE	RB17	10	24	24	68	46.7	6.7
44	Marlon Mack	IND	RB18	6	23	26	62	47.9	9
45	Mike Williams	LAC	WR23	12	24	30	76	48	9.7
46	Deshaun Watson	HOU	QB2	10	23	34	63	48.3	7.6
47	David Montgomery	CHI	RB19	6	22	26	102	49.6	17
48	Baker Mayfield	CLE	QB3	7	24	31	62	50.1	5.1
49	O.J. Howard	TB	TE4	7	24	21	70	52.7	10.3
50	Miles Sanders	PHI	RB20	10	22	33	104	53.3	14.9
51	Corey Davis	TEN	WR24	11	24	37	102	53.3	12.1
52	Derrick Henry	TEN	RB21	11	25	40	96	53.3	7.2
53	Derrius Guice	WAS	RB22	10	22	20	88	53.5	13.2
54	Devonta Freeman	ATL	RB23	9	27	31	92	54.2	13.2
55	Allen Robinson	CHI	WR25	6	26	34	84	54.7	10.1
56	Tyler Boyd	CIN	WR26	9	24	35	129	58	11.3
57	Evan Engram	NYG	TE5	11	25	27	81	58.3	7.9
58	N'Keal Harry	NE	WR27	10	21	37	98	60.9	20.1
59	Phillip Lindsay	DEN	RB24	10	25	32	93	61	11.8
60	Jarvis Landry	CLE	WR28	7	26	42	124	61.1	12.5
61	Tyler Lockett	SEA	WR29	11	26	26	118	62.4	16.8
62	Damien Williams	KC	RB25	12	27	42	88	64.6	10.6
63	Christian Kirk	ARI	WR30	12	22	48	121	66.5	13
64	Aaron Rodgers	GB	QB4	11	35	42	112	67.4	14.4
65	Chris Carson	SEA	RB26	11	24	29	111	68.1	17.2
66	Rashaad Penny	SEA	RB27	11	23	44	120	69.4	11.4
67	Hunter Henry	LAC	TE6	12	24	41	99	69.8	12.4
68	Tarik Cohen	CHI	RB28	6	24	47	143	71.3	11.2
69	Will Fuller	HOU	WR31	10	25	40	98	72.9	10.3
70	Carson Wentz	PHI	QB5	10	26	50	108	74.5	14.2
71	David Njoku	CLE	TE7	7	23	34	116	74.9	9.7
72	Alshon Jeffery	PHI	WR32	10	29	44	119	74.9	11.9
73	Sammy Watkins	KC	WR33	12	26	43	154	75.5	15.3
74	Kareem Hunt	CLE	RB29	7	24	29	203	77.2	16.9
75	Tevin Coleman	SF	RB30	4	26	57	116	77.6	11.3
76	Russell Wilson	SEA	QB6	11	30	49	152	78.4	14.1
77	Courtland Sutton	DEN	WR34	10	23	43	130	78.7	15.2
78	Mark Ingram	BAL	RB31	8	29	57	122	80.8	12.7
79	Dante Pettis	SF	WR35	4	23	41	130	82.6	14.2
80	Robby Anderson	NYJ	WR36	4	26	46	140	85.4	16.7
81	Kenyan Drake	MIA	RB32	5	25	45	125	86	14.7
82	Jared Goff	LAR	QB7	9	24	54	119	87.3	12.4
83	A.J. Brown	TEN	WR37	11	22	49	149	88.7	24.2
84	Kyler Murray	ARI	QB8	12	22	50	114	91.2	12.7
85	Sterling Shepard	NYG	WR38	11	26	63	159	92.6	18.9
86	Curtis Samuel	CAR	WR39	7	23	51	158	93	21.5
87	Royce Freeman	DEN	RB33	10	23	51	153	93	12.5
88	James White	NE	RB34	10	27	69	137	93	15.6
89	Anthony Miller	CHI	WR40	6	23	66	147	93.5	15
90	T.J. Hockenson	DET	TE8	5	22	64	184	93.6	22.5
91	Julian Edelman	NE	WR41	10	33	53	166	94.8	23.3
92	Cam Newton	CAR	QB9	7	30	54	159	97.1	16.2
93	D.K. Metcalf	SEA	WR42	11	21	60	123	85.1	13.4
94	Dede Westbrook	JAC	WR43	10	25	68	152	99.9	20.5
95	Michael Gallup	DAL	WR44	8	23	73	134	100.7	15.8
96	Marvin Jones	DET	WR45	5	29	57	171	103.9	21.8
97	Dak Prescott	DAL	QB10	8	26	52	138	104.7	15.4
98	Matt Ryan	ATL	QB11	9	34	69	183	104.8	21.9
99	Lamar Jackson	BAL	QB12	8	22	43	161	106	18.3
100	Parris Campbell	IND	WR46	6	22	67	172	107.3	27.5
101	Deebo Samuel	SF	WR47	4	23	66	151	107.7	21.6
102	Eric Ebron	IND	TE9	6	26	63	170	108.3	21.9
103	Jameis Winston	TB	QB13	7	25	69	156	109.4	16.7
104	Keke Coutee	HOU	WR48	10	22	58	158	110.3	17
105	Dallas Goedert	PHI	TE10	10	24	68	142	110.3	17.7
106	Darrell Henderson	LAR	RB35	9	22	56	170	99.4	27.7
107	Noah Fant	DEN	TE11	10	21	59	181	112	25.9
108	Duke Johnson	HOU	RB36	10	25	55	271	112.2	29.4
109	James Washington	PIT	WR49	7	23	73	171	112.4	25.1
110	Marquise Brown	BAL	WR50	8	22	65	148	100.2	19.1
111	Justice Hill	BAL	RB37	8	21	62	167	114.3	27
112	Austin Ekeler	LAC	RB38	12	24	74	152	114.9	17.1
113	Mitch Trubisky	CHI	QB14	6	25	87	141	115.9	12.4
114	Damien Harris	NE	RB39	10	22	63	199	118.6	23.8
115	Kirk Cousins	MIN	QB15	12	31	100	154	122	14.1
116	J.J. Arcega-Whiteside	PHI	WR51	10	22	62	155	110.9	26.2
117	Sam Darnold	NYJ	QB16	4	22	90	170	123.4	17.8
118	Mark Andrews	BAL	TE12	8		77	174	125	19.9
119	Austin Hooper	ATL	TE13	9	24	94	156	125	12.4
120	Marquez Valdes-Scantling	GB	WR52	11	24	52	177	126.3	19.5
121	Jimmy Garoppolo	SF	QB17	4	27	101	176	126.7	19.1
122	Matt Breida	SF	RB40	4	24	74	179	127.9	19.1
123	Devin Singletary	BUF	RB41	6	21	46	158	116.5	23.8
124	Jordan Howard	PHI	RB42	10	24	95	181	128.2	20
125	Andy Isabella	ARI	WR53	12	22	85	178	119	21
126	Ronald Jones II	TB	RB43	7	22	82	187	133.7	21.9
127	Trey Burton	CHI	TE14	6	27	85	188	134	21.2
128	Chris Herndon IV	NYJ	TE15	4	23	93	183	134.2	16.3
129	Nyheim Hines	IND	RB44	6	22	106	172	137	15.1
130	Latavius Murray	NO	RB45	9	29	70	196	126.2	25.1
131	Tre'Quan Smith	NO	WR54	9	23	83	176	126.4	23.3
132	Golden Tate	NYG	WR55	11	31	73	164	126.7	17.1
133	Josh Allen	BUF	QB18	6	23	68	197	139.3	21.4
134	Mecole Hardman	KC	WR56	12	21	92	205	129.3	25.8
135	John Brown	BUF	WR57	6	29	101	203	142.4	24.1
136	Jared Cook	NO	TE16	9	32	73	192	143	18.4
137	DaeSean Hamilton	DEN	WR58	10	24	87	180	144.5	14.8
138	Vance McDonald	PIT	TE17	7	29	62	185	136	28.2
139	Tyrell Williams	OAK	WR59	6	27	71	200	139.9	28.4
140	Jaylen Samuels	PIT	RB46	7	23	106	195	141.6	21.4
141	Josh Gordon	NE	WR60	10	28	67	229	143.4	46.4
142	Kalen Ballage	MIA	RB47	5	23	82	208	155.7	25.7
