Rank	Overall	Team	Pos	Bye	Best	Worst	Avg	Std Dev	ADP	vs. ADP
1	Saquon Barkley	NYG	RB1	11	1	5	1.6	0.8	1	0
2	Christian McCaffrey	CAR	RB2	7	1	10	2.4	0.9	2	0
3	Alvin Kamara	NO	RB3	9	1	5	2.9	1.1	3	0
4	Ezekiel Elliott	DAL	RB4	8	1	52	5.4	5.1	4	0
5	David Johnson	ARI	RB5	12	1	23	6.4	3.6	5	0
6	DeAndre Hopkins	HOU	WR1	10	4	17	7.4	2.2	6	0
7	Davante Adams	GB	WR2	11	5	20	8.3	3.1	8	1
8	Julio Jones	ATL	WR3	9	6	16	10	2.5	10	2
9	James Conner	PIT	RB6	7	3	29	12	5.3	11	2
10	Odell Beckham Jr.	CLE	WR4	7	4	25	12.9	4	12	2
11	Michael Thomas	NO	WR5	9	5	25	13.1	3.8	9	-2
12	Le'Veon Bell	NYJ	RB7	4	2	52	13.2	6.8	7	-5
13	Travis Kelce	KC	TE1	12	6	22	14	2.4	14	1
14	Joe Mixon	CIN	RB8	9	5	31	14.7	4.8	17	3
15	JuJu Smith-Schuster	PIT	WR6	7	6	30	15.1	4.3	16	1
16	Nick Chubb	CLE	RB9	7	1	57	15.2	6.6	18	2
17	Tyreek Hill	KC	WR7	12	6	79	16.8	5.2	15	-2
18	Dalvin Cook	MIN	RB10	12	5	46	17.4	5.3	20	2
19	Todd Gurley	LAR	RB11	9	3	60	19.6	10.8	13	-6
20	Mike Evans	TB	WR8	7	12	34	21.3	4	21	1
21	George Kittle	SF	TE2	4	13	69	24.4	7.5	29	8
22	Keenan Allen	LAC	WR9	12	16	42	26.4	4.4	24	2
23	T.Y. Hilton	IND	WR10	6	20	40	26.6	3.7	27	4
24	Antonio Brown	OAK	WR11	6	14	81	27.1	6.7	22	-2
25	Zach Ertz	PHI	TE3	10	18	69	27.3	9.3	25	0
26	Melvin Gordon	LAC	RB12	12	4	98	27.9	15.7	23	-3
27	Amari Cooper	DAL	WR12	8	12	50	30.1	5.2	32	5
28	Damien Williams	KC	RB13	12	6	71	30.2	12.1	28	0
29	Adam Thielen	MIN	WR13	12	12	44	30.7	4.8	26	-3
30	Kerryon Johnson	DET	RB14	5	14	66	31.7	10.3	30	0
31	Stefon Diggs	MIN	WR14	12	22	51	31.7	4.2	35	4
32	Marlon Mack	IND	RB15	6	14	59	33.6	9.3	36	4
33	Devonta Freeman	ATL	RB16	9	14	59	34.5	9.5	34	1
34	Leonard Fournette	JAC	RB17	10	10	65	34.6	9.3	31	-3
35	Aaron Jones	GB	RB18	11	9	80	34.9	11.3	33	-2
36	Patrick Mahomes	KC	QB1	12	10	73	35.6	13.4	19	-17
37	Julian Edelman	NE	WR15	10	22	68	35.6	7	39	2
38	Brandin Cooks	LAR	WR16	9	20	55	35.7	4.7	40	2
39	Robert Woods	LAR	WR17	9	23	55	37.3	5.7	41	2
40	Kenny Golladay	DET	WR18	5	31	95	41.3	6.6	42	2
41	Chris Godwin	TB	WR19	7	26	73	42.6	8.1	46	5
42	Derrick Henry	TEN	RB19	11	13	93	43.3	9.8	38	-4
43	Josh Jacobs	OAK	RB20	6	22	187	46.1	13.8	37	-6
44	Tyler Lockett	SEA	WR20	11	29	109	47	12.5	51	7
45	Cooper Kupp	LAR	WR21	9	31	74	47.6	8.9	47	2
46	Chris Carson	SEA	RB21	11	24	93	49.9	13	52	6
47	Tyler Boyd	CIN	WR22	9	32	88	53.3	9.7	59	12
48	Calvin Ridley	ATL	WR23	9	34	87	53.6	8.6	55	7
49	Alshon Jeffery	PHI	WR24	10	34	81	54.1	10.5	70	21
50	Mark Ingram	BAL	RB22	8	19	99	54.6	14.3	48	-2
51	D.J. Moore	CAR	WR25	7	34	113	55.7	13.1	60	9
52	Sony Michel	NE	RB23	10	31	89	55.8	11.5	49	-3
53	Allen Robinson	CHI	WR26	6	36	110	57.5	14.5	69	16
54	David Montgomery	CHI	RB24	6	11	257	57.8	19.8	57	3
55	O.J. Howard	TB	TE4	7	22	101	58	12.7	61	6
56	Deshaun Watson	HOU	QB2	10	21	82	53.1	11.7	43	-13
57	A.J. Green	CIN	WR27	9	26	112	58.7	19.6	44	-13
58	Mike Williams	LAC	WR28	12	36	96	59.8	12.9	62	4
59	Aaron Rodgers	GB	QB3	11	29	87	56.8	9.5	54	-5
60	Phillip Lindsay	DEN	RB25	10	33	103	61.9	14.6	45	-15
61	Evan Engram	NYG	TE5	11	18	119	63	12.5	56	-5
62	Andrew Luck	IND	QB4	6	21	115	59.1	14.7	50	-12
63	Jarvis Landry	CLE	WR29	7	30	127	65.5	16.1	64	1
64	Robby Anderson	NYJ	WR30	4	36	100	65.5	13.1	74	10
65	Hunter Henry	LAC	TE6	12	47	94	65.6	9.2	65	0
66	James White	NE	RB26	10	27	115	66.8	15.2	53	-13
67	Kenyan Drake	MIA	RB27	5	14	126	69.8	19.3	66	-1
68	Lamar Miller	HOU	RB28	10	40	125	73.5	15	68	0
69	Sammy Watkins	KC	WR31	12	42	171	74.4	19.6	82	13
70	Tevin Coleman	SF	RB29	4	35	136	74.7	18.3	67	-3
71	Baker Mayfield	CLE	QB5	7	30	119	70	14	58	-13
72	Tarik Cohen	CHI	RB30	6	40	125	77.1	17.3	63	-9
73	Corey Davis	TEN	WR32	11	40	137	77.4	17.7	83	10
74	Matt Ryan	ATL	QB6	9	47	131	73.7	16	72	-2
75	Christian Kirk	ARI	WR33	12	47	124	79	14.5	77	2
76	Will Fuller	HOU	WR34	10	47	165	79.6	17.2	78	2
77	Dante Pettis	SF	WR35	4	42	142	81.2	16.8	79	2
78	Marvin Jones	DET	WR36	5	45	203	81.7	18.5	97	19
79	Latavius Murray	NO	RB31	9	44	164	83.7	16.8	93	14
80	Sterling Shepard	NYG	WR37	11	58	127	86.4	13.4	94	14
81	Curtis Samuel	CAR	WR38	7	57	169	86.6	19.1	105	24
82	Rashaad Penny	SEA	RB32	11	52	149	89.3	15.3	80	-2
83	Cam Newton	CAR	QB7	7	46	150	85.2	17.3	92	9
84	Jared Cook	NO	TE7	9	13	140	85.9	16.4	73	-11
85	Dede Westbrook	JAC	WR39	10	41	195	90.5	23.1	95	10
86	Russell Wilson	SEA	QB8	11	55	158	86.7	20.8	90	4
87	Derrius Guice	WAS	RB33	10	52	158	92	17.2	71	-16
88	Carson Wentz	PHI	QB9	10	54	157	88.1	20.2	87	-1
89	Larry Fitzgerald	ARI	WR40	12	55	143	92.8	18.1	88	-1
90	Courtland Sutton	DEN	WR41	10	58	135	94.2	15.1	96	6
91	Eric Ebron	IND	TE8	6	63	152	92.7	19.6	76	-15
92	David Njoku	CLE	TE9	7	53	169	94	20.1	89	-3
93	Drew Brees	NO	QB10	9	21	162	95.1	21.5	84	-9
94	Royce Freeman	DEN	RB34	10	59	165	101.3	16.6	102	8
95	Austin Ekeler	LAC	RB35	12	52	177	101.4	22.3	75	-20
96	Jared Goff	LAR	QB11	9	64	147	97.1	17.1	101	5
97	Miles Sanders	PHI	RB36	10	45	280	97.1	38.1	81	-16
98	Vance McDonald	PIT	TE10	7	68	262	98.1	27.2	91	-7
99	Jameis Winston	TB	QB12	7	61	204	102.4	19.5	116	17
100	Geronimo Allison	GB	WR42	11	59	169	108.3	21.1	118	18
101	Jordan Howard	PHI	RB37	10	57	182	105.6	23.4	98	-3
102	Kyler Murray	ARI	QB13	12	56	202	102.5	26	103	1
103	Austin Hooper	ATL	TE11	9	63	153	108.5	18.7	108	5
104	Anthony Miller	CHI	WR43	6	79	176	109.8	19.1	135	31
105	Ben Roethlisberger	PIT	QB14	7	69	154	108.5	17.9	112	7
106	Darrell Henderson	LAR	RB38	9	31	294	119.3	38.8	85	-21
107	Lamar Jackson	BAL	QB15	8	59	188	117.6	22.7	129	22
108	DeSean Jackson	PHI	WR44	10	73	219	118.5	24.1	120	12
109	Dak Prescott	DAL	QB16	8	69	161	114.8	18.9	125	16
110	Keke Coutee	HOU	WR45	10	75	217	111.1	21.9	113	3
111	Delanie Walker	TEN	TE12	11	72	289	124.5	27.7	134	23
112	Philip Rivers	LAC	QB17	12	82	173	120.6	19.3	121	9
113	Golden Tate	NYG	WR46	11	65	216	117.1	28.2	132	19
114	LeSean McCoy	BUF	RB39	6	76	288	120.8	31.6	106	-8
115	Marquez Valdes-Scantling	GB	WR47	11	60	223	121	27.7	109	-6
116	Trey Burton	CHI	TE13	6	72	222	125.4	22.5	130	14
117	Matt Breida	SF	RB40	4	75	234	124.1	27.3	131	14
118	Dion Lewis	TEN	RB41	11	82	266	128.9	30.2	156	38
119	Ronald Jones II	TB	RB42	7	66	245	125.3	27.7	104	-15
120	Emmanuel Sanders	DEN	WR48	10	49	209	130	28.6	107	-13
121	Michael Gallup	DAL	WR49	8	74	226	126.1	24.3	158	37
122	Jordan Reed	WAS	TE14	10	77	242	135.7	24.7	141	19
123	Donte Moncrief	PIT	WR50	7	48	234	131.9	35.1	126	3
124	Mitch Trubisky	CHI	QB18	6	68	250	132.2	26.1	138	14
125	Nyheim Hines	IND	RB43	6	93	278	134.6	29.1	124	-1
126	Devin Funchess	IND	WR51	6	45	210	128	29.1	149	23
127	Duke Johnson	HOU	RB44	10	60	237	138.1	29.6	144	17
128	Jack Doyle	IND	TE15	6	93	255	136.8	26.7	179	51
129	Kirk Cousins	MIN	QB19	12	69	231	128.5	25.2	151	22
130	Kalen Ballage	MIA	RB45	5	68	240	137.1	30.1	119	-11
131	Tyrell Williams	OAK	WR52	6	68	238	138.1	35.9	142	11
132	Peyton Barber	TB	RB46	7	76	286	136.6	35.8	114	-18
133	John Brown	BUF	WR53	6	48	205	136.9	23	167	34
134	N'Keal Harry	NE	WR54	10	45	265	137.1	36.3	110	-24
135	Adrian Peterson	WAS	RB47	10	96	224	136.3	24.6	137	2
136	Kyle Rudolph	MIN	TE16	12	93	216	144.4	20.8	139	3
137	Josh Allen	BUF	QB20	6	76	254	141	30.3	176	39
