Rank	Overall	Team	Pos	Bye	Best	Worst	Avg	Std Dev	ADP	vs. ADP
1	Saquon Barkley	NYG	RB1	11	1	5	1.8	1	1	0
2	Christian McCaffrey	CAR	RB2	7	1	6	2.5	1	2	0
3	Alvin Kamara	NO	RB3	9	1	17	3.2	2.3	3	0
4	Ezekiel Elliott	DAL	RB4	8	1	59	5.8	7.4	4	0
5	David Johnson	ARI	RB5	12	1	31	7.7	6.2	5	0
6	DeAndre Hopkins	HOU	WR1	10	5	20	8.8	2.4	6	0
7	Travis Kelce	KC	TE1	12	7	22	9.4	3.1	14	7
8	Davante Adams	GB	WR2	11	5	24	9.6	3.6	8	0
9	Julio Jones	ATL	WR3	9	5	32	10.7	3.4	10	1
10	Michael Thomas	NO	WR4	9	5	34	12.6	4.9	9	-1
11	James Conner	PIT	RB6	7	2	44	13.6	6.8	11	0
12	Le'Veon Bell	NYJ	RB7	4	2	44	13.7	8.3	7	-5
13	Odell Beckham Jr.	CLE	WR5	7	7	30	13.8	4.1	12	-1
14	JuJu Smith-Schuster	PIT	WR6	7	6	34	14.4	4.6	16	2
15	Joe Mixon	CIN	RB8	9	5	42	15.9	6.2	17	2
16	Dalvin Cook	MIN	RB9	12	5	44	17.9	7.3	20	4
17	Nick Chubb	CLE	RB10	7	1	71	19.7	10.4	18	1
18	Mike Evans	TB	WR7	7	7	33	20.8	4.6	21	3
19	Todd Gurley	LAR	RB11	9	1	57	21.1	12	13	-6
20	Tyreek Hill	KC	WR8	12	7	212	22.4	23.7	15	-5
21	Keenan Allen	LAC	WR9	12	9	34	24.6	5.6	24	3
22	Antonio Brown	OAK	WR10	6	13	73	25.4	8.7	22	0
23	T.Y. Hilton	IND	WR11	6	12	36	26.2	4.5	27	4
24	George Kittle	SF	TE2	4	8	69	26.2	9.1	29	5
25	Zach Ertz	PHI	TE3	10	15	69	26.6	8.3	25	0
26	Adam Thielen	MIN	WR12	12	16	55	29.1	5.4	26	0
27	Amari Cooper	DAL	WR13	8	13	49	29.6	5.3	32	5
28	Stefon Diggs	MIN	WR14	12	16	43	30.1	4.3	35	7
29	Melvin Gordon	LAC	RB12	12	1	100	30.5	19.5	23	-6
30	Damien Williams	KC	RB13	12	4	61	32.6	13.4	28	-2
31	Julian Edelman	NE	WR15	10	10	68	33.5	7.7	39	8
32	Kerryon Johnson	DET	RB14	5	4	76	33.8	13.4	30	-2
33	Brandin Cooks	LAR	WR16	9	20	49	34.6	3.4	40	7
34	Leonard Fournette	JAC	RB15	10	14	61	35.3	12.8	31	-3
35	Robert Woods	LAR	WR17	9	24	73	35.7	6.3	41	6
36	Devonta Freeman	ATL	RB16	9	11	66	36	12.3	34	-2
37	Aaron Jones	GB	RB17	11	14	83	36.3	14.3	33	-4
38	Marlon Mack	IND	RB18	6	17	61	37.9	12.7	36	-2
39	Patrick Mahomes	KC	QB1	12	1	56	38.9	7	19	-20
40	Kenny Golladay	DET	WR18	5	30	97	41.4	10.9	42	2
41	Chris Godwin	TB	WR19	7	25	73	41.8	8.6	46	5
42	Tyler Lockett	SEA	WR20	11	28	113	47.4	14.7	51	9
43	Cooper Kupp	LAR	WR21	9	29	86	47.8	12	47	4
44	Tyler Boyd	CIN	WR22	9	33	96	51.1	12.7	59	15
45	Josh Jacobs	OAK	RB19	6	4	227	51.9	24.7	37	-8
46	Alshon Jeffery	PHI	WR23	10	32	97	52.8	11.7	70	24
