Rank	Rookies	Team	Pos	Bye	Age	Best	Worst	Avg	Std Dev
1	Josh Jacobs	OAK	RB1	6	21	1	4	1.1	0.3
2	David Montgomery	CHI	RB2	6	22	2	4	2.3	0.5
3	Miles Sanders	PHI	RB3	10	22	1	4	2.9	0.3
4	N'Keal Harry	NE	WR1	10	21	1	13	4.6	1.8
5	A.J. Brown	TEN	WR2	11	22	5	12	7.1	2.1
6	D.K. Metcalf	SEA	WR3	11	21	4	14	7.7	2.8
7	T.J. Hockenson	DET	TE1	5	22	6	13	9.4	1.8
8	Darrell Henderson	LAR	RB4	9	22	4	14	9.6	1.5
9	Marquise Brown	BAL	WR4	8	22	5	15	9.9	2.4
10	Parris Campbell	IND	WR5	6	22	5	18	10	2.4
11	Kyler Murray	ARI	QB1	12	22	5	19	10.4	2.6
12	Justice Hill	BAL	RB5	8	21	5	19	12.4	4.1
13	Devin Singletary	BUF	RB6	6	21	4	18	12.6	4.6
14	Noah Fant	DEN	TE2	10	21	11	22	13.1	2.4
15	Deebo Samuel	SF	WR6	4	23	6	18	13.3	3.5
16	J.J. Arcega-Whiteside	PHI	WR7	10	22	7	23	15.3	4.1
17	Damien Harris	NE	RB7	10	22	10	26	16.6	2.6
18	Andy Isabella	ARI	WR8	12	22	12	33	16.7	1.6
19	Mecole Hardman	KC	WR9	12	21	15	29	19.4	3.4
20	Miles Boykin	BAL	WR10	8	22	17	32	21.6	1.3
21	Irv Smith Jr.	MIN	TE3	12	21	20	27	23.6	2.3
22	Darwin Thompson	KC	RB8	12	22	10	33	23.7	3.6
23	Terry McLaurin	WAS	WR11	10	23	21	29	25.4	2.4
24	Hakeem Butler	ARI	WR12	12	23	19	36	25.6	5.5
25	Jalen Hurd	SF	WR13	4	23	20	30	25.7	2.4
26	Diontae Johnson	PIT	WR14	7	23	21	37	26.6	2.6
27	Dwayne Haskins	WAS	QB2	10	22	21	35	26.6	2.7
28	Alexander Mattison	MIN	RB9	12	21	17	32	27	3
29	Jace Sternberger	GB	TE4	11	23	18	35	27.6	3.4
30	Tony Pollard	DAL	RB10	8	22	15	46	29.3	9.2
31	Preston Williams	MIA	WR15	5	22	14	58	31.3	4.4
32	Daniel Jones	NYG	QB3	11	22	26	40	33	3.9
33	KeeSean Johnson	ARI	WR16	12	22	24	50	34.4	6.9
34	Kelvin Harmon	WAS	WR17	10	22	25	44	35	5.3
35	Rodney Anderson	CIN	RB11	9		29	60	37.1	4.8
36	Benny Snell Jr.	PIT	RB12	7	21	30	50	37.4	3.8
37	Ryquell Armstead	JAC	RB13	10	22	32	53	37.9	2.4
38	Bryce Love	WAS	RB14	10	22	34	47	39.1	2.8
39	Dexter Williams	GB	RB15	11		34	51	39.6	2.2
40	Riley Ridley	CHI	WR18	6	22	30	61	40.9	7.4
41	Trayveon Williams	CIN	RB16	9	21	38	64	42.1	4.2
42	Drew Lock	DEN	QB4	10	22	36	46	42.3	3.1
43	Gary Jennings	SEA	WR19	11	22	29	78	44.1	8.1
44	Josh Oliver	JAC	TE5	10	22	36	57	46.1	4.8
45	Myles Gaskin	MIA	RB17	5	22	39	65	47	2.4
46	Hunter Renfrow	OAK	WR20	6	23	34	52	48.3	2.5
47	Jakobi Meyers	NE	WR21	10		21	64	40.2	11.4
48	Mike Weber	DAL	RB18	8	22	35	63	51.6	5.3
49	Dawson Knox	BUF	TE6	6	22	36	66	51.7	6.8
50	Emanuel Hall	TB	WR22	7	22	37	62	53.1	4.3
51	Darius Slayton	NYG	WR23	11	22	37	84	53	15.5
52	Will Grier	CAR	QB5	7	24	47	61	54.3	4.7
53	Jordan Scarlett	CAR	RB19	7	23	44	71	55.7	10.5
54	Bruce Anderson	TB	RB20	7		29	61	47.4	10.8
55	Elijah Holyfield	CAR	RB21	7		47	71	56.7	8.8
56	Karan Higdon	HOU	RB22	10	22	34	60	49	9.5
57	Kahale Warring	HOU	TE7	10	22	42	73	57.2	12.5
58	David Sills	BUF	WR24	6		55	63	58.8	3.2
59	Qadree Ollison	ATL	RB23	9	22	40	69	51.8	10.2
