Rank	Tier	WSID	Overall	Team	Pos	Bye	Age	Best	Worst	Avg	Std Dev
1	undefined		Christian McCaffrey	CAR	RB1	13	24	1	2	1.1	0.3
2	undefined		Saquon Barkley	NYG	RB2	11	23	1	3	2	0.3
3	undefined		Michael Thomas	NO	WR1	6	27	1	10	4	1.7
4	undefined		Ezekiel Elliott	DAL	RB3	10	25	3	7	4.4	1
5	undefined		Alvin Kamara	NO	RB4	6	25	3	15	6.2	2.6
6	undefined		Davante Adams	GB	WR2	5	27	4	23	8.1	3.3
7	undefined		Tyreek Hill	KC	WR3	10	26	4	16	8.8	2.8
8	undefined		Chris Godwin	TB	WR4	13	24	5	24	9.4	1.7
9	undefined		Dalvin Cook	MIN	RB5	7	25	2	61	10	4.9
10	undefined		DeAndre Hopkins	ARI	WR5	8	28	4	28	10.7	5.1
11	undefined		Joe Mixon	CIN	RB6	9	24	6	57	14.6	4.6
12	undefined		Nick Chubb	CLE	RB7	9	24	6	27	15.7	5.2
13	undefined		Clyde Edwards-Helaire	KC	RB8	10	21	5	62	16.4	12.9
14	undefined		D.J. Moore	CAR	WR6	13	23	8	33	16.9	4.8
15	undefined		JuJu Smith-Schuster	PIT	WR7	8	23	10	35	17.4	6.7
16	undefined		Mike Evans	TB	WR8	13	27	10	40	17.9	5.3
17	undefined		Josh Jacobs	LV	RB9	6	22	7	60	18.1	5.4
18	undefined		Miles Sanders	PHI	RB10	9	23	9	65	18.1	5.5
19	undefined		George Kittle	SF	TE1	11	26	11	33	21.6	4.6
20	undefined		Jonathan Taylor	IND	RB11	7	21	3	74	22.3	16.6
21	undefined		Kenny Golladay	DET	WR9	5	26	13	33	22.5	4.5
22	undefined		A.J. Brown	TEN	WR10	7	23	7	50	22.6	7.6
23	undefined		Amari Cooper	DAL	WR11	10	26	12	38	22.6	6.9
24	undefined		Derrick Henry	TEN	RB12	7	26	9	41	23.9	7
25	undefined		Odell Beckham Jr.	CLE	WR12	9	27	13	39	25.6	7.8
26	undefined		Patrick Mahomes	KC	QB1	10	24	17	49	29	6.1
27	undefined		Travis Kelce	KC	TE2	10	30	11	60	30.1	7.7
28	undefined		Julio Jones	ATL	WR13	10	31	14	55	30.6	9.8
29	undefined		Austin Ekeler	LAC	RB13	10	25	21	66	30.7	5.4
30	undefined		Courtland Sutton	DEN	WR14	8	24	18	52	30.9	6.8
31	undefined		Allen Robinson	CHI	WR15	11	27	17	47	30.9	5.9
32	undefined		D.K. Metcalf	SEA	WR16	6	22	16	58	32.2	5.7
33	undefined		Calvin Ridley	ATL	WR17	10	25	23	55	33.9	5.4
34	undefined		Aaron Jones	GB	RB14	5	25	19	69	34.1	6
35	undefined		Lamar Jackson	BAL	QB2	8	23	7	50	34.5	6.6
36	undefined		Cooper Kupp	LAR	WR18	9	27	20	75	37.4	10
37	undefined		J.K. Dobbins	BAL	RB15	8	21	14	102	38.9	20
38	undefined		D'Andre Swift	DET	RB16	5	21	13	79	40.6	15.8
39	undefined		Kenyan Drake	ARI	RB17	8	26	15	77	42.3	7.5
40	undefined		Keenan Allen	LAC	WR19	10	28	25	79	42.9	12
41	undefined		Cam Akers	LAR	RB18	9	21	19	83	43.3	15.2
42	undefined		CeeDee Lamb	DAL	WR20	10	21	14	87	43.4	15.5
43	undefined		Mark Andrews	BAL	TE3	8	25	12	69	44.6	11.3
44	undefined		D.J. Chark	JAC	WR21	7	23	34	58	44.7	6
45	undefined		Terry McLaurin	WAS	WR22	8	24	19	74	44.7	10.8
46	undefined		Stefon Diggs	BUF	WR23	11	26	30	81	45.1	8.6
47	undefined		Jerry Jeudy	DEN	WR24	8	21	29	93	51.4	20.4
48	undefined		Melvin Gordon	DEN	RB19	8	27	27	85	53	8.9
49	undefined		Robert Woods	LAR	WR25	9	28	35	90	54.2	8.4
50	undefined		Tyler Boyd	CIN	WR26	9	25	37	88	55.7	9.6
51	undefined		Dak Prescott	DAL	QB3	10	27	41	75	57.2	7
52	undefined		Kyler Murray	ARI	QB4	8	23	34	76	57.3	8.2
53	undefined		Michael Gallup	DAL	WR27	10	24	35	107	58	14
54	undefined		Zach Ertz	PHI	TE4	9	29	33	88	58.4	14.3
55	undefined		Deebo Samuel	SF	WR28	11	24	39	82	58.5	11
56	undefined		Tyler Lockett	SEA	WR29	6	27	30	96	59	13.4
57	undefined		Todd Gurley	ATL	RB20	10	26	23	97	60.5	13.3
58	undefined		Jarvis Landry	CLE	WR30	9	27	42	86	60.6	10.7
59	undefined		David Montgomery	CHI	RB21	11	23	39	93	61.5	9.9
60	undefined		Deshaun Watson	HOU	QB5	8	24	47	70	62.3	6
61	undefined		Jalen Reagor	PHI	WR31	9	21	33	101	64	20.3
62	undefined		Evan Engram	NYG	TE5	11	26	36	106	64	12.8
63	undefined		Leonard Fournette	FA	RB22		25	30	147	65	26.7
64	undefined		Chris Carson	SEA	RB23	6	25	27	108	65.5	11.9
65	undefined		Adam Thielen	MIN	WR32	7	30	29	106	65.5	15.7
66	undefined		James Conner	PIT	RB24	8	25	40	103	66.5	11.9
67	undefined		Russell Wilson	SEA	QB6	6	31	52	79	67.6	6.4
68	undefined		Devin Singletary	BUF	RB25	11	23	29	94	68	10.2
69	undefined		Le'Veon Bell	NYJ	RB26	11	28	47	114	69.1	8.8
70	undefined		Kareem Hunt	CLE	RB27	9	25	37	89	69.3	11.5
71	undefined		Marquise Brown	BAL	WR33	8	23	41	106	69.7	15
72	undefined		DeVante Parker	MIA	WR34	11	27	32	104	71.4	12.9
73	undefined		Darren Waller	LV	TE6	6	27	46	102	74	15
74	undefined		Christian Kirk	ARI	WR35	8	23	53	114	74.4	16.1
75	undefined		Justin Jefferson	MIN	WR36	7	21	38	114	61.7	20
76	undefined		Hunter Henry	LAC	TE7	10	25	51	127	79	14.7
77	undefined		T.J. Hockenson	DET	TE8	5	23	56	121	81.4	14.7
78	undefined		Noah Fant	DEN	TE9	8	22	52	121	83.8	15.2
79	undefined		Mike Williams	LAC	WR37	10	25	47	136	85	15
80	undefined		David Johnson	HOU	RB28	8	28	51	112	90.7	12.9
81	undefined		Carson Wentz	PHI	QB7	9	27	59	136	91	13.2
82	undefined		N'Keal Harry	NE	WR38	6	22	53	148	91.4	24.3
83	undefined		T.Y. Hilton	IND	WR39	7	30	53	124	92.5	16.2
84	undefined		Ke'Shawn Vaughn	TB	RB29	13	23	52	156	93.7	22.3
85	undefined		Joe Burrow	CIN	QB8	9	23	53	113	94.7	11.1
86	undefined		Henry Ruggs III	LV	WR40	6	21	49	124	79.3	19
87	undefined		Will Fuller	HOU	WR41	8	26	59	155	95.8	19.1
88	undefined		Josh Allen	BUF	QB9	11	24	58	134	96	16.6
89	undefined		Diontae Johnson	PIT	WR42	8	24	58	133	97	17.8
90	undefined		Brandin Cooks	HOU	WR43	8	26	81	125	97.6	11.7
91	undefined		Mecole Hardman	KC	WR44	10	22	73	150	98.9	18.8
92	undefined		Mike Gesicki	MIA	TE10	11	24	51	150	100	21.1
93	undefined		Dallas Goedert	PHI	TE11	9	25	77	138	100.5	14.9
94	undefined		Ronald Jones II	TB	RB30	13	23	46	157	101.2	25.5
95	undefined		Austin Hooper	CLE	TE12	9	25	70	155	103.5	19.9
96	undefined		Mark Ingram II	BAL	RB31	8	30	62	181	104.2	20.1
97	undefined		Kerryon Johnson	DET	RB32	5	23	43	145	104.5	21.8
98	undefined		Darius Slayton	NYG	WR45	11	23	74	138	105.4	16.5
99	undefined		Tyler Higbee	LAR	TE13	9	27	54	140	106.1	18.8
100	undefined		Baker Mayfield	CLE	QB10	9	25	78	152	106.1	16.8
101	undefined		A.J. Green	CIN	WR46	9	32	79	137	106.5	15.8
102	undefined		Zack Moss	BUF	RB33	11	22	44	129	106.7	14.8
103	undefined		Matt Ryan	ATL	QB11	10	35	72	138	109	15.5
104	undefined		Phillip Lindsay	DEN	RB34	8	26	60	140	109.1	17.6
105	undefined		Raheem Mostert	SF	RB35	11	28	68	142	109.9	20.4
106	undefined		Michael Pittman Jr.	IND	WR47	7	22	63	143	96.6	22.1
107	undefined		Matthew Stafford	DET	QB12	5	32	74	151	112.7	15.5
108	undefined		Marlon Mack	IND	RB36	7	24	42	160	113	21.6
109	undefined		Tua Tagovailoa	MIA	QB13	11	22	82	135	113.2	13.2
110	undefined		Alexander Mattison	MIN	RB37	7	22	77	198	117.2	16.6
111	undefined		Darrell Henderson	LAR	RB38	9	23	72	217	117.4	28.8
112	undefined		Tee Higgins	CIN	WR48	9	21	42	144	89.6	24.3
113	undefined		Daniel Jones	NYG	QB14	11	23	67	144	120.1	12.7
114	undefined		Sony Michel	NE	RB39	6	25	66	201	120.3	28
115	undefined		Jared Goff	LAR	QB15	9	25	63	175	120.8	17.8
116	undefined		Preston Williams	MIA	WR49	11	23	85	183	121	19.6
117	undefined		Antonio Gibson	WAS	RB40	8	22	70	208	121.2	35.1
118	undefined		Anthony Miller	CHI	WR50	11	24	86	176	121.3	15.1
119	undefined		Sterling Shepard	NYG	WR51	11	27	87	158	121.6	18.1
120	undefined		Aaron Rodgers	GB	QB16	5	36	87	161	122.7	16.4
121	undefined		Irv Smith Jr.	MIN	TE14	7	22	92	173	124.1	13.8
122	undefined		Denzel Mims	NYJ	WR52	11	22	63	207	111.8	33.2
123	undefined		James White	NE	RB41	6	28	79	195	128.5	23.8
124	undefined		Marvin Jones	DET	WR53	5	30	86	174	129.1	25.5
125	undefined		Matt Breida	MIA	RB42	11	25	89	211	130	22.9
126	undefined		Curtis Samuel	CAR	WR54	13	24	67	202	116.3	25.4
127	undefined		Tarik Cohen	CHI	RB43	11	25	94	194	134.5	20.8
128	undefined		John Brown	BUF	WR55	11	30	79	194	135.5	25.5
129	undefined		Parris Campbell	IND	WR56	7	23	100	174	137.7	15.2
130	undefined		Jordan Howard	MIA	RB44	11	25	69	203	137.9	34.9
131	undefined		Jonnu Smith	TEN	TE15	7	25	72	258	140	25.5
132	undefined		Sam Darnold	NYJ	QB17	11	23	94	168	140.5	15.7
133	undefined		Tony Pollard	DAL	RB45	10	23	84	182	127.7	27.9
134	undefined		Julian Edelman	NE	WR57	6	34	105	180	141.2	21.7
135	undefined		Brandon Aiyuk	SF	WR58	11	22	67	166	97.9	26.7
136	undefined		Rashaad Penny	SEA	RB46	6	24	89	179	128.7	23.7
137	undefined		Drew Lock	DEN	QB18	8	23	98	203	142.1	17.4
138	undefined		Laviska Shenault Jr.	JAC	WR59	7	21	49	182	100.7	28.2
139	undefined		Jimmy Garoppolo	SF	QB19	11	28	107	195	145	18.5
140	undefined		A.J. Dillon	GB	RB47	5	22	70	300	133.6	45
141	undefined		Kirk Cousins	MIN	QB20	7	32	98	194	146.8	18.1
142	undefined		Tevin Coleman	SF	RB48	11	27	100	165	136.1	12.9
143	undefined		Damien Harris	NE	RB49	6	23	101	188	149.9	20.5
144	undefined		Ryan Tannehill	TEN	QB21	7	32	95	189	150.1	19.1
145	undefined		Robby Anderson	CAR	WR60	13	27	60	158	139.8	13.6
146	undefined		Hayden Hurst	ATL	TE16	10	27	53	273	141.2	43.6
147	undefined		Jamison Crowder	NYJ	WR61	11	27	126	208	153.8	19.9
148	undefined		Chris Herndon IV	NYJ	TE17	11	24	108	190	156.2	21.4
149	undefined		Ian Thomas	CAR	TE18	13	24	111	199	156.6	17.4
150	undefined		Duke Johnson	HOU	RB50	8	26	128	196	157.9	18.5
151	undefined		O.J. Howard	TB	TE19	13	25	96	190	146.4	17.9
152	undefined		Bryan Edwards	LV	WR62	6	21	65	168	102.4	26.1
153	undefined		Sammy Watkins	KC	WR63	10	27	83	200	149.4	21.2
154	undefined		Justin Herbert	LAC	QB22	10	22	91	200	162	17.5
155	undefined		Corey Davis	TEN	WR64	7	25	113	199	152.3	19.1
156	undefined		Chase Edmonds	ARI	RB51	8	24	107	199	152.5	24.3
157	undefined		Jared Cook	NO	TE20	6	33	88	208	169	22.2
158	undefined		Eric Ebron	PIT	TE21	8	27	131	248	172.7	13.4
159	undefined		Drew Brees	NO	QB23	6	41	94	208	173.9	17.4
160	undefined		James Washington	PIT	WR65	8	24	116	203	152	23
161	undefined		Cam Newton	NE	QB24	6	31	99	295	178.7	43.3
162	undefined		Rob Gronkowski	TB	TE22	13	31	93	246	168.2	34.6
