Rank	Tier	WSID	Overall	Team	Pos	Bye	Best	Worst	Avg	Std Dev	ADP	vs. ADP
1	1		Christian McCaffrey	CAR	RB1	13	1	5	1.1	0.4	1	0
2	1		Saquon Barkley	NYG	RB2	11	1	5	2.1	0.6	2	0
3	1		Ezekiel Elliott	DAL	RB3	10	2	10	3.2	1	3	0
4	1		Alvin Kamara	NO	RB4	6	2	18	4.7	1.4	5	1
5	1		Dalvin Cook	MIN	RB5	7	2	22	6.3	2.3	7	2
6	1		Derrick Henry	TEN	RB6	7	3	17	7	2.7	6	0
7	2		Michael Thomas	NO	WR1	6	3	16	7.7	2.6	4	-3
8	2		Clyde Edwards-Helaire	KC	RB7	10	4	58	10.4	5.9	18	10
9	2		Davante Adams	GB	WR2	5	3	25	10.6	2.9	8	-1
10	2		Joe Mixon	CIN	RB8	9	4	38	12.4	6.5	9	-1
11	2		Julio Jones	ATL	WR3	10	6	25	13.6	3.2	11	0
12	2		Tyreek Hill	KC	WR4	10	5	41	14.4	4.1	10	-2
13	2		Miles Sanders	PHI	RB9	9	5	40	14.7	6.5	23	10
14	2		Nick Chubb	CLE	RB10	9	4	43	15.2	5.8	12	-2
15	3		Josh Jacobs	LV	RB11	6	2	61	15.6	6.3	15	0
16	3		Kenyan Drake	ARI	RB12	8	6	59	16.5	7.2	14	-2
17	3		Austin Ekeler	LAC	RB13	10	4	43	17.7	7.2	24	7
18	3		Travis Kelce	KC	TE1	10	8	44	18.1	3.9	16	-2
19	3		Aaron Jones	GB	RB14	5	7	62	20.1	7.3	22	3
20	3		Chris Godwin	TB	WR5	13	11	47	20.1	5.2	19	-1
21	3		DeAndre Hopkins	ARI	WR6	8	8	42	20.2	6.1	13	-8
22	3		George Kittle	SF	TE2	11	11	65	21.2	4.9	20	-2
23	3		Kenny Golladay	DET	WR7	5	13	52	24.4	5.8	25	2
24	4		Allen Robinson	CHI	WR8	11	10	73	28.5	8	28	4
25	4		Patrick Mahomes	KC	QB1	10	15	57	28.9	7.1	17	-8
26	4		Mike Evans	TB	WR9	13	15	69	29.3	7.5	26	0
27	4		Chris Carson	SEA	RB15	6	18	76	31.1	9.5	34	7
28	4		Lamar Jackson	BAL	QB2	8	6	70	31.2	9.8	21	-7
29	4		James Conner	PIT	RB16	8	9	88	33.2	10.9	42	13
30	4		Todd Gurley	ATL	RB17	10	7	77	33.5	11.8	29	-1
31	4		D.J. Moore	CAR	WR10	13	11	96	34.2	11.6	33	2
32	4		Adam Thielen	MIN	WR11	7	17	70	34.4	9.4	31	-1
33	4		Odell Beckham Jr.	CLE	WR12	9	15	83	35.2	9.3	27	-6
34	4		JuJu Smith-Schuster	PIT	WR13	8	12	82	35.4	10.4	30	-4
35	4		Amari Cooper	DAL	WR14	10	15	71	36.5	9.6	32	-3
36	4		Melvin Gordon	DEN	RB18	8	14	87	39.3	10.7	37	1
37	4		Jonathan Taylor	IND	RB19	7	17	177	40.1	13.3	40	3
38	4		Robert Woods	LAR	WR15	9	16	86	40.4	11.7	58	20
39	4		David Johnson	HOU	RB20	8	15	95	40.8	12.1	50	11
40	4		A.J. Brown	TEN	WR16	7	20	87	40.8	9.2	35	-5
41	4		Calvin Ridley	ATL	WR17	10	16	92	41.2	10.2	43	2
42	5		Le'Veon Bell	NYJ	RB21	11	13	141	42.6	11.7	44	2
43	5		Cooper Kupp	LAR	WR18	9	11	105	43.1	13	39	-4
44	5		Mark Andrews	BAL	TE3	8	17	93	45.2	9.8	36	-8
45	5		Mark Ingram II	BAL	RB22	8	21	149	48.3	14.3	46	1
46	5		D.J. Chark	JAC	WR19	7	25	96	49.4	11.6	51	5
47	5		Terry McLaurin	WAS	WR20	8	18	102	49.4	13.6	55	8
48	5		Tyler Lockett	SEA	WR21	6	24	128	49.9	10.6	48	0
49	5		Zach Ertz	PHI	TE4	9	27	120	51.3	9.7	41	-8
50	5		D.K. Metcalf	SEA	WR22	6	27	120	54.9	14.8	54	4
51	5		Courtland Sutton	DEN	WR23	8	30	129	55.5	15.1	45	-6
52	5		Keenan Allen	LAC	WR24	10	29	94	55.6	12.5	49	-3
53	5		Dak Prescott	DAL	QB3	10	19	92	56.2	9.3	47	-6
54	5		Kareem Hunt	CLE	RB23	9	26	102	58.5	13.2	71	17
55	5		Cam Akers	LAR	RB24	9	26	180	58.7	17.3	70	15
56	5		Raheem Mostert	SF	RB25	11	24	179	58.7	20	60	4
57	6		DeVante Parker	MIA	WR25	11	25	145	62.2	16.9	53	-4
58	6		D'Andre Swift	DET	RB26	5	25	178	62.8	20.8	65	7
59	6		Darren Waller	LV	TE5	6	33	147	62.9	14.8	56	-3
60	6		Kyler Murray	ARI	QB4	8	21	112	63.3	10.4	57	-3
61	6		Russell Wilson	SEA	QB5	6	22	87	61.3	8.2	52	-9
62	6		Deshaun Watson	HOU	QB6	8	23	104	64.8	10	59	-3
63	6		Devin Singletary	BUF	RB27	11	13	150	62.4	18.4	61	-2
64	6		T.Y. Hilton	IND	WR26	7	38	126	65.8	15.4	62	-2
65	6		Ronald Jones II	TB	RB28	13	20	153	65.9	18	86	21
66	6		Stefon Diggs	BUF	WR27	11	30	127	67	14.3	64	-2
67	6		David Montgomery	CHI	RB29	11	33	155	64.1	21.4	63	-4
68	6		Jarvis Landry	CLE	WR28	9	44	143	75	15.6	74	6
69	6		Michael Gallup	DAL	WR29	10	41	135	76	17.3	73	4
70	6		Evan Engram	NYG	TE6	11	36	184	77.5	21.7	79	9
71	6		Tyler Boyd	CIN	WR30	9	41	120	75	14.4	75	4
72	6		Marquise Brown	BAL	WR31	8	38	150	78.2	19.2	77	5
73	6		A.J. Green	CIN	WR32	9	25	184	80.8	22.1	69	-4
74	6		Josh Allen	BUF	QB7	11	31	138	78.6	13.2	68	-6
75	6		Julian Edelman	NE	WR33	6	32	187	84.9	22.6	82	7
76	6		Matt Ryan	ATL	QB8	10	38	167	79.3	16	76	0
77	6		Hunter Henry	LAC	TE7	10	38	179	86.7	22.4	66	-11
78	6		Tyler Higbee	LAR	TE8	9	43	163	86.9	24.8	67	-11
79	6		Jordan Howard	MIA	RB30	11	47	169	84.7	20.1	88	9
80	6		James White	NE	RB31	6	35	242	84.9	27.3	93	13
81	6		Marvin Jones	DET	WR34	5	51	162	89.1	17.9	90	9
82	7		Will Fuller	HOU	WR35	8	50	193	90.1	25.3	84	2
83	7		Carson Wentz	PHI	QB9	9	25	152	88.4	15.4	89	6
84	7		J.K. Dobbins	BAL	RB32	8	39	188	88.4	26.7	94	10
85	7		Drew Brees	NO	QB10	6	48	243	92.1	20	72	-13
86	7		Brandin Cooks	HOU	WR36	8	46	210	95	27.5	95	9
87	7		Tom Brady	TB	QB11	13	37	187	93.3	17.2	83	-4
88	7		Phillip Lindsay	DEN	RB33	8	49	233	93.3	24.7	92	4
89	7		Hayden Hurst	ATL	TE9	10	42	190	98	25.8	113	24
