Rank	Tier	WSID	Rookies	Team	Pos	Bye	Age	Best	Worst	Avg	Std Dev
1	undefined		Clyde Edwards-Helaire	KC	RB1	10	21	1	2	1	0
2	undefined		Jonathan Taylor	IND	RB2	7	21	1	5	2	0
3	undefined		J.K. Dobbins	BAL	RB3	8	21	3	6	4	1
4	undefined		CeeDee Lamb	DAL	WR1	10	21	3	7	4.4	1.4
5	undefined		D'Andre Swift	DET	RB4	5	21	2	6	4.5	0.5
6	undefined		Cam Akers	LAR	RB5	9	21	3	10	6.5	1.9
7	undefined		Jerry Jeudy	DEN	WR2	8	21	4	11	6.9	1.9
8	undefined		Jalen Reagor	PHI	WR3	9	21	6	13	8.5	1.4
9	undefined		Justin Jefferson	MIN	WR4	7	21	7	14	9.5	1.5
10	undefined		Henry Ruggs III	LV	WR5	6	21	8	15	10.5	1.6
11	undefined		Tee Higgins	CIN	WR6	9	21	7	22	12.7	2.9
12	undefined		Michael Pittman Jr.	IND	WR7	7	22	9	22	13.9	2.5
13	undefined		Denzel Mims	NYJ	WR8	11	22	11	21	15	2.9
14	undefined		Brandon Aiyuk	SF	WR9	11	22	9	21	15.6	2.3
15	undefined		Laviska Shenault Jr.	JAC	WR10	7	21	9	25	15.8	2
16	undefined		Joe Burrow	CIN	QB1	9	23	8	26	16.4	2.9
17	undefined		Antonio Gibson	WAS	RB6	8	22	10	23	17.2	2.5
18	undefined		Bryan Edwards	LV	WR11	6	21	11	23	17.2	3.4
19	undefined		Ke'Shawn Vaughn	TB	RB7	13	23	7	29	18.6	6
20	undefined		Zack Moss	BUF	RB8	11	22	12	28	19.1	2.8
21	undefined		Tua Tagovailoa	MIA	QB2	11	22	16	29	19.8	1.6
22	undefined		A.J. Dillon	GB	RB9	5	22	11	33	20.5	4.8
23	undefined		Chase Claypool	PIT	WR12	8	22	18	45	24.4	3.9
24	undefined		Justin Herbert	LAC	QB3	10	22	21	38	26.2	3.2
25	undefined		KJ Hamler	DEN	WR13	8	21	19	39	26.5	4.4
26	undefined		Anthony McFarland Jr.	PIT	RB10	8	22	17	39	27.9	5.2
27	undefined		Darrynton Evans	TEN	RB11	7	22	20	41	28.6	3.6
28	undefined		Van Jefferson	LAR	WR14	9	24	18	47	29.8	7
29	undefined		Devin Duvernay	BAL	WR15	8	22	26	42	31	5.5
30	undefined		Joshua Kelley	LAC	RB12	10	22	9	37	28.9	5.5
31	undefined		Cole Kmet	CHI	TE1	11	21	24	46	32.9	5.3
32	undefined		Adam Trautman	NO	TE2	6	23	26	39	33.3	3.8
33	undefined		Antonio Gandy-Golden	WAS	WR16	8	22	27	43	34	3.1
34	undefined		Eno Benjamin	ARI	RB13	8	21	25	46	36.3	4
