RK	TIERS	PLAYER NAME	TEAM	POS	BYE WEEK	AGE	SOS SEASON	ECR VS. ADP
1	1	Najee Harris	PIT	RB1	7	23	5 out of 5 stars	0
2	1	Ja'Marr Chase	CIN	WR1	10	21	2 out of 5 stars	0
3	1	Kyle Pitts	ATL	TE1	6	20	2 out of 5 stars	0
4	2	DeVonta Smith	PHI	WR2	14	22	3 out of 5 stars	2
5	2	Javonte Williams	DEN	RB2	11	21	5 out of 5 stars	-1
6	2	Trevor Lawrence	JAC	QB1	7	21	4 out of 5 stars	-1
7	2	Jaylen Waddle	MIA	WR3	14	22	3 out of 5 stars	0
8	3	Rashod Bateman	BAL	WR4	8	21	2 out of 5 stars	17
9	3	Travis Etienne Jr.	JAC	RB3	7	22	4 out of 5 stars	-
10	3	Elijah Moore	NYJ	WR5	6	21	4 out of 5 stars	2
11	3	Justin Fields	CHI	QB2	10	22	2 out of 5 stars	-2
12	3	Rondale Moore	ARI	WR6	12	21	2 out of 5 stars	2
13	3	Terrace Marshall Jr.	CAR	WR7	13	21	5 out of 5 stars	-2
14	3	Trey Sermon	SF	RB4	6	22	3 out of 5 stars	-4
15	3	Trey Lance	SF	QB3	6	21	5 out of 5 stars	-7
16	4	Michael Carter	NYJ	RB5	6	22	4 out of 5 stars	-3
17	4	Kenneth Gainwell	PHI	RB6	14	22	3 out of 5 stars	1
18	4	Amon-Ra St. Brown	DET	WR8	9	21	1 out of 5 stars	-2
19	4	Zach Wilson	NYJ	QB4	6	22	3 out of 5 stars	-4
20	4	Kadarius Toney	NYG	WR9	10	22	3 out of 5 stars	-3
21	4	Dyami Brown	WAS	WR10	9	21	3 out of 5 stars	9
22	4	Chuba Hubbard	CAR	RB7	13	22	2 out of 5 stars	0
23	5	Pat Freiermuth	PIT	TE2	7	22	5 out of 5 stars	-2
24	5	Amari Rodgers	GB	WR11	13	21	1 out of 5 stars	-4
25	5	Mac Jones	NE	QB5	14	23	5 out of 5 stars	-6
26	5	Rhamondre Stevenson	NE	RB8	14	23	3 out of 5 stars	1
27	5	Nico Collins	HOU	WR12	10	22	3 out of 5 stars	-4
28	5	Tylan Wallace	BAL	WR13	8	22	2 out of 5 stars	3
29	5	D'Wayne Eskridge	SEA	WR14	9	24	1 out of 5 stars	-5
30	5	Elijah Mitchell	SF	RB9	6	23	3 out of 5 stars	4
31	5	Tutu Atwell	LAR	WR15	11	21	5 out of 5 stars	-2
32	6	Josh Palmer	LAC	WR16	7	21	3 out of 5 stars	-6
33	6	Kylin Hill	GB	RB10	13	23	0 out of 5 stars	7
34	6	Jermar Jefferson	DET	RB11	9	21	0 out of 5 stars	1
35	6	Anthony Schwartz	CLE	WR17	13	21	1 out of 5 stars	1
36	6	Brevin Jordan	HOU	TE3	10	21	4 out of 5 stars	1
37	6	Khalil Herbert	CHI	RB12	10	23	3 out of 5 stars	2
38	6	Jaret Patterson	WAS	RB13	9	21	3 out of 5 stars	-6
39	6	Hunter Long	MIA	TE4	14	23	4 out of 5 stars	-6
40	6	Demetric Felton	CLE	RB18	13	23	1 out of 5 stars	8
41	6	Marquez Stevenson	BUF	WR19	7	23	3 out of 5 stars	13
42	6	Kyle Trask	TB	QB6	9	23	2 out of 5 stars	0
43	6	Seth Williams	DEN	WR20	11	21	4 out of 5 stars	0
44	6	Larry Rountree III	LAC	RB14	7	22	4 out of 5 stars	5
45	6	Dazz Newsome	CHI	WR21	10	22	3 out of 5 stars	0
46	6	Javian Hawkins	TEN	RB15	13	21	3 out of 5 stars	-18
47	7	Sage Surratt	DET	WR22	9	23	1 out of 5 stars	8
48	7	Shi Smith	CAR	WR23	13	22	5 out of 5 stars	4
49	7	Pooka Williams Jr.	CIN	RB16	10	22	3 out of 5 stars	9
50	7	Jaelon Darden	TB	WR24	9	22	2 out of 5 stars	-6
51	7	Kellen Mond	MIN	QB7	7	22	3 out of 5 stars	-4
52	7	Davis Mills	HOU	QB8	10	22	4 out of 5 stars	-6
53	7	Chris Evans	CIN	RB17	10	23	3 out of 5 stars	-3
54	7	Dez Fitzpatrick	TEN	WR25	13	23	3 out of 5 stars	-16
55	7	Tre' McKitty	LAC	TE5	7	22	3 out of 5 stars	5
56	7	Ihmir Smith-Marsette	MIN	WR26	7	22	3 out of 5 stars	-5
57	7	Simi Fehoko	DAL	WR27	7	23	1 out of 5 stars	7
58	7	Jacob Harris	LAR	TE6	11	24	2 out of 5 stars	-1
59	7	Frank Darby	ATL	WR28	6	24	4 out of 5 stars	6
60	7	Tommy Tremble	CAR	TE7	13	21	4 out of 5 stars	-7
61	7	Cornell Powell	KC	WR29	12	23	3 out of 5 stars	-20
62	8	Cade Johnson	SEA	WR30	9	23	1 out of 5 stars	-3
63	8	Josh Imatorbhebhe	FA	WR31	-	23	-	8
64	8	Marlon Williams	FA	WR32	-	-	-	2
65	8	Deon Jackson	IND	RB18	14	22	4 out of 5 stars	-
66	8	Jake Funk	LAR	RB19	11	23	4 out of 5 stars	-3
67	8	Rakeem Boyd	FA	RB20	-	-	-	-6
68	8	Damonte Coxie	FA	WR33	-	-	-	-
69	8	Trevon Grimes	FA	WR34	-	-	-	4
70	8	Jamie Newman	FA	QB9	-	23	-	-2
71	8	Sam Ehlinger	IND	QB10	14	22	4 out of 5 stars	-
72	8	Kenny Yeboah	NYJ	TE8	6	22	3 out of 5 stars	-3
73	8	Ian Book	NO	QB11	6	23	3 out of 5 stars	-
74	8	Jonathan Adams Jr.	FA	WR35	-	22	-	-2
75	8	Austin Watkins Jr.	FA	WR36	-	-	-	-1
76	8	Dax Milne	WAS	WR37	9	22	3 out of 5 stars	-
77	9	Stevie Scott III	FA	RB21	-	21	-	-
78	9	T.J. Vasher	DAL	WR38	7	23	1 out of 5 stars	-
79	9	Mekhi Sargent	TEN	RB22	13	23	3 out of 5 stars	-
80	9	Shane Buechele	KC	QB12	12	23	4 out of 5 stars	-
81	9	Whop Philyor	MIN	WR39	7	23	3 out of 5 stars	-
82	9	Feleipe Franks	ATL	QB13	6	23	3 out of 5 stars	-
83	9	JaTarvious Whitlow	FA	WR40	-	-	-	-
84	9	Johnathan Lovett	FA	RB23	-	-	-	-
85	9	Reggie Roberson Jr.	FA	WR41	-	-	-	-
86	9	Brady White	FA	QB14	-	-	-	-
87	9	Shakif Seymour	FA	RB24	-	-	-	-
88	9	K.J. Costello	LAC	QB15	7	24	2 out of 5 stars	-
89	9	CJ Marable	CHI	RB25	10	24	3 out of 5 stars	-
90	9	Brennan Eagles	DAL	WR42	7	-	1 out of 5 stars	-
91	9	Eli Stove	FA	WR43	-	-	-	-
92	9	Zac Thomas	FA	QB16	-	-	-	-
93	9	JD Spielman	FA	WR44	-	-	-	-
94	9	Zach Smith	FA	QB17	-	-	-	-
