RK	PLAYER NAME	TEAM	POS	BEST	WORST	AVG.	STD.DEV
1	Bijan Robinson	ATL	RB1	1	1	1	0
2	Jaxon Smith-Njigba	SEA	WR1	2	3	2.5	0.5
3	Jahmyr Gibbs	DET	RB2	2	5	3	1
4	Jordan Addison	MIN	WR2	3	5	4.2	0.7
5	Quentin Johnston	LAC	WR3	4	7	5.5	1.1
6	Anthony Richardson	IND	QB1	5	7	6.2	0.7
7	Zay Flowers	BAL	WR4	5	9	6.8	1.5
8	Dalton Kincaid	BUF	TE1	8	12	9.5	1.8
9	Zach Charbonnet	SEA	RB3	8	11	9.5	1.1
10	Bryce Young	CAR	QB2	6	17	9.8	3.6
11	C.J. Stroud	HOU	QB3	9	16	10.8	2.3
12	De'Von Achane	MIA	RB4	12	16	13.5	1.5
13	Marvin Mims Jr.	DEN	WR5	11	19	13.7	2.8
14	Kendre Miller	NO	RB5	12	21	14.8	2.9
15	Jonathan Mingo	CAR	WR6	16	23	18.5	2.2
16	Tank Bigsby	JAC	RB6	15	23	18.7	3.1
17	Roschon Johnson	CHI	RB7	16	22	18.8	2.6
18	Tyjae Spears	TEN	RB8	14	23	19	3.1
19	Jayden Reed	GB	WR7	13	27	19.2	5
20	Rashee Rice	KC	WR8	15	24	19.3	3.3
21	Sam LaPorta	DET	TE2	12	26	20	4.9
22	Michael Mayer	LV	TE3	18	22	20.8	1.3
23	Jalin Hyatt	NYG	WR9	18	25	22.5	2.6
24	Josh Downs	IND	WR10	18	27	23.2	3.6
25	Will Levis	TEN	QB4	15	31	23.7	5.5
26	Cedric Tillman	CLE	WR11	18	32	25.8	5.2
27	Luke Musgrave	GB	TE4	23	29	27	2.3
28	Chase Brown	CIN	RB9	23	32	28.7	2.9
29	Michael Wilson	ARI	WR12	24	34	30.2	3.5
30	Tank Dell	HOU	WR13	26	34	30.5	2.8
31	Zach Evans	LAR	RB10	29	35	31.8	2.3
32	Israel Abanikanda	NYJ	RB11	31	37	33.3	2.4
33	DeWayne McBride	FA	RB12	31	39	35	2.9
34	Evan Hull	IND	RB13	31	38	35	2.4
35	Deuce Vaughn	DAL	RB14	28	41	35.3	5
36	Puka Nacua	LAR	WR14	28	41	37.2	4.7
37	Eric Gray	NYG	RB15	35	40	37.5	1.5
38	Hendon Hooker	DET	QB5	33	42	38	3.6
39	Kayshon Boutte	NE	WR15	37	45	40.7	2.6
40	Darnell Washington	PIT	TE5	35	53	41.3	6.8
41	Sean Tucker	TB	RB16	30	51	41.7	6.2
42	A.T. Perry	NO	WR16	36	48	42.8	4
43	Luke Schoonmaker	DAL	TE6	36	56	44.8	6.4
44	Chris Rodriguez Jr.	WAS	RB17	42	48	45.3	2.3
45	Tyler Scott	CHI	WR17	39	59	45.5	6.8
46	Tucker Kraft	GB	TE7	36	53	45.7	6.2
47	Xavier Hutchinson	HOU	WR18	44	49	45.8	1.9
48	Kenny McIntosh	SEA	RB18	43	50	47.2	2.5
49	Trey Palmer	TB	WR19	40	57	48	5.9
50	Andrei Iosivas	CIN	WR20	43	57	51.2	4.3
51	Parker Washington	JAC	WR21	49	54	51.5	1.5
52	Charlie Jones	CIN	WR22	44	60	51.7	4.7
53	Dontayvion Wicks	GB	WR23	50	63	55.5	4.8
54	Mohamed Ibrahim	FA	RB19	46	75	56.3	9.3
55	Clayton Tune	ARI	QB6	55	62	57	2.5
56	Dorian Thompson-Robinson	CLE	QB7	47	73	57.2	8.3
57	Stetson Bennett	LAR	QB8	49	64	57.5	5.7
58	Jake Haener	NO	QB9	54	63	58	3.6
59	Zack Kuntz	FA	TE8	56	61	58.2	1.6
60	Brenton Strange	JAC	TE9	53	62	58.8	3
61	Keaton Mitchell	BAL	RB20	50	66	59.5	6.7
62	Tre Tucker	LV	WR24	56	64	61.2	3.3
63	Demario Douglas	NE	WR25	46	78	63.7	12.8
64	Aidan O'Connell	LV	QB10	59	70	64.3	3.5
65	Will Mallory	IND	TE10	60	76	65.5	5.1
66	Rakim Jarrett	TB	WR26	57	82	67.7	7.4
67	Derius Davis	LAC	WR27	59	67	64.2	2.9
68	Elijah Higgins	FA	TE11	57	73	67.4	5.5
69	Jaren Hall	MIN	QB11	64	75	68.2	4
70	Justin Shorter	BUF	WR28	65	71	68.6	2
71	Tanner McKee	PHI	QB12	67	80	75.3	5.6
72	Lew Nichols III	FA	RB21	60	85	71.2	8.4
73	Davis Allen	LAR	TE12	69	76	71.4	2.5
74	Ronnie Bell	SF	WR29	71	83	74.8	4.3
75	Dontay Demus	FA	WR30	73	77	74.8	1.6
76	Joseph Ngata	FA	WR31	73	83	77.2	3.3
77	Camerun Peoples	FA	RB22	74	85	77.4	4
78	Deneric Prince	FA	RB23	45	77	63.3	13.5
79	Cameron Latu	SF	TE13	70	82	78.2	4.5
80	Jalen Cropper	FA	WR32	78	84	79.8	2.2
81	Payne Durham	TB	TE14	78	82	80	1.7
82	Tiyon Evans	FA	RB24	76	93	81.6	6.2
83	Max Duggan	FA	QB13	80	84	82.4	2
84	Grant DuBose	FA	WR33	60	91	80.5	12.1
85	Malik Cunningham	NE	QB14	67	94	84	10.2
86	Tavion Thomas	FA	RB25	83	89	86	2.2
87	Xazavian Valladay	FA	RB26	81	94	87.5	4.6
88	Colton Dowell	TEN	WR34	86	92	88.5	2.3
89	Antoine Green	DET	WR35	86	92	89	2.2
90	Jalen Brooks	DAL	WR36	88	91	90	1.2
91	Jase McClellan	FA	RB27	88	92	90.3	1.7
92	Tyson Bagent	CHI	QB15	90	94	92.3	1.7
93	Zakhari Franklin	FA	WR37	87	93	90	3
94	Josh Whyle	TEN	TE15	89	95	93	2.8
95	Emari Demercado	ARI	RB28	90	96	93	3
