RK	TIERS	PLAYER NAME	TEAM	POS	BYE WEEK	AGE	SOS SEASON	ECR VS. ADP
1	1	Justin Jefferson	MIN	WR1	6	25	3 out of 5 stars	0
2	1	CeeDee Lamb	DAL	WR2	7	25	3 out of 5 stars	0
3	1	Ja'Marr Chase	CIN	WR3	12	24	2 out of 5 stars	0
4	1	Amon-Ra St. Brown	DET	WR4	5	24	4 out of 5 stars	0
5	2	Bijan Robinson	ATL	RB1	12	22	4 out of 5 stars	0
6	2	Breece Hall	NYJ	RB2	12	23	2 out of 5 stars	2
7	2	Marvin Harrison Jr.	ARI	WR5	11	22	3 out of 5 stars	0
8	2	Garrett Wilson	NYJ	WR6	12	24	4 out of 5 stars	5
9	2	Jahmyr Gibbs	DET	RB3	5	22	3 out of 5 stars	2
10	2	Christian McCaffrey	SF	RB4	9	28	2 out of 5 stars	-4
11	2	A.J. Brown	PHI	WR7	5	27	2 out of 5 stars	-2
12	2	Puka Nacua	LAR	WR8	6	23	3 out of 5 stars	-2
13	3	Jonathan Taylor	IND	RB5	14	25	2 out of 5 stars	1
14	3	Malik Nabers	NYG	WR9	11	21	3 out of 5 stars	2
15	3	Travis Etienne Jr.	JAC	RB6	12	25	2 out of 5 stars	3
16	3	Tyreek Hill	MIA	WR10	6	30	2 out of 5 stars	-4
17	3	Chris Olave	NO	WR11	12	24	3 out of 5 stars	0
18	3	Sam LaPorta	DET	TE1	5	23	3 out of 5 stars	-3
19	4	Jaylen Waddle	MIA	WR12	6	25	2 out of 5 stars	2
20	4	Drake London	ATL	WR13	12	23	4 out of 5 stars	0
21	4	Josh Allen	BUF	QB1	12	28	1 out of 5 stars	4
22	4	Brandon Aiyuk	SF	WR14	9	26	2 out of 5 stars	0
23	4	Patrick Mahomes II	KC	QB2	6	28	3 out of 5 stars	1
24	4	De'Von Achane	MIA	RB7	6	22	3 out of 5 stars	2
25	4	DeVonta Smith	PHI	WR15	5	25	2 out of 5 stars	2
26	4	Saquon Barkley	PHI	RB8	5	27	4 out of 5 stars	-7
27	4	DJ Moore	CHI	WR16	7	27	4 out of 5 stars	6
