RK	TIERS	PLAYER NAME	TEAM	POS	BYE WEEK	SOS SEASON	ECR VS. ADP
1	1	Christian McCaffrey	SF	RB1	9	2 out of 5 stars	0
2	1	CeeDee Lamb	DAL	WR1	7	3 out of 5 stars	1
3	1	Tyreek Hill	MIA	WR2	6	2 out of 5 stars	-1
4	1	Ja'Marr Chase	CIN	WR3	12	2 out of 5 stars	3
5	1	Breece Hall	NYJ	RB2	12	2 out of 5 stars	-1
6	1	Bijan Robinson	ATL	RB3	12	4 out of 5 stars	-1
7	1	Amon-Ra St. Brown	DET	WR4	5	4 out of 5 stars	1
8	1	Justin Jefferson	MIN	WR5	6	3 out of 5 stars	-2
9	2	A.J. Brown	PHI	WR6	5	2 out of 5 stars	0
10	2	Garrett Wilson	NYJ	WR7	12	4 out of 5 stars	3
11	2	Jonathan Taylor	IND	RB4	14	2 out of 5 stars	-1
12	2	Jahmyr Gibbs	DET	RB5	5	3 out of 5 stars	0
13	2	Puka Nacua	LAR	WR8	6	3 out of 5 stars	1
14	2	Saquon Barkley	PHI	RB6	5	4 out of 5 stars	-3
15	2	Marvin Harrison Jr.	ARI	WR9	11	3 out of 5 stars	0
16	3	Kyren Williams	LAR	RB7	6	3 out of 5 stars	0
17	3	Derrick Henry	BAL	RB8	14	3 out of 5 stars	1
18	3	Drake London	ATL	WR10	12	4 out of 5 stars	5
19	3	Davante Adams	LV	WR11	10	3 out of 5 stars	0
20	3	Chris Olave	NO	WR12	12	3 out of 5 stars	4
21	3	Travis Etienne Jr.	JAC	RB9	12	2 out of 5 stars	-4
22	3	Isiah Pacheco	KC	RB10	6	3 out of 5 stars	-2
23	3	Mike Evans	TB	WR13	11	3 out of 5 stars	6
24	3	Deebo Samuel Sr.	SF	WR14	9	2 out of 5 stars	3
25	3	Josh Allen	BUF	QB1	12	1 out of 5 stars	-3
26	3	Nico Collins	HOU	WR15	14	3 out of 5 stars	4
27	3	Jaylen Waddle	MIA	WR16	6	2 out of 5 stars	12
28	3	Brandon Aiyuk	SF	WR17	9	2 out of 5 stars	5
29	3	De'Von Achane	MIA	RB11	6	3 out of 5 stars	-8
30	3	Cooper Kupp	LAR	WR18	6	3 out of 5 stars	5
31	3	Jalen Hurts	PHI	QB2	5	2 out of 5 stars	1
32	3	Sam LaPorta	DET	TE1	5	3 out of 5 stars	-4
33	3	Travis Kelce	KC	TE2	6	3 out of 5 stars	-7
34	4	DK Metcalf	SEA	WR19	10	3 out of 5 stars	6
35	4	DJ Moore	CHI	WR20	7	4 out of 5 stars	6
36	4	Patrick Mahomes II	KC	QB3	6	3 out of 5 stars	-5
37	4	Lamar Jackson	BAL	QB4	14	4 out of 5 stars	1
38	4	DeVonta Smith	PHI	WR21	5	2 out of 5 stars	8
39	4	Michael Pittman Jr.	IND	WR22	14	4 out of 5 stars	-2
40	4	Malik Nabers	NYG	WR23	11	3 out of 5 stars	10
41	4	Josh Jacobs	GB	RB12	10	1 out of 5 stars	-16
42	4	James Cook	BUF	RB13	12	2 out of 5 stars	-6
43	4	Amari Cooper	CLE	WR24	10	3 out of 5 stars	10
44	4	Rachaad White	TB	RB14	11	5 out of 5 stars	-10
45	4	Joe Mixon	HOU	RB15	14	3 out of 5 stars	-2
46	4	Kenneth Walker III	SEA	RB16	10	4 out of 5 stars	-2
47	4	Tee Higgins	CIN	WR25	12	2 out of 5 stars	13
48	5	Stefon Diggs	HOU	WR26	14	3 out of 5 stars	-6
49	5	Mark Andrews	BAL	TE3	14	3 out of 5 stars	2
50	5	Alvin Kamara	NO	RB17	12	5 out of 5 stars	-5
51	5	Anthony Richardson	IND	QB5	14	5 out of 5 stars	-2
52	5	George Pickens	PIT	WR27	9	1 out of 5 stars	7
53	5	Trey McBride	ARI	TE4	11	5 out of 5 stars	-5
54	5	Zay Flowers	BAL	WR28	14	3 out of 5 stars	8
55	5	C.J. Stroud	HOU	QB6	14	2 out of 5 stars	-8
56	5	Tank Dell	HOU	WR29	14	3 out of 5 stars	10
57	5	Terry McLaurin	WAS	WR30	14	3 out of 5 stars	12
58	5	Rashee Rice	KC	WR31	6	3 out of 5 stars	19
59	5	David Montgomery	DET	RB18	5	3 out of 5 stars	-3
60	5	Kyler Murray	ARI	QB7	11	2 out of 5 stars	5
61	5	James Conner	ARI	RB19	11	2 out of 5 stars	-6
62	5	Christian Kirk	JAC	WR32	12	4 out of 5 stars	8
63	5	Rhamondre Stevenson	NE	RB20	14	2 out of 5 stars	-6
64	5	Aaron Jones	MIN	RB21	6	3 out of 5 stars	-10
65	5	Joe Burrow	CIN	QB8	12	2 out of 5 stars	-4
66	5	Dalton Kincaid	BUF	TE5	12	2 out of 5 stars	-14
67	5	Chris Godwin	TB	WR33	11	3 out of 5 stars	9
68	5	Dak Prescott	DAL	QB9	7	2 out of 5 stars	6
69	5	Najee Harris	PIT	RB22	9	4 out of 5 stars	-2
70	5	Diontae Johnson	CAR	WR34	11	5 out of 5 stars	17
71	5	Calvin Ridley	TEN	WR35	5	4 out of 5 stars	7
72	5	Raheem Mostert	MIA	RB23	6	3 out of 5 stars	3
73	5	Keenan Allen	CHI	WR36	7	4 out of 5 stars	0
74	5	D'Andre Swift	CHI	RB24	7	2 out of 5 stars	-11
75	6	Jordan Love	GB	QB10	10	5 out of 5 stars	-4
76	6	Zamir White	LV	RB25	10	3 out of 5 stars	-8
77	6	Kyle Pitts	ATL	TE6	12	3 out of 5 stars	-13
78	6	George Kittle	SF	TE7	9	4 out of 5 stars	-20
79	6	Jayden Reed	GB	WR37	10	4 out of 5 stars	1
80	6	Javonte Williams	DEN	RB26	14	4 out of 5 stars	6
81	6	Tony Pollard	TEN	RB27	5	3 out of 5 stars	-2
82	6	Jayden Daniels	WAS	QB11	14	3 out of 5 stars	15
83	6	Brian Robinson Jr.	WAS	RB28	14	3 out of 5 stars	8
84	6	Evan Engram	JAC	TE8	12	3 out of 5 stars	-12
85	6	Brock Purdy	SF	QB12	9	2 out of 5 stars	5
86	6	Devin Singletary	NYG	RB29	11	3 out of 5 stars	-3
87	6	Xavier Worthy	KC	WR38	6	3 out of 5 stars	2
88	6	Christian Watson	GB	WR39	10	4 out of 5 stars	12
89	6	Jaxon Smith-Njigba	SEA	WR40	10	3 out of 5 stars	17
90	6	DeAndre Hopkins	TEN	WR41	5	4 out of 5 stars	12
91	6	Jaylen Warren	PIT	RB30	9	4 out of 5 stars	-7
92	6	Jake Ferguson	DAL	TE9	7	2 out of 5 stars	-11
93	6	Tyjae Spears	TEN	RB31	5	3 out of 5 stars	6
94	6	Caleb Williams	CHI	QB13	7	4 out of 5 stars	4
95	6	Rome Odunze	CHI	WR42	7	4 out of 5 stars	-2
96	6	David Njoku	CLE	TE10	10	3 out of 5 stars	-11
97	6	Zack Moss	CIN	RB32	12	3 out of 5 stars	-15
98	6	Courtland Sutton	DEN	WR43	14	2 out of 5 stars	14
99	6	Tua Tagovailoa	MIA	QB14	6	2 out of 5 stars	4
100	6	Hollywood Brown	KC	WR44	6	3 out of 5 stars	-5
101	7	Jared Goff	DET	QB15	5	4 out of 5 stars	3
102	7	Jonathon Brooks	CAR	RB33	11	4 out of 5 stars	-8
103	7	Chase Brown	CIN	RB34	12	3 out of 5 stars	5
104	7	Jordan Addison	MIN	WR45	6	3 out of 5 stars	-3
105	7	Brian Thomas Jr.	JAC	WR46	12	4 out of 5 stars	11
106	7	Trevor Lawrence	JAC	QB16	12	5 out of 5 stars	14
107	7	Brock Bowers	LV	TE11	10	4 out of 5 stars	-11
108	7	Ladd McConkey	LAC	WR47	5	3 out of 5 stars	-3
109	7	Dallas Goedert	PHI	TE12	5	4 out of 5 stars	-2
110	7	Gus Edwards	LAC	RB35	5	4 out of 5 stars	1
