RK	TIERS	PLAYER NAME	TEAM	POS	AGE
1	1	Ja'Marr Chase	CIN	WR1	25
2	1	Justin Jefferson	MIN	WR2	26
3	1	Malik Nabers	NYG	WR3	22
4	1	CeeDee Lamb	DAL	WR4	26
5	1	Bijan Robinson	ATL	RB1	23
6	2	Jahmyr Gibbs	DET	RB2	23
7	2	Ashton Jeanty	LV	RB3	21
8	2	Puka Nacua	LAR	WR5	24
9	2	Brian Thomas Jr.	JAC	WR6	22
10	2	Amon-Ra St. Brown	DET	WR7	25
11	3	Nico Collins	HOU	WR8	26
12	3	Drake London	ATL	WR9	24
13	3	Saquon Barkley	PHI	RB4	28
14	3	De'Von Achane	MIA	RB5	23
15	3	Brock Bowers	LV	TE1	22
16	3	Ladd McConkey	LAC	WR10	23
17	3	Jaxon Smith-Njigba	SEA	WR11	23
18	3	A.J. Brown	PHI	WR12	28
19	3	Garrett Wilson	NYJ	WR13	25
20	3	Omarion Hampton	LAC	RB6	22
21	4	Marvin Harrison Jr.	ARI	WR14	23
22	4	Josh Allen	BUF	QB1	29
23	4	Bucky Irving	TB	RB7	23
24	4	Lamar Jackson	BAL	QB2	28
25	4	Tetairoa McMillan	CAR	WR15	22
26	4	Jonathan Taylor	IND	RB8	26
27	4	Breece Hall	NYJ	RB9	24
28	4	Trey McBride	ARI	TE2	25
29	4	Travis Hunter	JAC	WR16	22
30	4	Tee Higgins	CIN	WR17	26
31	4	Jayden Daniels	WAS	QB3	24
32	4	Rashee Rice	KC	WR18	25
33	5	DeVonta Smith	PHI	WR19	26
34	5	Zay Flowers	BAL	WR20	24
35	5	Joe Burrow	CIN	QB4	28
36	5	Jalen Hurts	PHI	QB5	27
37	5	Rome Odunze	CHI	WR21	23
38	5	Kyren Williams	LAR	RB10	24
39	5	Sam LaPorta	DET	TE3	24
40	5	Chase Brown	CIN	RB11	25
41	5	TreVeyon Henderson	NE	RB12	22
42	5	DK Metcalf	PIT	WR22	27
43	5	Xavier Worthy	KC	WR23	22
44	5	James Cook	BUF	RB13	25
45	5	Jordan Addison	MIN	WR24	23
46	5	Patrick Mahomes II	KC	QB6	29
47	5	Josh Jacobs	GB	RB14	27
48	6	Jaylen Waddle	MIA	WR25	26
49	6	Kenneth Walker III	SEA	RB15	24
50	6	DJ Moore	CHI	WR26	28
51	6	Jameson Williams	DET	WR27	24
52	6	Emeka Egbuka	TB	WR28	22
53	6	Christian McCaffrey	SF	RB16	29
54	6	Justin Herbert	LAC	QB7	27
55	6	George Kittle	SF	TE4	31
56	6	Tyler Warren	IND	TE5	23
57	6	Terry McLaurin	WAS	WR29	29
58	6	Chris Olave	NO	WR30	25
59	6	Bo Nix	DEN	QB8	25
60	6	T.J. Hockenson	MIN	TE6	28
61	6	Derrick Henry	BAL	RB17	31
62	6	Drake Maye	NE	QB9	22
63	6	Colston Loveland	CHI	TE7	21
64	6	George Pickens	DAL	WR31	24
65	6	RJ Harvey	DEN	RB18	24
66	6	Caleb Williams	CHI	QB10	23
67	6	Kaleb Johnson	PIT	RB19	22
68	6	C.J. Stroud	HOU	QB11	23
69	7	Jerry Jeudy	CLE	WR32	26
70	7	Matthew Golden	GB	WR33	22
71	7	Quinshon Judkins	CLE	RB20	21
