RK	TIERS	PLAYER NAME	TEAM	POS	BYE WEEK
1	1	Ja'Marr Chase	CIN	WR1	10
2	1	Bijan Robinson	ATL	RB1	5
3	1	Jahmyr Gibbs	DET	RB2	8
4	1	Saquon Barkley	PHI	RB3	9
5	1	Justin Jefferson	MIN	WR2	6
6	1	CeeDee Lamb	DAL	WR3	10
7	2	Malik Nabers	NYG	WR4	14
8	2	Puka Nacua	LAR	WR5	8
9	2	Christian McCaffrey	SF	RB4	14
10	2	Amon-Ra St. Brown	DET	WR6	8
11	2	Nico Collins	HOU	WR7	6
12	2	Derrick Henry	BAL	RB5	7
13	3	Brian Thomas Jr.	JAC	WR8	8
14	3	Ashton Jeanty	LV	RB6	8
15	3	De'Von Achane	MIA	RB7	12
16	3	Drake London	ATL	WR9	5
17	3	A.J. Brown	PHI	WR10	9
18	3	Brock Bowers	LV	TE1	8
19	3	Jonathan Taylor	IND	RB8	11
20	3	Josh Jacobs	GB	RB9	5
21	3	Bucky Irving	TB	RB10	9
22	4	Chase Brown	CIN	RB11	10
23	4	Trey McBride	ARI	TE2	8
24	4	Ladd McConkey	LAC	WR11	12
25	4	Kyren Williams	LAR	RB12	8
26	4	Josh Allen	BUF	QB1	7
27	4	Lamar Jackson	BAL	QB2	7
28	4	Jaxon Smith-Njigba	SEA	WR12	8
29	4	Tee Higgins	CIN	WR13	10
30	4	Tyreek Hill	MIA	WR14	12
31	4	George Kittle	SF	TE3	14
32	4	Garrett Wilson	NYJ	WR15	9
33	4	Jayden Daniels	WAS	QB3	12
34	4	Mike Evans	TB	WR16	9
35	5	Davante Adams	LAR	WR17	8
36	5	James Cook	BUF	RB13	7
37	5	Jalen Hurts	PHI	QB4	9
38	5	Kenneth Walker III	SEA	RB14	8
39	5	Omarion Hampton	LAC	RB15	12
40	5	Breece Hall	NYJ	RB16	9
41	5	Marvin Harrison Jr.	ARI	WR18	8
42	5	Terry McLaurin	WAS	WR19	12
43	5	Alvin Kamara	NO	RB17	11
44	5	DJ Moore	CHI	WR20	5
45	5	DK Metcalf	PIT	WR21	5
46	5	Joe Burrow	CIN	QB5	10
47	5	Chuba Hubbard	CAR	RB18	14
48	5	James Conner	ARI	RB19	8
49	5	Courtland Sutton	DEN	WR22	12
50	6	DeVonta Smith	PHI	WR23	9
51	6	Jameson Williams	DET	WR24	8
52	6	TreVeyon Henderson	NE	RB20	14
53	6	Tetairoa McMillan	CAR	WR25	14
54	6	Zay Flowers	BAL	WR26	7
55	6	Xavier Worthy	KC	WR27	10
56	6	David Montgomery	DET	RB21	8
57	6	Calvin Ridley	TEN	WR28	10
58	6	George Pickens	DAL	WR29	10
59	6	D'Andre Swift	CHI	RB22	5
60	6	Jaylen Waddle	MIA	WR30	12
61	6	Sam LaPorta	DET	TE4	8
62	6	Tony Pollard	TEN	RB23	10
63	6	RJ Harvey	DEN	RB24	12
64	6	Isiah Pacheco	KC	RB25	10
65	6	Rashee Rice	KC	WR31	10
66	6	Aaron Jones Sr.	MIN	RB26	6
67	6	Patrick Mahomes II	KC	QB6	10
68	6	Travis Hunter	JAC	WR32	8
69	6	Chris Olave	NO	WR33	11
70	6	T.J. Hockenson	MIN	TE5	6
71	7	Kaleb Johnson	PIT	RB27	5
72	7	Baker Mayfield	TB	QB7	9
73	7	Jerry Jeudy	CLE	WR34	9
74	7	Brian Robinson Jr.	WAS	RB28	12
75	7	Rome Odunze	CHI	WR35	5
76	7	Bo Nix	DEN	QB8	12
77	7	Tyrone Tracy Jr.	NYG	RB29	14
78	7	Travis Kelce	KC	TE6	10
79	7	Mark Andrews	BAL	TE7	7
80	7	Kyler Murray	ARI	QB9	8
81	7	Joe Mixon	HOU	RB30	6
82	7	Jakobi Meyers	LV	WR36	8
83	7	Jaylen Warren	PIT	RB31	5
84	7	Stefon Diggs	NE	WR37	14
85	7	Jordan Addison	MIN	WR38	6
86	7	Ricky Pearsall	SF	WR39	14
87	7	Dak Prescott	DAL	QB10	10
88	7	David Njoku	CLE	TE8	9
89	7	Evan Engram	DEN	TE9	12
