RK	PLAYER NAME	TEAM	POS	AGE
1	Ashton Jeanty	LV	RB1	21
2	Cam Ward	TEN	QB1	23
3	Omarion Hampton	LAC	RB2	22
4	Tetairoa McMillan	CAR	WR1	22
5	Travis Hunter	JAC	WR2	22
6	TreVeyon Henderson	NE	RB3	22
7	Jaxson Dart	NYG	QB2	22
8	Emeka Egbuka	TB	WR3	22
9	Tyler Warren	IND	TE1	23
10	RJ Harvey	DEN	RB4	24
11	Colston Loveland	CHI	TE2	21
12	Kaleb Johnson	PIT	RB5	22
13	Luther Burden III	CHI	WR4	21
14	Matthew Golden	GB	WR5	22
15	Jayden Higgins	HOU	WR6	22
16	Tre' Harris	LAC	WR7	23
17	Cam Skattebo	NYG	RB6	23
18	Bhayshul Tuten	JAC	RB7	23
19	Kyle Williams	NE	WR8	22
20	Quinshon Judkins	CLE	RB8	21
21	Jalen Milroe	SEA	QB3	22
22	Jack Bech	LV	WR9	22
23	Tyler Shough	NO	QB4	25
24	Jaylin Noel	HOU	WR10	22
25	Dylan Sampson	CLE	RB9	20
26	Mason Taylor	NYJ	TE3	21
27	Elijah Arroyo	SEA	TE4	22
28	Jaydon Blue	DAL	RB10	21
29	Elic Ayomanor	TEN	WR11	22
30	Shedeur Sanders	CLE	QB5	23
31	Jalen Royals	KC	WR12	22
32	Harold Fannin Jr.	CLE	TE5	21
33	Terrance Ferguson	LAR	TE6	22
34	Jarquez Hunter	LAR	RB11	22
35	Tory Horton	SEA	WR13	22
36	DJ Giddens	IND	RB12	21
37	Tahj Brooks	CIN	RB13	23
38	Will Howard	PIT	QB6	23
39	Isaac TeSlaa	DET	WR14	23
40	Pat Bryant	DEN	WR15	22
41	Woody Marks	HOU	RB14	24
42	Kyle Monangai	CHI	RB15	23
43	Brashard Smith	KC	RB16	22
44	Jordan James	SF	RB17	21
45	Devin Neal	NO	RB18	22
46	Dillon Gabriel	CLE	QB7	24
47	Trevor Etienne	CAR	RB19	21
48	Dont'e Thornton Jr.	LV	WR16	22
49	Ollie Gordon II	MIA	RB20	21
50	Oronde Gadsden II	LAC	TE7	22
51	Savion Williams	GB	WR17	23
52	Riley Leonard	IND	QB8	22
53	Tai Felton	MIN	WR18	22
54	Jacory Croskey-Merritt	WAS	RB21	24
55	Kyle McCord	PHI	QB9	22
56	KeAndre Lambert-Smith	LAC	WR19	23
57	Quinn Ewers	MIA	QB10	22
58	Jaylin Lane	WAS	WR20	23
59	Gunnar Helm	TEN	TE8	22
60	Damien Martinez	SEA	RB22	21
61	Chimere Dike	TEN	WR21	23
62	Xavier Restrepo	TEN	WR22	23
63	LeQuint Allen Jr.	JAC	RB23	21
64	Tez Johnson	TB	WR23	23
65	Arian Smith	NYJ	WR24	23
66	Phil Mafah	DAL	RB24	22
67	Ricky White III	SEA	WR25	23
68	Kalel Mullings	TEN	RB25	22
69	Jordan Watkins	SF	WR26	23
70	Mitchell Evans	CAR	TE9	22
71	Jimmy Horn Jr.	CAR	WR27	22
72	Kurtis Rourke	SF	QB11	24
73	Kaden Prather	BUF	WR28	22
74	Nick Nash	ATL	WR29	25
75	Raheim Sanders	LAC	RB26	23
76	Luke Lachey	HOU	TE10	24
77	LaJohntay Wester	BAL	WR30	23
78	Isaiah Bond	CLE	WR31	21
79	Thomas Fidone II	NYG	TE11	22
80	Graham Mertz	HOU	QB12	24
81	Konata Mumpfield	LAR	WR32	22
82	Theo Wease Jr.	MIA	WR33	24
83	Elijhah Badger	KC	WR34	24
84	Isaiah Neyor	GB	WR35	24
85	Efton Chism III	NE	WR36	23
86	Jake Briningstool	KC	TE12	22
87	Donovan Edwards	NYJ	RB27	22
88	Dominic Lovett	DET	WR37	22
89	Ja'Corey Brooks	WAS	WR38	23
90	Marcus Yarns	NO	RB28	23
91	Jalin Conyers	MIA	TE13	24
92	Beaux Collins	NYG	WR39	22
93	Gavin Bartholomew	MIN	TE14	22
