"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Josh Allen",BUF,"QB1","30","1","3","1.3","0.6","-"
"2",1,"Drake Maye",NE,"QB2","23","1","7","2.4","1.3","-"
"3",1,"Jayden Daniels",WAS,"QB3","25","3","12","5.3","3.2","-"
"4",1,"Ja'Marr Chase",CIN,"WR1","26","1","8","6.0","2.1","-"
"5",1,"Lamar Jackson",BAL,"QB4","29","3","27","6.4","5.2","-"
"6",2,"Jaxon Smith-Njigba",SEA,"WR2","24","2","15","9.2","2.8","-"
"7",2,"Joe Burrow",CIN,"QB5","29","3","25","9.4","6.3","-"
"8",2,"Bijan Robinson",ATL,"RB1","24","4","19","10.2","4.5","-"
"9",2,"Puka Nacua",LAR,"WR3","25","5","18","10.2","4.0","-"
"10",2,"Caleb Williams",CHI,"QB6","24","4","42","10.7","9.9","-"
"11",2,"Jahmyr Gibbs",DET,"RB2","24","5","19","11.8","4.5","-"
"12",3,"Justin Herbert",LAC,"QB7","28","6","28","13.8","7.3","-"
"13",3,"Patrick Mahomes II",KC,"QB8","30","7","26","14.3","5.5","-"
"14",3,"Jalen Hurts",PHI,"QB9","28","5","29","15.7","6.2","-"
"15",3,"Amon-Ra St. Brown",DET,"WR4","26","7","26","16.0","5.0","-"
"16",3,"Justin Jefferson",MIN,"WR5","27","10","27","16.8","4.5","-"
"17",3,"Trevor Lawrence",JAC,"QB10","26","11","43","19.4","8.5","-"
"18",3,"Ashton Jeanty",LV,"RB3","22","11","27","19.6","4.8","-"
"19",3,"CeeDee Lamb",DAL,"WR6","27","13","32","20.1","5.1","-"
"20",3,"Malik Nabers",NYG,"WR7","23","10","34","20.2","5.8","-"
"21",4,"Jeremiyah Love",ARI,"RB4","21","13","30","23.8","4.9","-"
"22",4,"Drake London",ATL,"WR8","25","13","29","23.8","4.4","-"
"23",4,"Brock Purdy",SF,"QB11","26","15","47","24.6","10.1","-"
"24",4,"Jaxson Dart",NYG,"QB12","23","13","51","24.7","10.5","-"
"25",4,"De'Von Achane",MIA,"RB5","24","20","34","26.5","3.8","-"
"26",4,"Brock Bowers",LV,"TE1","23","11","43","27.1","9.3","-"
"",4
"27",4,"Omarion Hampton",LAC,"RB6","23","18","36","27.3","5.5","-"
"28",4,"Bo Nix",DEN,"QB13","26","14","61","27.6","12.8","-"
"29",4,"Tetairoa McMillan",CAR,"WR9","23","24","39","30.4","3.4","-"
"30",4,"James Cook III",BUF,"RB7","26","21","43","31.9","5.0","-"
"31",4,"Dak Prescott",DAL,"QB14","33","17","56","32.0","11.8","-"
"32",5,"Nico Collins",HOU,"WR10","27","22","41","33.8","4.5","-"
"33",5,"Jonathan Taylor",IND,"RB8","27","23","49","34.3","6.8","-"
"34",5,"Trey McBride",ARI,"TE2","26","16","58","34.4","10.6","-"
"35",5,"Jordan Love",GB,"QB15","27","20","67","34.8","14.3","-"
"36",5,"Emeka Egbuka",TB,"WR11","23","28","51","35.0","5.0","-"
"37",5,"George Pickens",DAL,"WR12","25","25","58","36.1","7.3","-"
"38",5,"Carnell Tate",TEN,"WR13","21","25","53","39.6","6.7","-"
"39",5,"Chris Olave",NO,"WR14","26","34","51","39.6","4.2","-"
"40",5,"Kenneth Walker III",KC,"RB9","25","29","58","40.0","6.3","-"
"41",5,"Garrett Wilson",NYJ,"WR15","26","26","55","41.8","6.5","-"
"42",5,"Ladd McConkey",LAC,"WR16","24","33","59","43.9","6.1","-"
"43",5,"Breece Hall",NYJ,"RB10","25","30","64","45.3","8.8","-"
"44",5,"Luther Burden III",CHI,"WR17","22","36","65","47.4","7.5","-"
"45",5,"Colston Loveland",CHI,"TE3","22","22","63","47.6","13.0","-"
"46",5,"A.J. Brown",NE,"WR18","29","33","65","47.8","8.5","-"
"47",5,"DeVonta Smith",PHI,"WR19","27","35","57","47.9","6.1","-"
"48",6,"Zay Flowers",BAL,"WR20","25","35","77","48.6","9.3","-"
"49",6,"Jordyn Tyson",NO,"WR21","21","36","77","50.4","8.5","-"
"50",6,"Jared Goff",DET,"QB16","31","25","85","52.1","16.8","-"
"51",6,"Chase Brown",CIN,"RB11","26","37","65","52.3","7.6","-"
"52",6,"Makai Lemon",PHI,"WR22","22","37","76","53.5","7.5","-"
"53",6,"Fernando Mendoza",LV,"QB17","22","25","94","55.6","18.8","-"
"54",6,"Tee Higgins",CIN,"WR23","27","42","72","55.9","8.8","-"
"55",6,"Tyler Warren",IND,"TE4","24","39","69","56.6","7.0","-"
"56",6,"Rashee Rice",KC,"WR24","26","37","90","56.8","14.0","-"
"57",6,"Jaylen Waddle",DEN,"WR25","27","40","69","57.0","7.3","-"
"58",6,"Rome Odunze",CHI,"WR26","24","46","80","59.5","9.1","-"
"59",6,"Baker Mayfield",TB,"QB18","31","24","78","60.0","12.9","-"
"60",6,"TreVeyon Henderson",NE,"RB12","23","48","78","60.2","8.8","-"
"61",6,"Cam Ward",TEN,"QB19","24","37","87","61.5","12.1","-"
"62",6,"Quinshon Judkins",CLE,"RB13","22","39","77","61.5","11.0","-"
"63",6,"Saquon Barkley",PHI,"RB14","29","42","76","63.7","9.5","-"
"64",6,"Marvin Harrison Jr.",ARI,"WR27","23","46","83","64.5","10.9","-"
"65",6,"Tucker Kraft",GB,"TE5","25","53","82","64.7","6.5","-"
"66",6,"C.J. Stroud",HOU,"QB20","24","25","104","64.9","21.5","-"
"67",7,"Jameson Williams",DET,"WR28","25","50","88","66.8","9.1","-"
"68",7,"Christian McCaffrey",SF,"RB15","30","41","79","67.2","9.6","-"
"69",7,"Harold Fannin Jr.",CLE,"TE6","22","59","86","67.3","5.8","-"
"70",7,"Brian Thomas Jr.",JAC,"WR29","23","48","84","69.5","10.4","-"
"71",7,"Kyren Williams",LAR,"RB16","25","58","89","70.5","7.8","-"
"72",7,"Tyler Shough",NO,"QB21","26","50","96","70.7","14.6","-"
"73",7,"Sam LaPorta",DET,"TE7","25","65","83","72.5","5.0","-"
"74",7,"Kyler Murray",MIN,"QB22","29","56","103","73.8","13.8","-"
"75",7,"Travis Etienne Jr.",NO,"RB17","27","58","84","74.2","5.7","-"
"76",7,"Kyle Pitts Sr.",ATL,"TE8","25","63","102","74.9","9.7","-"
"77",7,"Cam Skattebo",NYG,"RB18","24","59","95","77.7","7.4","-"
"78",7,"Christian Watson",GB,"WR30","27","57","107","78.2","12.6","-"
"79",7,"Bucky Irving",TB,"RB19","23","57","101","79.6","12.3","-"
"80",7,"KC Concepcion",CLE,"WR31","21","57","113","80.3","12.8","-"
"81",7,"Javonte Williams",DAL,"RB20","26","62","100","81.2","10.1","-"
"82",7,"Jadarian Price",SEA,"RB21","22","64","93","82.2","8.0","-"
"83",7,"Sam Darnold",SEA,"QB23","29","61","95","82.8","9.9","-"
"84",7,"Terry McLaurin",WAS,"WR32","30","77","96","85.5","5.6","-"
"85",7,"Malik Willis",MIA,"QB24","27","44","135","86.0","20.9","-"
"86",7,"Alec Pierce",IND,"WR33","26","68","110","86.8","9.6","-"
"87",7,"Kenyon Sadiq",NYJ,"TE9","21","74","122","87.3","13.2","-"
"88",7,"DJ Moore",BUF,"WR34","29","72","107","88.3","10.0","-"
"89",8,"Matthew Stafford",LAR,"QB25","38","71","116","92.5","11.5","-"
"90",8,"Derrick Henry",BAL,"RB22","32","71","104","92.6","10.2","-"
"",8
"91",8,"Jordan Addison",MIN,"WR35","24","79","112","94.3","9.2","-"
"92",8,"Bhayshul Tuten",JAC,"RB23","23","74","111","94.7","10.7","-"
"93",8,"Josh Jacobs",GB,"RB24","28","66","118","94.7","13.3","-"
"94",8,"Daniel Jones",IND,"QB26","29","83","122","96.3","7.9","-"
"95",8,"DK Metcalf",PIT,"WR36","28","74","110","96.3","8.2","-"
"96",8,"Bryce Young",CAR,"QB27","25","75","137","96.3","12.9","-"
"97",8,"Omar Cooper Jr.",NYJ,"WR37","22","76","125","97.2","14.3","-"
"98",8,"Eli Stowers",PHI,"TE10","23","74","126","98.3","17.6","-"
"99",8,"Parker Washington",JAC,"WR38","24","75","142","103.0","17.4","-"
"100",8,"D'Andre Swift",CHI,"RB25","27","93","111","103.2","5.2","-"
"101",8,"Michael Wilson",ARI,"WR39","26","78","129","103.7","11.0","-"
"102",8,"Wan'Dale Robinson",TEN,"WR40","25","85","125","105.8","8.8","-"
"103",8,"Ty Simpson",LAR,"QB28","23","91","140","106.9","14.2","-"
"104",8,"Oronde Gadsden II",LAC,"TE11","23","82","141","108.1","17.9","-"
"105",8,"Jayden Higgins",HOU,"WR41","23","96","140","108.8","10.7","-"
"106",8,"Davante Adams",LAR,"WR42","33","81","129","108.8","13.1","-"
"107",8,"Ricky Pearsall",SF,"WR43","25","85","149","109.0","12.8","-"
"108",8,"Josh Downs",IND,"WR44","24","87","133","109.3","9.6","-"
"109",8,"David Montgomery",HOU,"RB26","29","87","129","109.3","9.9","-"
"110",8,"Dalton Kincaid",BUF,"TE12","26","89","129","110.1","13.2","-"
"111",8,"Mike Evans",SF,"WR45","32","99","122","110.8","6.8","-"
"112",8,"Michael Pittman Jr.",PIT,"WR46","28","94","124","111.0","7.6","-"
"113",8,"Isaiah Likely",NYG,"TE13","26","82","158","111.1","21.6","-"
"114",8,"Denzel Boston",CLE,"WR47","22","95","135","113.3","11.4","-"
"115",8,"Courtland Sutton",DEN,"WR48","30","91","131","114.3","9.7","-"
"116",9,"Xavier Worthy",KC,"WR49","23","86","149","116.3","13.9","-"
