"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Brandon Aubrey",DAL,"14","2 out of 5 stars","0"
"2",1,"Cameron Dicker",LAC,"7","2 out of 5 stars","+1"
"3",1,"Ka'imi Fairbairn",HOU,"8","2 out of 5 stars","+1"
"4",1,"Cam Little",JAC,"7","4 out of 5 stars","+1"
"5",2,"Jason Myers",SEA,"11","4 out of 5 stars","-3"
"6",2,"Eddy Pineiro",SF,"8","5 out of 5 stars","+4"
"7",2,"Tyler Loop",BAL,"13","3 out of 5 stars","+2"
"8",3,"Jake Bates",DET,"6","5 out of 5 stars","-1"
"9",3,"Evan McPherson",CIN,"6","2 out of 5 stars","+3"
"10",3,"Cairo Santos",CHI,"10","0 out of 5 stars","+3"
"11",3,"Andy Borregales",NE,"11","1 out of 5 stars","+8"
"12",3,"Chase McLaughlin",TB,"10","3 out of 5 stars","+4"
"13",3,"Harrison Mevis",LAR,"11","2 out of 5 stars","-7"
"14",3,"Chris Boswell",PIT,"9","4 out of 5 stars","+1"
"15",3,"Will Reichard",MIN,"6","2 out of 5 stars","-4"
"16",3,"Harrison Butker",KC,"5","5 out of 5 stars","-8"
"17",3,"Wil Lutz",DEN,"10","1 out of 5 stars","-3"
"18",4,"Jake Elliott",PHI,"10","5 out of 5 stars","+2"
"19",4,"Charlie Smyth",NO,"8","5 out of 5 stars","+9"
"20",4,"Blake Grupe",IND,"13","4 out of 5 stars","+3"
"21",4,"Chad Ryland",ARI,"14","2 out of 5 stars","+6"
"22",4,"Tyler Bass",BUF,"7","2 out of 5 stars","-5"
"23",4,"Joey Slye",TEN,"9","4 out of 5 stars","+8"
"24",4,"Ryan Fitzgerald",CAR,"5","0 out of 5 stars","+6"
"25",4,"Nick Folk",ATL,"11","0 out of 5 stars","-4"
"26",4,"Trey Smack",GB,"11","4 out of 5 stars","-8"
"",4
"27",5,"Daniel Carlson",NO,"8","5 out of 5 stars","+13"
"28",5,"Zane Gonzalez",FA,"-","-","+13"
"29",5,"Ben Sauls",NYG,"8","2 out of 5 stars","-4"
"30",5,"Jason Sanders",NYJ,"13","2 out of 5 stars","-4"
"31",5,"Andre Szmyt",CLE,"11","5 out of 5 stars","+1"
"32",5,"Drew Stevens",WAS,"7","5 out of 5 stars","-3"
"33",6,"Brandon McManus",FA,"-","-","+6"
"34",6,"Matt Gay",LV,"13","1 out of 5 stars","-12"
"35",6,"Jake Moody",FA,"-","-","0"
"36",6,"Spencer Shrader",IND,"13","4 out of 5 stars","0"
"37",6,"Riley Patterson",MIA,"6","2 out of 5 stars","-13"
"38",6,"Dominic Zvada",NYG,"8","2 out of 5 stars","0"
"39",6,"Cade York",FA,"-","-","+4"
"40",6,"Kansei Matsuzawa",LV,"13","1 out of 5 stars","-"
"41",6,"Tanner Brown",NO,"8","5 out of 5 stars","+4"
"42",6,"B.T. Potter",TB,"10","3 out of 5 stars","-"
"43",6,"Andrew Wellock",CAR,"5","0 out of 5 stars","-"
"44",6,"Laith Marjan",FA,"-","-","-"
