"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","OVERALL ","UPSIDE ","BUST ","ECR VS. ADP"
"1",1,"Jeremiyah Love",ARI,"RB1","21","5 out of 5","5 out of 5","4 out of 5","0"
"2",1,"Fernando Mendoza",LV,"QB1","22","4 out of 5","4 out of 5","4 out of 5","+11"
"3",1,"Carnell Tate",TEN,"WR1","21","5 out of 5","4 out of 5","3 out of 5","-1"
"4",2,"Jadarian Price",SEA,"RB2","22","4 out of 5","4 out of 5","4 out of 5","-1"
"5",2,"Jordyn Tyson",NO,"WR2","22","4 out of 5","4 out of 5","4 out of 5","0"
"6",2,"Makai Lemon",PHI,"WR3","22","4 out of 5","4 out of 5","4 out of 5","-2"
"7",2,"Ty Simpson",LAR,"QB2","23","4 out of 5","3 out of 5","4 out of 5","+28"
"8",2,"KC Concepcion",CLE,"WR4","21","4 out of 5","4 out of 5","4 out of 5","-2"
"9",3,"Jonah Coleman",DEN,"RB3","23","4 out of 5","3 out of 5","4 out of 5","-1"
"10",3,"Eli Stowers",PHI,"TE1","23","4 out of 5","4 out of 5","4 out of 5","+17"
"11",3,"Kenyon Sadiq",NYJ,"TE2","21","3 out of 5","4 out of 5","4 out of 5","+1"
"12",3,"Omar Cooper Jr.",NYJ,"WR5","22","4 out of 5","4 out of 5","4 out of 5","-2"
"13",3,"Denzel Boston",CLE,"WR6","22","4 out of 5","4 out of 5","4 out of 5","-6"
"14",3,"De'Zhaun Stribling",SF,"WR7","23","3 out of 5","3 out of 5","4 out of 5","-5"
"15",4,"Emmett Johnson",KC,"RB4","22","4 out of 5","3 out of 5","4 out of 5","-1"
"16",4,"Nicholas Singleton",TEN,"RB5","22","2 out of 5","3 out of 5","4 out of 5","0"
"17",4,"Chris Bell",MIA,"WR8","22","4 out of 5","4 out of 5","4 out of 5","+7"
"18",4,"Antonio Williams",WAS,"WR9","22","4 out of 5","4 out of 5","4 out of 5","+4"
"19",4,"Carson Beck",ARI,"QB3","23","3 out of 5","2 out of 5","4 out of 5","+12"
"20",4,"Ja'Kobi Lane",BAL,"WR10","22","4 out of 5","4 out of 5","4 out of 5","-5"
"21",4,"Kaelon Black",SF,"RB6","24","3 out of 5","3 out of 5","4 out of 5","0"
"22",4,"Mike Washington Jr.",LV,"RB7","23","4 out of 5","4 out of 5","4 out of 5","-11"
"23",4,"Ted Hurst III",TB,"WR11","22","4 out of 5","4 out of 5","4 out of 5","+3"
"24",4,"Germie Bernard",PIT,"WR12","22","3 out of 5","3 out of 5","4 out of 5","-5"
"25",4,"Kaytron Allen",WAS,"RB8","23","3 out of 5","2 out of 5","4 out of 5","-2"
"26",5,"Elijah Sarratt",BAL,"WR13","23","4 out of 5","3 out of 5","4 out of 5","+3"
"",5
"27",5,"Demond Claiborne",MIN,"RB9","22","3 out of 5","2 out of 5","4 out of 5","+1"
