ROUND	PICK	PLAYER	TEAM	OWNER	KEEPER
1	1	Christian McCaffrey	AC X 2	andrew	
1	2	Bijan Robinson	Freakz of Nature	romel	
1	3	CeeDee Lamb	Draven McQueen	tony	
1	4	Justin Jefferson	Day Walker	christian-k	
1	5	Tyreek Hill	Super LaMario 64	dylan	
1	6	Amon-Ra St. Brown	Brady's Bambino	nathan	
1	7	Derrick Henry	Darth Rico	rich	
1	8	Travis Kelce	Brady’s Bitch	heather	
1	9	Saquon Barkley	Beantown	brett-p	
1	10	Ja'Marr Chase	Minnesota Frostbite	brett-b	
1	11	A.J. Brown	2013 Donkey Ass	leonard-j	
1	12	Garrett Wilson	Turd Ferguson	mark	
1	13	Marvin Harrison Jr.	Good But Not Great	tim	
1	14	Davante Adams	Puka Doncic	bryan	
2	1	Travis Etienne Jr.	Puka Doncic	bryan	
2	2	Isiah Pacheco	Good But Not Great	tim	
2	3	Jonathan Taylor	Turd Ferguson	mark	Y
2	4	Breece Hall	2013 Donkey Ass	leonard-j	Y
2	5	Jahmyr Gibbs	Minnesota Frostbite	brett-b	Y
2	6	Drake London	Beantown	brett-p	
2	7	Chris Olave	Brady’s Bitch	heather	
2	8	Sam LaPorta	Darth Rico	rich	
2	9	Deebo Samuel Sr.	Brady's Bambino	nathan	
2	10	Mike Evans	Super LaMario 64	dylan	Y
2	11	Cooper Kupp	Day Walker	christian-k	
2	12	Josh Jacobs	Draven McQueen	tony	
2	13	James Cook III	Freakz of Nature	romel	Y
2	14	Brandon Aiyuk	AC X 2	andrew	
3	1	Josh Allen	AC X 2	andrew	
3	2	Patrick Mahomes	Freakz of Nature	romel	
3	3	DK Metcalf	Draven McQueen	tony	
3	4	Kenneth Walker III	Day Walker	christian-k	
3	5	Lamar Jackson	Super LaMario 64	dylan	
3	6	Jalen Hurts	Brady's Bambino	nathan	
3	7	Jaylen Waddle	Darth Rico	rich	
3	8	Joe Mixon	Brady’s Bitch	heather	
3	9	DeVonta Smith	Beantown	brett-p	
3	10	Michael Pittman Jr.	Minnesota Frostbite	brett-b	
3	11	DJ Moore	2013 Donkey Ass	leonard-j	
3	12	Malik Nabers	Turd Ferguson	mark	
3	13	Stefon Diggs	Good But Not Great	tim	
3	14	Rachaad White	Puka Doncic	bryan	
4	1	Trey McBride	Puka Doncic	bryan	
4	2	Zay Flowers	Good But Not Great	tim	
4	3	Anthony Richardson Sr.	Turd Ferguson	mark	
4	4	Tank Dell	2013 Donkey Ass	leonard-j	
4	5	Aaron Jones Sr.	Minnesota Frostbite	brett-b	
4	6	Joe Burrow	Beantown	brett-p	
4	7	David Montgomery	Brady’s Bitch	heather	
4	8	Rhamondre Stevenson	Darth Rico	rich	
4	9	James Conner	Brady's Bambino	nathan	
4	10	Mark Andrews	Super LaMario 64	dylan	
4	11	Terry McLaurin	Day Walker	christian-k	
4	12	Jordan Love	Draven McQueen	tony	
4	13	Rashee Rice	Freakz of Nature	romel	
4	14	Amari Cooper	AC X 2	andrew	
5	1	George Pickens	AC X 2	andrew	
5	2	George Kittle	Freakz of Nature	romel	
5	3	Kyle Pitts Sr.	Draven McQueen	tony	
5	4	Najee Harris	Day Walker	christian-k	
5	5	Javonte Williams	Super LaMario 64	dylan	
5	6	Raheem Mostert	Brady's Bambino	nathan	
5	7	Tee Higgins	Darth Rico	rich	
5	8	Christian Kirk	Brady’s Bitch	heather	
5	9	Dalton Kincaid	Beantown	brett-p	
5	10	Dak Prescott	Minnesota Frostbite	brett-b	
5	11	Evan Engram	2013 Donkey Ass	leonard-j	
5	12	Tony Pollard	Turd Ferguson	mark	
5	13	Jayden Daniels	Good But Not Great	tim	
5	14	Jayden Reed	Puka Doncic	bryan	
6	1	Caleb Williams	Puka Doncic	bryan	
6	2	Jonathon Brooks	Good But Not Great	tim	
6	3	Jake Ferguson	Turd Ferguson	mark	
6	4	Devin Singletary	2013 Donkey Ass	leonard-j	
6	5	Chris Godwin Jr.	Minnesota Frostbite	brett-b	
6	6	Gus Edwards	Beantown	brett-p	
6	7	Brock Purdy	Brady’s Bitch	heather	
6	8	Jared Goff	Darth Rico	rich	
6	9	Calvin Ridley	Brady's Bambino	nathan	
6	10	Brian Robinson	Super LaMario 64	dylan	
6	11	Keenan Allen	Day Walker	christian-k	
6	12	Diontae Johnson	Draven McQueen	tony	
6	13	Rome Odunze	Freakz of Nature	romel	
6	14	Jaylen Warren	AC X 2	andrew	
7	1	David Njoku	AC X 2	andrew	
7	2	Jerome Ford	Freakz of Nature	romel	
7	3	Zack Moss	Draven McQueen	tony	
7	4	Dallas Goedert	Day Walker	christian-k	
7	5	Austin Ekeler	Super LaMario 64	dylan	
7	6	Brock Bowers	Brady's Bambino	nathan	
7	7	Ezekiel Elliott	Darth Rico	rich	
7	8	Xavier Worthy	Brady’s Bitch	heather	
7	9	Courtland Sutton	Beantown	brett-p	
7	10	Jaxon Smith-Njigba	Minnesota Frostbite	brett-b	
7	11	Blake Corum	2013 Donkey Ass	leonard-j	
7	12	49ers	Turd Ferguson	mark	
7	13	Chase Brown	Good But Not Great	tim	
7	14	Brian Thomas Jr.	Puka Doncic	bryan	
8	1	Puka Nacua	Puka Doncic	bryan	Y
8	2	Alvin Kamara	Good But Not Great	tim	Y
8	3	Kyren Williams	Turd Ferguson	mark	Y
8	4	Tua Tagovailoa	2013 Donkey Ass	leonard-j	
8	5	D'Andre Swift	Minnesota Frostbite	brett-b	Y
8	6	Zamir White	Beantown	brett-p	Y
8	7	Ravens	Brady’s Bitch	heather	
8	8	Kyler Murray	Darth Rico	rich	Y
8	9	Christian Watson	Brady's Bambino	nathan	
8	10	Nico Collins	Super LaMario 64	dylan	Y
8	11	C.J. Stroud	Day Walker	christian-k	Y
8	12	De'Von Achane	Draven McQueen	tony	Y
8	13	Tyjae Spears	Freakz of Nature	romel	Y
8	14	Jets	AC X 2	andrew	
9	1	Justin Tucker	AC X 2	andrew	
9	2	Jordan Addison	Freakz of Nature	romel	
9	3	Joshua Palmer	Draven McQueen	tony	
9	4	Rico Dowdle	Day Walker	christian-k	
9	5	Keon Coleman	Super LaMario 64	dylan	
9	6	Jameson Williams	Brady's Bambino	nathan	
9	7	Cowboys	Darth Rico	rich	
9	8	Trevor Lawrence	Brady’s Bitch	heather	
9	9	DeAndre Hopkins	Beantown	brett-p	
9	10	Hollywood Brown	Minnesota Frostbite	brett-b	
9	11	Ladd McConkey	2013 Donkey Ass	leonard-j	
9	12	Brandon Aubrey	Turd Ferguson	mark	
9	13	Taysom Hill	Good But Not Great	tim	
9	14	Trey Benson	Puka Doncic	bryan	
10	1	Nick Chubb	Puka Doncic	bryan	
10	2	Chuba Hubbard	Good But Not Great	tim	
10	3	Rashid Shaheed	Turd Ferguson	mark	
10	4	Adonai Mitchell	2013 Donkey Ass	leonard-j	
10	5	Dalton Schultz	Minnesota Frostbite	brett-b	
10	6	Cole Kmet	Beantown	brett-p	
10	7	J.K. Dobbins	Brady’s Bitch	heather	
10	8	Tyler Allgeier	Darth Rico	rich	
10	9	Zach Charbonnet	Brady's Bambino	nathan	
10	10	Jaleel McLaughlin	Super LaMario 64	dylan	
10	11	Curtis Samuel	Day Walker	christian-k	
10	12	T.J. Hockenson	Draven McQueen	tony	
10	13	Khalil Shakir	Freakz of Nature	romel	
10	14	Tyler Lockett	AC X 2	andrew	
11	1	Romeo Doubs	AC X 2	andrew	
11	2	Browns	Freakz of Nature	romel	
11	3	Mike Williams	Draven McQueen	tony	
11	4	Pat Freiermuth	Day Walker	christian-k	
11	5	Jerry Jeudy	Super LaMario 64	dylan	
11	6	Matthew Stafford	Brady's Bambino	nathan	
11	7	Adam Thielen	Darth Rico	rich	
11	8	Isaiah Likely	Brady’s Bitch	heather	
11	9	Aaron Rodgers	Beantown	brett-p	
11	10	Justin Herbert	Minnesota Frostbite	brett-b	
11	11	Harrison Butker	2013 Donkey Ass	leonard-j	
11	12	Jakobi Meyers	Turd Ferguson	mark	
11	13	Josh Downs	Good But Not Great	tim	
11	14	Kirk Cousins	Puka Doncic	bryan	
12	1	Jaylen Wright	Puka Doncic	bryan	
12	2	Jalen McMillan	Good But Not Great	tim	
12	3	Luke Musgrave	Turd Ferguson	mark	
12	4	Justice Hill	2013 Donkey Ass	leonard-j	
12	5	Khalil Herbert	Minnesota Frostbite	brett-b	
12	6	Chiefs	Beantown	brett-p	
12	7	Evan McPherson	Brady’s Bitch	heather	
12	8	Hunter Henry	Darth Rico	rich	
12	9	Ty Chandler	Brady's Bambino	nathan	
12	10	Antonio Gibson	Super LaMario 64	dylan	
12	11	Deshaun Watson	Day Walker	christian-k	
12	12	Jordan Mason	Draven McQueen	tony	
12	13	Will Levis	Freakz of Nature	romel	
12	14	Geno Smith	AC X 2	andrew	
13	1	Bucky Irving	AC X 2	andrew	
13	2	Tyler Conklin	Freakz of Nature	romel	
13	3	Steelers	Draven McQueen	tony	
13	4	Kimani Vidal	Day Walker	christian-k	
13	5	Younghoe Koo	Super LaMario 64	dylan	
13	6	Noah Fant	Brady's Bambino	nathan	
13	7	Ka'imi Fairbairn	Darth Rico	rich	
13	8	Gabe Davis	Brady’s Bitch	heather	
13	9	Ray Davis	Beantown	brett-p	
13	10	Brandin Cooks	Minnesota Frostbite	brett-b	
13	11	Bills	2013 Donkey Ass	leonard-j	
13	12	Baker Mayfield	Turd Ferguson	mark	
13	13	Tyrone Tracy Jr.	Good But Not Great	tim	
13	14	Jake Elliott	Puka Doncic	bryan	
14	1	Dolphins	Puka Doncic	bryan	
14	2	Bengals	Good But Not Great	tim	
14	3	MarShawn Lloyd	Turd Ferguson	mark	
14	4	Bo Nix	2013 Donkey Ass	leonard-j	
14	5	Texans	Minnesota Frostbite	brett-b	
14	6	Greg Zuerlein	Beantown	brett-p	
14	7	Braelon Allen	Brady’s Bitch	heather	
14	8	Wan'Dale Robinson	Darth Rico	rich	
14	9	Eagles	Brady's Bambino	nathan	
14	10	Saints	Super LaMario 64	dylan	
14	11	Bears	Day Walker	christian-k	
14	12	Cameron Dicker	Draven McQueen	tony	
14	13	Seahawks	Freakz of Nature	romel	
14	14	Cade Otton	AC X 2	andrew	
15	1	Vikings	AC X 2	andrew	
15	2	Tyler Bass	Freakz of Nature	romel	
15	3	Bryce Young	Draven McQueen	tony	
15	4	Jake Moody	Day Walker	christian-k	
15	5	Justin Fields	Super LaMario 64	dylan	
15	6	Jason Sanders	Brady's Bambino	nathan	
15	7	Jamaal Williams	Darth Rico	rich	
15	8	Dontayvion Wicks	Brady’s Bitch	heather	
15	9	Lions	Beantown	brett-p	
15	10	Matt Gay	Minnesota Frostbite	brett-b	
15	11	Ja'Lynn Polk	2013 Donkey Ass	leonard-j	
15	12	Dustin Hopkins	Turd Ferguson	mark	
15	13	Ben Sinnott	Good But Not Great	tim	
15	14	Ricky Pearsall	Puka Doncic	bryan	
