team	week	def_sacks	def_interceptions	def_safeties	def_tds	fumble_recovery_opp	fumble_recovery_tds	special_teams_tds	def_punt_blocks	def_pat_blocks	def_fg_blocks	def_2pt_made	points_allowed
ARI	1	2	0	0	0	1	0	1	0	0	0	0	34
ATL	1	2	0	0	0	0	0	0	0	0	0	0	18
BAL	1	2	1	0	0	0	0	0	0	0	0	0	27
BUF	1	4	0	0	0	1	0	0	0	0	0	0	28
CAR	1	1	0	0	0	1	0	0	0	0	0	0	47
CHI	1	3	2	0	1	1	0	1	1	0	0	0	17
CIN	1	1	0	0	0	0	0	0	0	0	0	0	16
CLE	1	3	0	0	0	0	0	0	0	0	0	0	33
DAL	1	6	2	0	0	0	0	1	0	0	0	0	17
DEN	1	2	1	2	0	1	0	0	0	0	0	0	26
DET	1	2	1	0	0	0	0	0	0	0	0	0	20
GB	1	2	2	0	0	1	0	0	0	0	0	0	34
HOU	1	2	1	0	0	0	0	0	0	0	0	0	27
IND	1	4	0	0	0	0	0	0	1	0	0	0	29
JAX	1	3	0	0	0	0	0	0	0	0	0	0	20
KC	1	1	0	0	0	1	0	0	0	0	0	0	20
LA	1	2	1	0	0	0	0	0	0	0	0	0	26
LAC	1	3	1	0	0	2	0	0	0	0	0	0	10
LV	1	1	0	0	0	0	0	0	0	0	0	0	22
MIA	1	3	0	0	0	1	0	0	0	0	0	0	17
MIN	1	5	2	0	1	0	0	0	0	0	0	0	6
NE	1	3	0	0	0	2	0	0	0	0	0	0	10
NO	1	4	2	0	0	1	0	0	0	0	0	0	10
NYG	1	1	1	0	0	1	0	0	0	0	0	0	28
NYJ	1	3	0	0	0	0	0	0	0	0	0	0	32
PHI	1	2	1	0	0	0	0	0	0	0	0	0	29
PIT	1	2	2	0	0	1	0	0	0	0	0	0	10
SEA	1	2	2	0	0	1	0	0	0	0	0	0	20
SF	1	1	1	0	0	1	0	0	0	0	0	0	19
TB	1	2	0	0	0	0	0	0	0	0	0	0	20
TEN	1	2	0	0	0	1	0	0	0	0	0	0	24
WAS	1	1	0	0	0	0	0	0	0	0	0	0	37
ARI	2	5	0	0	0	1	1	0	0	0	0	0	10
ATL	2	1	1	0	0	0	0	0	0	0	0	0	21
BAL	2	5	1	0	0	0	0	0	0	0	0	0	26
BUF	2	2	3	0	1	0	0	0	0	0	0	0	10
CAR	2	1	1	0	0	1	0	0	0	0	0	0	26
CHI	2	3	0	0	0	1	0	0	0	0	0	0	19
CIN	2	2	2	0	0	1	0	0	0	0	0	0	26
CLE	2	4	0	1	0	0	0	0	0	0	0	0	13
DAL	2	1	1	0	0	0	0	0	0	1	0	0	44
DEN	2	2	0	0	0	0	0	0	0	0	0	0	13
DET	2	5	1	0	0	0	0	0	0	0	0	0	20
GB	2	1	3	0	0	0	0	0	0	0	0	0	10
